originalname,editedname,relationship_type
1HWY1,1HWY1,canonical
21ST CENTURY ALLIANCE,21ST CENTURY ALLIANCE,canonical
350 BAY AREA ACTION,350 BAY AREA ACTION,canonical
350 SACRAMENTO,350 SACRAMENTO,canonical
350 SANTA BARBARA,350 SANTA BARBARA,canonical
350 SILICON VALLEY,350 SILICON VALLEY,canonical
"350: BAY AREA ACTION, CONEJO SAN FERNANDO VALLEY, AND SOCAL","350: BAY AREA ACTION, CONEJO SAN FERNANDO VALLEY, AND SOCAL",canonical
"6BEDS, INC.","6BEDS, INC.",canonical
7 INDIVIDUAL LETTERS,7 INDIVIDUAL LETTERS,canonical
8 PAST DIRECTORS OF THE DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT,8 PAST DIRECTORS OF THE DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT,canonical
99ROOTZ,99ROOTZ,canonical
9TH STREET CO-OP,9TH STREET CO-OP,canonical
A BETTER WAY,A BETTER WAY,canonical
A BETTER WAY FORWARD TO HOUSE CALIFORNIA,A BETTER WAY FORWARD TO HOUSE CALIFORNIA,canonical
A COMMUNITY OF FRIENDS,A COMMUNITY OF FRIENDS,canonical
A NEW WAY OF LIFE,A NEW WAY OF LIFE,canonical
A NEW WAY OF LIFE RE-ENTRY PROJECT,A NEW WAY OF LIFE RE-ENTRY PROJECT,canonical
A V RANCHOS MOBILE HOME PARK,A V RANCHOS MOBILE HOME PARK,canonical
A&B PAINTING,A&B PAINTING,canonical
AAPIS FOR CIVIC EMPOWERMENT EDUCATION FUND,AAPIS FOR CIVIC EMPOWERMENT EDUCATION FUND,canonical
AARP,AARP,canonical
AARP CALIFORNIA,AARP,chapter
"AARP, CALIFORNIA",AARP,alternate_spelling
AB 1506,AB 1506,canonical
ABODE COMMUNITIES,ABODE COMMUNITIES,canonical
ABODE COMMUNITIESAFFIRMED,ABODE COMMUNITIES,alternate_spelling
ABODE SERVICES,ABODE SERVICES,canonical
ABODECOMMUNITIES (LOSANGELES),ABODE COMMUNITIES,alternate_spelling
ABUNDANT HOUSING LA,ABUNDANT HOUSING LA,canonical
ABUNDANT HOUSING LOS ANGELES,ABUNDANT HOUSING LA,alternate_spelling
"ABUNDANT LIFE COVENANT BIBLE CHURCH, PASADENA","ABUNDANT LIFE COVENANT BIBLE CHURCH, PASADENA",canonical
ACCE,ACCE,canonical
ACCE ACTION,ACCE,alternate_spelling
ACCESS TO INDEPENDENCE,ACCESS TO INDEPENDENCE,canonical
ACLU,ACLU CALIFORNIA,alternate_spelling
ACLU CALIFORNIA,ACLU CALIFORNIA,canonical
ACLU CALIFORNIA ACTION,ACLU CALIFORNIA,alternate_spelling
ACR SOLAR & ROOFING,ACR SOLAR & ROOFING,canonical
ACTION FOR ANIMALS,ACTION FOR ANIMALS,canonical
ACTIVESGV,ACTIVESGV,canonical
"ACTIVESGV, A PROJECT OF COMMUNITY PARTNERS",ACTIVESGV,alternate_spelling
ACT-LA,ACT-LA,canonical
ACTON TOWN COUNCIL,ACTON TOWN COUNCIL,canonical
ADAMS HILL NEIGHBORHOOD ASSOCIATION,ADAMS HILL NEIGHBORHOOD ASSOCIATION,canonical
ADARA POWER,ADARA POWER,canonical
ADELANTO,ADELANTO,canonical
ADMINISTRATORS ASSOCIATION OF CALIFORNIA,ADMINISTRATORS ASSOCIATION OF CALIFORNIA,canonical
ADOBE COMMUNITIES,ABODE COMMUNITIES,alternate_spelling
ADOBE COMMUNITY,ABODE COMMUNITIES,alternate_spelling
"ADU BUILDER, INC.","ADU BUILDER, INC.",canonical
ADU TASK FORCE EAST BAY,ADU TASK FORCE EAST BAY,canonical
ADVANCED MICROGRID SOLUTIONS,ADVANCED MICROGRID SOLUTIONS,canonical
ADVANCEMENT PROJECT,ADVANCEMENT PROJECT,canonical
ADVANCING COMMUNITIES TOGETHER,ADVANCING COMMUNITIES TOGETHER,canonical
ADVENTIST HEALTH,ADVENTIST HEALTH,canonical
ADVOCATES FOR AFFORDABLE HOMES IN FREMONT,ADVOCATES FOR AFFORDABLE HOMES IN FREMONT,canonical
ADVOCATES FOR AFFORDABLE HOUSING (MOUNTAIN VIEW),ADVOCATES FOR AFFORDABLE HOUSING (MOUNTAIN VIEW),canonical
AFFIRMED HOUSING,AFFIRMED HOUSING,canonical
AFFIRMED HOUSING GROUP,AFFIRMED HOUSING,alternate_spelling
AFFORDABLE HOMELESS HOUSING ALTERNATIVES (AHHA),AFFORDABLE HOMELESS HOUSING ALTERNATIVES (AHHA),canonical
AFFORDABLE HOMES COLLABORATIVE,AFFORDABLE HOMES COLLABORATIVE,canonical
AFFORDABLE HOUSING ADVOCATE,AFFORDABLE HOUSING ADVOCATE,canonical
AFFORDABLE HOUSING ALLIANCE,AFFORDABLE HOUSING ALLIANCE,canonical
AFFORDABLE HOUSING ASSOCIATES,AFFORDABLE HOUSING ASSOCIATES,canonical
AFFORDABLE HOUSING ASSOCIATION-PACIFIC SOUTHWEST,AFFORDABLE HOUSING ASSOCIATION-PACIFIC SOUTHWEST,canonical
AFFORDABLE HOUSING MANAGEMENT ASSOCIATION - NORTHERN CALIFORNIA AND HAWAII,AFFORDABLE HOUSING MANAGEMENT ASSOCIATION - NORTHERN CALIFORNIA AND HAWAII,canonical
AFFORDABLE HOUSING MANAGEMENT ASSOCIATION - PACIFIC SOUTH WEST,"AFFORDABLE HOUSING MANAGEMENT ASSOCIATION, PACIFIC SOUTHWEST",alternate_spelling
"AFFORDABLE HOUSING MANAGEMENT ASSOCIATION, PACIFIC SOUTHWEST","AFFORDABLE HOUSING MANAGEMENT ASSOCIATION, PACIFIC SOUTHWEST",canonical
AFFORDABLE HOUSING NETWORK OF SANTA CLARA COUNTY,AFFORDABLE HOUSING NETWORK OF SANTA CLARA COUNTY,canonical
"AFFORDABLE HOUSING NETWORK OF SANTA CLARA COUNTY AFSCME, LOCAL 3299",AFFORDABLE HOUSING NETWORK OF SANTA CLARA COUNTY,alternate_spelling
AFFORDABLE HOUSING NOW,AFFORDABLE HOUSING NOW,canonical
AFFORDABLE HOUSING NOW- SANTA CRUZ COUNTY,AFFORDABLE HOUSING NOW,alternate_spelling
"AFFORDABLE HOUSING, INC.","AFFORDABLE HOUSING, INC.",canonical
"AFRICAN AMERICAN CHAMBER OF COMMERCE, SAN JOAQUIN","AFRICAN AMERICAN CHAMBER OF COMMERCE, SAN JOAQUIN",canonical
AFRICAN AMERICAN WELLNESS CENTER FOR CHILDREN & FAMILIES,AFRICAN AMERICAN WELLNESS CENTER FOR CHILDREN AND FAMILIES,alternate_spelling
AFRICAN AMERICAN WELLNESS CENTER FOR CHILDREN AND FAMILIES,AFRICAN AMERICAN WELLNESS CENTER FOR CHILDREN AND FAMILIES,canonical
AFRICAN METHODIST EPISCOPAL CHURCH,AFRICAN METHODIST EPISCOPAL CHURCH,canonical
AFRICAN-AMERICAN FARMERS OF CALIFORNIA,AFRICAN-AMERICAN FARMERS OF CALIFORNIA,canonical
AFSCME,AFSCME,canonical
AFSCME LOCAL 3299,AFSCME LOCAL 3299,canonical
"AFSCME, AFL-CIO",AFSCME,alternate_spelling
"AGEE GLOBAL SOLUTIONS, LLC","AGEE GLOBAL SOLUTIONS, LLC",canonical
AGENCY ON AGING/AREA 4,AGENCY ON AGING/AREA 4,canonical
AGING SERVICES OF CALIFORNIA,AGING SERVICES OF CALIFORNIA,canonical
AGRICULTURAL COUNCIL OF CALIFORNIA,AGRICULTURAL COUNCIL OF CALIFORNIA,canonical
AGRICULTURAL-NATURAL RESOURCES TRUST,AGRICULTURAL-NATURAL RESOURCES TRUST,canonical
AGUA CALIENTE BAND OF CAHUILLA INDIANS,AGUA CALIENTE BAND OF CAHUILLA INDIANS,canonical
AIDS HEALTH CARE FOUNDATION,AIDS HEALTHCARE FOUNDATION,alternate_spelling
AIDS HEALTHCARE FOUNDATION,AIDS HEALTHCARE FOUNDATION,canonical
AIDS LEGAL REFERRAL PANEL,AIDS LEGAL REFERRAL PANEL,canonical
AIR CONDITIONING TRADE ASSOCIATION,AIR CONDITIONING TRADE ASSOCIATION,canonical
AIRCRAFT OWNERS AND PILOTS ASSOCIATION,AIRCRAFT OWNERS AND PILOTS ASSOCIATION,canonical
ALAMEDA,ALAMEDA,canonical
ALAMEDA CITIZENS TASK FORCE,ALAMEDA CITIZENS TASK FORCE,canonical
ALAMEDA CITIZENS TASK FORCE CALIFORNIA ENVIRONMENTAL VOTERS CATALYSTS,ALAMEDA CITIZENS TASK FORCE CALIFORNIA ENVIRONMENTAL VOTERS CATALYSTS,canonical
ALAMEDA COUNTY,ALAMEDA COUNTY,canonical
ALAMEDA COUNTY BOARD OF SUPERVISORS,ALAMEDA COUNTY BOARD OF SUPERVISORS,canonical
ALAMEDA COUNTY BOARD OF SUPERVISORS ASPIRANET,ALAMEDA COUNTY BOARD OF SUPERVISORS ASPIRANET,canonical
ALAMEDA COUNTY DEMOCRATIC PARTY,ALAMEDA COUNTY DEMOCRATIC PARTY,canonical
ALAMEDA COUNTY DEVELOPMENT DISABILITIES COUNCIL,ALAMEDA COUNTY DEVELOPMENTAL DISABILITIES COUNCIL,alternate_spelling
ALAMEDA COUNTY DEVELOPMENTAL DISABILITIES COUNCIL,ALAMEDA COUNTY DEVELOPMENTAL DISABILITIES COUNCIL,canonical
ALAMEDA COUNTY DEVELOPMENTAL DISABILITY COUNCIL,ALAMEDA COUNTY DEVELOPMENTAL DISABILITIES COUNCIL,alternate_spelling
