label,category,org_name
conjoined-01,conjoined,Tort Reform Consumer Attorneys of California
conjoined-01,conjoined,Tort Reform Department of Consumer Affairs
conjoined-01,conjoined,Town of Apple Valley UAW
conjoined-01,conjoined,Town of Mammoth Lakes: Town of Truckee
conjoined-01,conjoined,Towns of Apple Valley and Colma
conjoined-01,conjoined,"Towns of Apple Valley, Colma, Danville, Fairfax, and Loomis"
conjoined-01,conjoined,"Towns of Apple Valley, Colma, Fairfax, Los Altos Hills, Mammoth Lakes, Ross, Truckee, Woodside"
conjoined-01,conjoined,"Towns of Apple Valley, Colma, Fairfax, Mammoth Lakes, and Ross"
conjoined-01,conjoined,"Towns of Apple Valley, Colma, Fairfax, Mammoth Lakes, Ross, and Truckee"
conjoined-01,conjoined,"Towns of Apple Valley, Los Gatos, Mammoth Lakes, and Truckee"
conjoined-01,conjoined,"Towns of Atherton, Colma, Hillsborough and Woodside"
conjoined-01,conjoined,"Towns of Atherton, Colma, Hillsborough Portola Valley, and Woodside"
conjoined-01,conjoined,Towns of Danville and Fairfax
conjoined-01,conjoined,"Towns of Danville, Hillsborough, Mammoth Lakes, and Portola Valley"
conjoined-01,conjoined,Towns of Fairfax and Tiburon
conjoined-01,conjoined,"Towns of Fairfax, Los Altos Hills, Mammoth Lake, Ross, and Truckee"
conjoined-01,conjoined,"Towns of Fairfax, Mammoth Lake, Ross, and Truckee"
conjoined-01,conjoined,"Towns of Fairfax, Mammoth Lake, Ross, Truckee"
conjoined-01,conjoined,"Towns of: Apple Valley, Los Gatos"
conjoined-01,conjoined,"Towns of: Apple Valley, Town of Danville, Hillsborough, Mammoth Lakes, Paradise, Tiburon, Windsor, Yountville"
conjoined-01,conjoined,"Toy Manufacturers of America, The Cosmetic, Toiletry, and Fragrance Association, Association for California Tort Reform (ACTR), Hasbro, Lego, Mattel, S"
conjoined-01,conjoined,Trade & Commerce Agency and the City of Victorville
conjoined-01,conjoined,"Trade Coalition, Cosco Agencies (Los Angeles)"
conjoined-01,conjoined,"Trades Council of California, Sierra Club California and other"
conjoined-01,conjoined,Trails for Richmond Action Committee: Trust for Public Land
conjoined-01,conjoined,"Transfer Facility, Inc., GreenWaste Recovery, Inc., Inland Empire Disposal Association, Los"
conjoined-01,conjoined,Transportation Authority and the City/County Association of Governments
conjoined-01,conjoined,"Transportation Authority, Sunline Transit"
conjoined-01,conjoined,"Transporters, California Trucking Assn"
conjoined-01,conjoined,Transyouth Liberation and Transfamily Support Services
conjoined-01,conjoined,Traveling Times Inc./Travel Center of Santa Clarita
conjoined-01,conjoined,"Treasurers and Tax Collectors, Federated Investors, Fidelity Investments, GE Capital"
conjoined-01,conjoined,"Treaters, American Fence Contractors"
conjoined-01,conjoined,"Treatment Works Synagro Technologies, Inc"
conjoined-01,conjoined,Tri-City Athletic League and Tokay High School
conjoined-01,conjoined,"Tri-Valley Cities of Dublin, Livermore, Pleasanton, San Ramon"
conjoined-01,conjoined,Trial Courts Legislation CommitteeDistrict Attorney of Nevada
conjoined-01,conjoined,Trial Courts Legislation CommitteeDistrict Attorney of Nevada County
conjoined-01,conjoined,"Trinity Cathedral Church Ventura County Parents, Families and Friends of Lesbians and Gays"
conjoined-01,conjoined,Trinity Public Utilities District: Turlock Irrigation District
conjoined-01,conjoined,Trout Unlimited : Clean Water Action
conjoined-01,conjoined,Truckee Donner Public Utility District and Turlock Irrigation District
conjoined-01,conjoined,Truckee Donner Public Utility District and Turlock Irrigation District League of California Cities Southern California Public Power Authority
conjoined-01,conjoined,True BlueUnited Contractors
conjoined-01,conjoined,"Trust for Public Land, The Tuleyome"
conjoined-01,conjoined,"Trust for Public Land, The Tuna Club of Avalon"
conjoined-01,conjoined,"Trust for Public Land, the Union of Concerned Scientists"
conjoined-01,conjoined,"Trust for Public Land, The Upstream"
conjoined-01,conjoined,"Trust For Public Land, The Urban Semillas"
conjoined-01,conjoined,"Trust for Public Land, The VF Outdoor & Action Sports"
conjoined-01,conjoined,"Trust For Public Land, The Watershed Conservation Authority"
conjoined-01,conjoined,"Trust For Public Land, The Watershed Project, The"
conjoined-01,conjoined,"Trust for Public Land, The Wholly H2O"
conjoined-01,conjoined,"Trust For Public Land, The Wild Places"
conjoined-01,conjoined,"Trust for Public Land, The Wilderness Society, The Wildlands Conservancy, The"
conjoined-01,conjoined,"Trust for Public Land, The Wildlands Conservancy, The"
conjoined-01,conjoined,"Trust for Public Land, The Wildlands Conservancy, The Your Children's Trees"
conjoined-01,conjoined,"Trust for Public Land, Watershed Conservation Authority"
conjoined-01,conjoined,"Trust, Natural Resources Defense Council, Physicians for Social Responsibility, Planning and Conservation League, Sierra Club"
conjoined-01,conjoined,"Trust, Natural Resources Defense Council, Public Citizen, Sierra Club, South Bay AFL-CIO"
conjoined-01,conjoined,"TST Inc., United Alloys and Metals"
conjoined-01,conjoined,Tulare and Tulare Redevelopment Agency
conjoined-01,conjoined,Tulare and Tulare Redevelopment Agency (as introduced)
conjoined-01,conjoined,"TULARE VISALIA UNIFIED 24,515"
conjoined-01,conjoined,Tulare-Kings Hispanic Chamber of Turning Point of Central California
conjoined-01,conjoined,Tule River Tribal Council: Agua Caliente Band of Cahuilla Indians
conjoined-01,conjoined,Tuolumne County Contra Costa County Sheriff
conjoined-01,conjoined,Turning Point Counseling and Educational Services California Partnership to End Domestic Violence (neutral position)
conjoined-01,conjoined,Tustin City and County of San Francisco Cities of: Agoura Hills
conjoined-01,conjoined,Uber and Lyft
conjoined-01,conjoined,UC Office of the President and the California State University (CSU) Chancellor's Office
conjoined-01,conjoined,UC San Diego - Center for Public Interest Law CALPIRG
conjoined-01,conjoined,UCLA Labor Occupational Safety and Health Program Unilever
conjoined-01,conjoined,"UDWAFSCME Local 3930, Warehouse Worker Resource Center, Inland Empire"
conjoined-01,conjoined,Underground Service Alert of Southern California Southern California Contractors Association
conjoined-01,conjoined,Underground Service Alert of Southern CaliforniaSouthern California Contractors Association
conjoined-01,conjoined,"Unified APCD, Vector Environmental, Inc., Weatherford U.S., L.P., Wegis Ranch, Western"
conjoined-01,conjoined,"Unified School District, Silicon Valley Leadership Group, Southwest"
conjoined-01,conjoined,"Union 11, 18, 45, 302, 551, 569, 595, 684"
conjoined-01,conjoined,Union of American Physicians and American College of Obstetricians and Gynecologists
conjoined-01,conjoined,Union of American Physicians California Medical Association
conjoined-01,conjoined,Union of Concerned Scientists : American Lung Association
conjoined-01,conjoined,Union of Concerned Scientists: American Lung Association
conjoined-01,conjoined,Union Pacific Railroad Company) Modesto and Empire Traction Company
conjoined-01,conjoined,Union Roofing Contractors Assoc. United Contractors
conjoined-01,conjoined,Unitarian Universalist Legislative Ministry Action Network- California UNITE HERE
conjoined-01,conjoined,"United Assn of Journeymen & Apprentices of the Plumbing & Pipe Fitting Industry, Local Union 38, 114, 460 & 484"
conjoined-01,conjoined,United Cannabis Business Association and six other cannabis business organizations
conjoined-01,conjoined,United Cannabis Business Association and the United Food and Commercial Workers
conjoined-01,conjoined,"United Cannabis Business Association, Long Beach Collective Association, and Coachella Valley Cannabis Alliance collectively"
conjoined-01,conjoined,United Food & Commercial Workers Region 8 States Council United Here
conjoined-01,conjoined,United Food and Commercial Workers Union - Western States Council and California Communities United Institute also
conjoined-01,conjoined,"United Food and Commercial Workers Union, Western States Council : Unite Here"
conjoined-01,conjoined,"United Food and Commercial Workers Union, Western States Council Worksafe"
conjoined-01,conjoined,United Healthcare (UHC) and CAHP
