Indivisibles of Sherman Oaks	Indivisible
Asian Americans Advancing Justice - Southern California	ASIAN AMERICANS ADVANCING JUSTICE
Ventura County Clergy and Laity United for Economic Justice	CLERGY AND LAITY UNITED FOR ECONOMIC JUSTICE
YIMBY Los Angeles	YIMBY
SF YIMBY	YIMBY
Sf Yimby	YIMBY
NAACP Los Angeles	NAACP
IATSE Local 16	INTERNATIONAL ALLIANCE OF THEATRICAL STAGE EMPLOYEES
Tww/indivisible - Los Gatos	Indivisible
Associated Builders and Contractors, San Diego Chapter	Associated Builders and Contractors
Vallejo-benicia Indivisible	Indivisible
Asian Americans Advancing Justice- Los Angeles	ASIAN AMERICANS ADVANCING JUSTICE
Associated Builders and Contractors of San Diego	Associated Builders and Contractors
Brady Campaign to Prevent Gun Violence, Orange County Chapter	BRADY CAMPAIGN TO PREVENT GUN VIOLENCE
East Bay Habitat for Humanity	Habitat for Humanity
Elders Climate Action Northern California Chapter	Elders Climate Action
Northern California District Council of the International Longshore and Warehouse Union (ILWU)	INTERNATIONAL LONGSHORE AND WAREHOUSE UNION
Physicians for Social Responsibility - Sacramento	PHYSICIANS FOR SOCIAL RESPONSIBILITY
Safari Club International, San Francisco Bay Area Chapter	SAFARI CLUB INTERNATIONAL
San Francisco Japanese American Citizens League	JAPANESE AMERICAN CITIZENS LEAGUE
American Association of University Women, Santa Maria Branch	AMERICAN ASSOCIATION OF UNIVERSITY WOMEN
Brady United Against Gun Violence, Ventura County Chapter	Brady United Against Gun Violence
California Teamsters Local 911	California Teamsters Public Affairs Council
Democrats for Israel - Los Angeles	Democrats for Israel
Elders Climate Action Southern California Chapter	Elders Climate Action
Humboldt Unitarian Universalist Fellowship's Climate Action Campaign	Humboldt Unitarian Universalist Fellowship
League of California Cities, Riverside County Division	LEAGUE OF CALIFORNIA CITIES
California Democratic Party Women's Caucus	CALIFORNIA DEMOCRATIC PARTY
California Hawaii State Conference NAACP	California State Conference NAACP
California Sierra Club	SIERRA CLUB
IATSE Local 119	IATSE
Indivisible Ca-29	Indivisible
Indivisible South Bay	Indivisible
Indivisible Westside L.A	Indivisible
International Brotherhood of Electrical Workers Local 100	INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS
International Brotherhood of Electrical Workers Local 1245	INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS
International Brotherhood of Electrical Workers Local 18	INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS
International Brotherhood of Electrical Workers Local 428	INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS
International Brotherhood of Electrical Workers, Local 11	INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS
International Brotherhood of Electrical Workers, Local 332	INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS
International Brotherhood of Electrical Workers, Local 465	INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS
International Brotherhood of Electrical Workers, Local 569	INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS
International Longshore and Warehouse Union, Northern California District	INTERNATIONAL LONGSHORE AND WAREHOUSE UNION
International Longshore and Warehouse Union, Northern California District Council	INTERNATIONAL LONGSHORE AND WAREHOUSE UNION
LiUNA! Local 724	LIUNA
Los Angeles Community College District Academic Senate	Los Angeles Community College District
