norm,action,winner,winner_cluster,winner_size,loser,loser_cluster,loser_is_canonical,metadata_dropped
alzheimers association california council,remove-descendant,Alzheimer's Association California Council,4102,7,"Alzheimer's Association, California Council",4102,False,False
american college of obstetricians and gynecologists district ix,remove-descendant,American College of Obstetricians and Gynecologists - District IX,4758,46,"American College of Obstetricians and Gynecologists, District IX",4758,False,False
california council of the blind,remove-descendant,California Council of the Blind,4826,9,California Council of the Blind,4826,False,False
alameda labor council aflcio,remove-descendant,"Alameda Labor Council, AFL-CIO",4920,16,Alameda Labor Council AFL-CIO,4920,False,False
inland empire labor council aflcio,remove-descendant,"Inland Empire Labor Council, AFL-CIO",4920,7,Inland Empire Labor Council AFL-CIO,4920,False,False
california land title association,remove-descendant,CALIFORNIA LAND TITLE ASSOCIATION,5147,18,California Land Title Association,5147,False,False
sons of the american legion,remove-descendant,Sons of The American Legion,5162,2,Sons of the American Legion,5162,False,False
the american legion department of california,remove-descendant,"The American Legion, Department of California",5162,163,The American Legion (Department of California),5162,False,False
american planning association california chapter,remove-descendant,"American Planning Association, California Chapter",5317,25,"American Planning Association, California Chapter",5317,False,False
california psychological association,remove-descendant,CALIFORNIA PSYCHOLOGICAL ASSOCIATION,5349,16,California Psychological Association,5349,False,False
amvets department of california,remove-descendant,"AMVETS, Department of California",5639,39,AMVETS - DEPARTMENT OF CALIFORNIA,5639,False,False
california veterinary medical association,remove-descendant,CALIFORNIA VETERINARY MEDICAL ASSOCIATION,5643,15,California Veterinary Medical Association,5643,False,False
associated builders and contractors of california,remove-descendant,Associated Builders and Contractors of California,8296,87,Associated Builders and Contractors of California,8296,False,False
association for commuter transportation northern california inland chapter,remove-descendant,"Association for Commuter Transportation, Northern California Inland Chapter",8521,7,"Association for Commuter Transportation, Northern: California Inland Chapter",8521,False,False
faculty association of california community colleges,remove-descendant,Faculty Association of California Community Colleges,8662,31,Faculty Association of California Community Colleges,8662,False,False
korean american bar association of northern california,remove-descendant,Korean American Bar Association of Northern California,10428,5,KOREAN AMERICAN BAR ASSOCIATION OF NORTHERN CALIFORNIA,10428,False,False
california assessors association county of san diego,remove-descendant,"California Assessors' Association, County of San Diego",15518,2,"California Assessors Association, County of San Diego",15518,False,False
national association of social workers california chapter,remove-descendant,National Association of Social Workers - California Chapter,72155,111,National Association of Social Workers - California Chapter,72155,False,False
los angeles county democratic party,remove-descendant,LOS ANGELES COUNTY DEMOCRATIC PARTY,18476,13,Los Angeles County Democratic Party,18476,False,False
napa county democratic central committee,remove-descendant,Napa County Democratic Central Committee,18476,4,NAPA COUNTY DEMOCRATIC CENTRAL COMMITTEE,18476,False,False
santa cruz county democratic central committee,remove-descendant,Santa Cruz County Democratic Central Committee,18476,4,SANTA CRUZ COUNTY DEMOCRATIC CENTRAL COMMITTEE,18476,False,False
california retailers association,remove-descendant,CALIFORNIA RETAILERS ASSOCIATION,72977,14,California Retailers Association,72977,False,False
california rural legal assistance foundation,remove-descendant,California Rural Legal Assistance Foundation,20676,32,CALIFORNIA RURAL LEGAL ASSISTANCE FOUNDATION,20676,False,False
california state university channel islands,remove-descendant,"California State University, Channel Islands",21191,12,California State University Channel Islands,21191,False,False
california state university dominguez hills,remove-descendant,"California State University, Dominguez Hills",21191,18,California State University Dominguez Hills,21191,False,False
california state university east bay,remove-descendant,"California State University, East Bay",21191,16,California State University East Bay,21191,False,False
california state university long beach nursing students,remove-descendant,"California State University, Long Beach, Nursing Students",21191,3,"California State University, Long Beach Nursing Students",21191,False,False
california state university los angeles,remove-descendant,"California State University, Los Angeles",21191,34,California State University Los Angeles,21191,False,False
california state university san bernardino,remove-descendant,"California State University, San Bernardino",21191,27,California State University San Bernardino,21191,False,False
city of pleasanton,remove-descendant,CITY OF PLEASANTON,100917,8,City of Pleasanton,100917,False,False
san joaquin county deputy sheriffs association,remove-descendant,SAN JOAQUIN COUNTY DEPUTY SHERIFFS ASSOCIATION,36880,2,San Joaquin County Deputy Sheriff's Association,36880,False,False
deputy sheriffs association of santa clara county,remove-descendant,DEPUTY SHERIFFS ASSOCIATION OF SANTA CLARA COUNTY,36880,3,Deputy Sheriffs Association of Santa Clara County,36880,False,False
disabled american veterans department of california,remove-descendant,"Disabled American Veterans, Department of California",37562,27,Disabled American Veterans - Department of California,37562,False,False
san diego county district attorney,remove-descendant,San Diego County District Attorney,37693,62,San Diego County District Attorney,37693,False,False
drywall lathers local 9109,remove-descendant,Drywall Lathers Local 9109,38624,3,DRYWALL LATHERS LOCAL 9109,38624,False,False
easterseals bay area,remove-descendant,Easterseals Bay Area,39433,2,Easterseals Bay area,39433,False,False
education coalition of ca,remove-descendant,Education Coalition of CA,39922,2,Education Coalition of CA,39922,False,False
emergency medical services administrators association of california,remove-descendant,Emergency Medical Services Administrator's Association of California,40934,16,Emergency Medical Services Administrator's Association of California,40934,False,False
engineers scientists of california local 20 ifpte,remove-descendant,"Engineers & Scientists of California, Local 20, IFPTE",41460,2,"Engineers & Scientists of California, Local 20 IFPTE",41460,False,False
faith in action bay area,remove-descendant,Faith in Action Bay Area,43050,2,FAITH IN ACTION BAY AREA,43050,False,False
gray panthers california,remove-descendant,Gray Panthers California,49203,8,Gray Panthers California,49203,False,False
greenpeace usa,remove-descendant,Greenpeace USA,49704,2,Greenpeace Usa,49704,False,False
health care for all california,remove-descendant,Health Care for All - California,51185,6,Health Care for All California,51185,False,False
healthy mothers healthy babies santa barbara chapter,remove-descendant,"Healthy Mothers, Healthy Babies, Santa Barbara Chapter",51442,3,"Healthy Mother's, Healthy Babies, Santa Barbara Chapter",51442,False,False
indivisible ca statestrong,remove-descendant,Indivisible CA StateStrong,55089,20,INDIVISIBLE CA STATESTRONG,55089,False,False
indivisible ca37,remove-descendant,Indivisible CA-37,55089,4,INDIVISIBLE CA-37,55089,False,False
indivisible sacramento,remove-descendant,Indivisible Sacramento,55089,3,INDIVISIBLE SACRAMENTO,55089,False,False
indivisible san francisco,remove-descendant,Indivisible San Francisco,55089,5,INDIVISIBLE SAN FRANCISCO,55089,False,False
indivisible sanjose,remove-descendant,Indivisible SanJose,55089,3,INDIVISIBLE SANJOSE,55089,False,False
indivisible south bay la,remove-descendant,Indivisible South Bay LA,55089,6,INDIVISIBLE SOUTH BAY LA,55089,False,False
indivisible yolo,remove-descendant,Indivisible Yolo,55089,3,INDIVISIBLE YOLO,55089,False,False
indivisibles of sherman oaks,remove-descendant,Indivisibles of Sherman Oaks,55089,7,INDIVISIBLES OF SHERMAN OAKS,55089,False,False
normal heights indivisible,remove-descendant,Normal Heights Indivisible,55089,4,NORMAL HEIGHTS INDIVISIBLE,55089,False,False
santa cruz indivisible,remove-descendant,Santa Cruz Indivisible,55089,3,SANTA CRUZ INDIVISIBLE,55089,False,False
resistance northridgeindivisible,remove-descendant,Resistance Northridge-Indivisible,55089,11,RESISTANCE NORTHRIDGE-INDIVISIBLE,55089,False,False
indivisible ca29,remove-descendant,Indivisible Ca29,55089,4,Indivisible CA-29,55089,False,False
indivisible ca33,remove-descendant,Indivisible CA33,55089,5,Indivisible CA-33,55089,False,False
japanese american citizens league marin county chapter,remove-descendant,"Japanese American Citizens League, Marin County Chapter",57477,3,"JAPANESE AMERICAN CITIZENS LEAGUE, MARIN COUNTY CHAPTER",57477,False,False
la galaxy san diego,remove-descendant,LA Galaxy San Diego,60741,2,La Galaxy San Diego,60741,False,False
california league of united latin american citizens,remove-descendant,CALIFORNIA LEAGUE OF UNITED LATIN AMERICAN CITIZENS,62408,6,California League of United Latin American Citizens,62408,False,False
military order of the purple heart department of california,remove-descendant,"Military Order of the Purple Heart, Department of California",69224,28,Military Order of the Purple Heart - Department of California,69224,False,False
nami mt san jacinto,remove-descendant,NAMI Mt. San Jacinto,71889,5,Nami - Mt. San Jacinto,71889,False,False
california association of dental plans,remove-descendant,California Association of Dental Plans,72036,9,CALIFORNIA ASSOCIATION OF DENTAL PLANS,72036,False,False
california association of health underwriters,remove-descendant,California Association of Health Underwriters,72057,10,CALIFORNIA ASSOCIATION OF HEALTH UNDERWRITERS,72057,False,False
california cannabis industry association,remove-descendant,CALIFORNIA CANNABIS INDUSTRY ASSOCIATION,72277,7,California Cannabis Industry Association,72277,False,False
california credit union league,remove-descendant,CALIFORNIA CREDIT UNION LEAGUE,72492,8,California Credit Union League,72492,False,False
national guard association of california,remove-descendant,National Guard Association of California,72631,11,NATIONAL GUARD ASSOCIATION OF CALIFORNIA,72631,False,False
state building and construction trades council of california,remove-descendant,State Building and Construction Trades Council of California,74766,363,State Building and Construction Trades Council of California,74766,False,False
planned parenthood affiliates of california,remove-descendant,Planned Parenthood Affiliates of California,81999,204,Planned Parenthood Affiliates of California,81999,False,False
los angeles police department,remove-descendant,LOS ANGELES POLICE DEPARTMENT,82397,31,Los Angeles Police Department,82397,False,False
santa ana police department,remove-descendant,SANTA ANA POLICE DEPARTMENT,82397,19,Santa Ana Police Department,82397,False,False
fremont police department,remove-descendant,FREMONT POLICE DEPARTMENT,82397,23,Fremont Police Department,82397,False,False
inglewood police department,remove-descendant,INGLEWOOD POLICE DEPARTMENT,82397,10,Inglewood Police Department,82397,False,False
livermore police department,remove-descendant,LIVERMORE POLICE DEPARTMENT,82397,9,Livermore Police Department,82397,False,False
san rafael police department,remove-descendant,SAN RAFAEL POLICE DEPARTMENT,82397,5,San Rafael Police Department,82397,False,False
claremont police department,remove-descendant,CLAREMONT POLICE DEPARTMENT,82397,9,Claremont Police Department,82397,False,False
selma police department,remove-descendant,SELMA POLICE DEPARTMENT,82397,5,Selma Police Department,82397,False,False
california police officers association,remove-descendant,California Police Officer's Association,82401,7,California Police Officer's Association,82401,False,False
san francisco police officers association,remove-descendant,SAN FRANCISCO POLICE OFFICERS ASSOCIATION,82401,8,San Francisco Police Officers Association,82401,False,False
fullerton police officers association,remove-descendant,FULLERTON POLICE OFFICERS ASSOCIATION,82401,4,Fullerton Police Officers' Association,82401,False,False
san jose police officers association,remove-descendant,SAN JOSE POLICE OFFICERS ASSOCIATION,82401,4,San Jose Police Officers' Association,82401,False,False
california public interest research group calpirg,remove-descendant,California Public Interest Research Group (CALPIRG),84365,59,California Public Interest Research Group (CALPIRG),84365,False,False
sheet metal workers local 104,remove-descendant,Sheet Metal Workers' Local 104,95787,12,"Sheet Metal Workers', Local 104",95787,False,False
alameda county sheriff,remove-descendant,Alameda County Sheriff,95884,34,ALAMEDA COUNTY SHERIFF,95884,False,False
