extracted_org	num_fragments
Opponents	72
opponents	29
CEA	11
CPA	11
UC and CSU	11
the opposition	11
Supporters	11
CAA	10
a coalition of organizations	9
Finance	7
Health plans and insurers	7
Proponents	6
CRA	6
The Chamber	6
the Board	6
California Supreme Court	5
PAI	5
ACIP	5
The Council	5
The opponents	5
Supreme Court	5
Legislature	5
business groups	5
these organizations	5
undersigned organizations	5
individuals	5
environmental organizations	5
a coalition of environmental groups	5
BPH	5
numerous organizations	5
Standards Board	4
DJJ	4
Insurers	4
the Legislature	4
Assembly Appropriations Committee	4
CMHDA and CSAC	4
the Chamber	4
DJF	4
LWIA boards	4
City Council	4
CSSA	4
CPCA	4
Assembly Committee on Business and Professions	4
The carriers	4
CCUL	4
the Department	4
numerous individuals	4
CPF	4
The Legislature	3
organizations	3
Other opponents	3
Our organizations	3
CAHP and ACLHIC	3
CURES	3
property owners	3
Classy	3
IC	3
San Quentin	3
insurance industry	3
SCIF	3
MICA	3
Several groups	3
ERIC	3
MPAA	3
ALRB	3
CSA	3
These organizations	3
The sponsors	3
EBMUD and ACWA	3
a coalition	3
a coalition of environmental organizations	3
The Controller	3
The opposition	3
law enforcement	3
a coalition of business groups	3
California Chamber of Commerce and TechNet	3
supporters	3
opposition	3
higher education advocates	3
Business groups	3
CARA	3
CIO	3
City	3
American Association of Law Schools	3
DOSH	2
Bureau of Environmental Health Management	2
WCAB	2
oil industry	2
Administration for Community Living	2
health care providers	2
L.A. Police Protective League (PPL)	2
Senate Floor Analysis	2
CSNO	2
ORA	2
WECA-IEC	2
other organizations	2
Our organization	2
our organizations	2
Senate Committee on Appropriations	2
Department of Child	2
POST	2
CSIA	2
The author	2
Premier	2
Privacy advocates	2
CAJPA	2
Proponents of the bill	2
CFC	2
Centers for Disease Control and Prevention	2
Youth Authority	2
public employers	2
HFP	2
RDAs	2
CCLHO	2
Committee	2
Disney	2
NFVLRC	2
Recycling & Resource Recovery, Inc.	2
TCAC	2
Secretary of Food and Agriculture	2
Sacramento	2
several individuals	2
several environmental advocacy organizations	2
several local governments	2
GOC	2
Governor's Scholars Program	2
CCLT	2
CPOC	2
transportation authorities	2
The Treasurer	2
Senate Appropriations	2
California Legislature	2
Assembly Public Safety Committee	2
DWC	2
IHRSA	2
L.A. Unified School District	2
CAAA	2
League	2
industry groups	2
State Department of Public Health	2
USPS Citizens Stamp Advisory Committee	2
the author	2
These groups	2
The proponents	2
AKC	2
Labor Enforcement Task Force	2
Metro	2
SEC	2
California State Senate	2
trade associations	2
California Constitutional Revision Commission	2
GWI	2
VCTC	2
California Medical	2
CENA	2
Water Agencies	2
DFPI	2
California Chamber of Commerce and the Western States Petroleum Association	2
CSU Board of Trustees	2
CCY	2
SCRHA	2
Legislative Analyst's Office (LAO)	2
The Board	2
Senate Local	2
BPPE	2
a broad coalition	2
Wine Institute of California	2
agricultural organizations	2
a coalition of businesses in the debt collection industry and business trade associations	2
a coalition of civil rights groups and disability advocates	2
ACLU California Action, Disability Rights California, the National Organization for Women	2
a coalition of consumer groups	2
a coalition of environmental and environmental justice organizations	2
CalChamber, TechNet, Internet Association, and Civil Justice Association	2
Western Center on Law and Poverty, Housing California, and ACLU California Action	2
TechNet, CalChamber, the California Newspaper Publishers Association, and the Association of Magazine Media	2
Computer & Communications Industry Association, California Chamber of Commerce, and TechNet	2
a coalition of opponents	2
a coalition of supporters	2
California Special Districts Association, the California State Association of Counties, the League of California Cities	2
a number of other organizations	2
AAI	2
the District	2
The National	2
CBH	2
Administration officials	2
ACWA and the Regional Council of Rural Counties	2
The sponsor	2
Alliance	2
Centers for Medicare and Medicaid Services	2
NNPA	2
American Academy of Emergency Medicine (AAEM)	2
ISRI	2
individual dentists	2
other supporters	2
others	2
CCCA	2
numerous letters from homebrewers throughout the State	2
CalCAP	2
SBE	2
HJTA	2
Assembly Insurance	2
ARC	2
US EPA	2
Pacific Coast Renderers Association and the California Grain and Feed Association	2
California Chamber of Commerce and the California Retailers Association	2
California Association of Local Behavioral Health Boards and Commissions (CALBHBC)	2
Athens Research	2
Mayor Villaraigosa	2
Medicare	2
Western	2
CRPA	2
CA/HI NAACP	2
California-licensed physicians	2
International Trade Administration	2
CalEMA	2
CDSA	2
Counties	2
Chamber	2
Chemistry Council	2
consumer groups	2
Northwest Coalition for Alternatives	2
CRD	2
Defenders Association	2
Employers and insurers	2
CBP	2
NAPWDA	2
CCIR	2
California's PaintCare Program	2
ART	2
Landesverband	2
TVHD	2
SSCCC	2
ARB and the Energy Commission	2
Health plans and health insurers	2
health plans and insurers	2
the sponsor	2
FBI	2
other labor organizations	2
coalition of environmental organizations	2
water agencies	2
Many municipal utilities	2
The AAA Clubs	2
numerous individual hospitals and the California Hospital Association (CHA)	2
proprietors of skateboard and in-line skate shops	2
numerous tribes	1
Numerous veterinarians and environmental organizations	1
California hospitals	1
Nursing facility operators	1
California Community	1
O'Malley	1
Environmental Defense Center of Santa	1
Pinkerton	1
Governor's Office of Business and Economic Development (GO-Biz)	1
Court of Appeals	1
California Association of Wheat	1
Guayaki Sustainable Rainforest	1
prominent California businesses	1
Realtors and Managers Association	1
Fidelity Corporation	1
physicians	1
Taxpayer Advocates	1
Antelope Valley Fairgrounds EE and PV Synergy Demonstration Project	1
State Legislature	1
UCLA Department of Ophthalmology	1
Academic Volunteer and Mentor	1
Office of Administrative Services	1
Office of the Sheriff in Los Angeles County	1
Olive Elementary School, Novato Unified School District	1
nearly 220-member credit unions in California	1
the civil litigators they represent	1
Alameda County D.A.	1
JNE Commission	1
California Vehicle Code	1
Cal-EMA	1
Operators of DMS facilities	1
CalChamber, biotechnology and manufacturing companies	1
school management groups	1
family members of current DC residents	1
nonprofit blood banks	1
numerous public and private water	1
associations representing the oil	1
Jobs Center Housing	1
San Francisco Women's	1
fishing enthusiasts	1
cities	1
members of the Long Term Care	1
California News Publishers Association, California Black Media, Ethnic Media Services, and Howard Jarvis Taxpayers Association	1
CalChamber and other business organizations	1
Association of California School Administrators (ACSA) and EdVoice	1
opponents of utility projects	1
health insurance companies and associations and business organizations	1
CACJ, the ACLU, and the California Public	1
CALPIRG and the Center for Food	1
Consumers Union and The Foundation for Taxpayer and Consumer Rights	1
pharmaceutical manufacturers and the Chamber of Commerce	1
several contractor	1
California Taxpayers Association and the California Association of Health Services at Home	1
L.A. Police Protective League (PPL) and the Riverside Sheriffs' Association	1
League of California Cities, California State Association of Counties	1
SCAQMD Board	1
state peace officers and the police chiefs associations	1
those charities	1
associations of otolaryngologists (ear, nose, and throat - ENT -- physicians) and individual ENTs	1
associations of otolaryngologists (i.e., ear, nose, and throat - ENT physicians) and individual ENTs	1
business-oriented associations	1
health insurance brokers	1
local governments and trade groups	1
private contractors	1
Northern California Water	1
numerous business	1
Motion Picture	1
PUC and SDG&E	1
FQHCs	1
opposition coalition	1
insurers	1
County Behavioral Health Directors Association and treatment centers	1
California's nonprofits	1
optometric professional corporations and Independent Practice Groups	1
COEs	1
New York ACLU	1
Healthy Families program	1
Philippine Scouts	1
Orange County and Los Angeles County	1
Organization for Women (CA NOW)	1
organization of neighborhood electric vehicle (NEV) enthusiasts	1
organization representing community college governing boards	1
organization that represents most SCIF employees	1
organizations and associations representing the debt settlement industry	1
organizations and individuals supporting research and use of alternative	1
organizations and others who have an interest in protecting the state's	1
California Youthbuild	1
organizations and waste disposal companies	1
consumer advocates, labor organizations, and health plans	1
organizations dedicated to ecosystem and wildlife conservation	1
organizations in the Sacramento region	1
BSA National	1
Organizations of Area Boards of Developmental Disabilities	1
