leginfo_org,leginfo_bills,suggested_canonical,matched_name_in_crosswalk,matched_via,wratio,token_set_ratio
Sacramento Area Fire Fighters Local 522,14,Access Community Media,Access Sacramento,alt(chapter),85.5,74.1
"Sacramento Area Fire Fighters, Local 522",13,Access Community Media,Access Sacramento,alt(chapter),85.5,74.1
William Julian,11,"Adjunct General, Major General William H. Wade II","Adjunct General, Major General William H. Wade II",canonical,85.5,66.7
County of Poverty,9,City of Poverty,City of Poverty,canonical,87.5,87.5
211 LA County,8,California District Agricultural Association,"2nd DAA, San Joaquin County Fair",alt(chapter),85.5,63.2
"Libby Schaaf, Mayor of Oakland",7,City of Oakland - Libby Schaaf,City of Oakland - Libby Schaaf,canonical,85.7,83.3
CA Retailers Assoc,7,Car Dealers Association (CMCDA),Car Dealers Assoc,alt(alternate_spelling),85.7,80.0
Councilmember Paul Koretz,6,"Ann Kulchin, Carlsbad City Councilmember","Ann Kulchin, Carlsbad City Councilmember",canonical,85.5,68.4
52nd District,6,"American Legion Department of California, 22nd District","American Legion Department of California, 22nd District",canonical,86.4,76.2
3 individual letters,6,"Wheel, Sonora Chapter (28 individual letters)","Wheel, Sonora Chapter (28 individual letters)",canonical,87.7,66.7
San Miguel Fire Fighters,5,San Miguel Firefighters Darryl Hebert,San Miguel Firefighters Darryl Hebert,canonical,88.1,68.9
Individual letters (21),5,Advancement Via Individual Determination,Advancement Via Individual Determination,canonical,85.5,60.6
Individual letters (12),5,Advancement Via Individual Determination,Advancement Via Individual Determination,canonical,85.5,60.6
6 individual letters,5,"Wheel, Sonora Chapter (28 individual letters)","Wheel, Sonora Chapter (28 individual letters)",canonical,87.7,66.7
"Lisa Holder, former Task Force Member",4,AAPI Force,AAPI Force,canonical,85.5,66.7
Laborers' Local 792,4,CALIFORNIA STATE COUNCIL OF LABORERS,California State Council of Laborers Local 792,alt(chapter),87.6,64.3
"Dr. Cheryl Grills, former Task Force Member",4,AAPI Force,AAPI Force,canonical,85.5,66.7
"Don Tamaki, former Task Force Member",4,AAPI Force,AAPI Force,canonical,85.5,66.7
DFW,4,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,CDFW,alt(alternate_spelling),85.7,85.7
Concerned individuals,4,Alliance for Children Concerned About,Alliance for Children Concerned About,canonical,85.5,60.0
CHEAC,4,CALIFORNIA HUNGER ACTION COALITION,CHAC,alt(alternate_spelling),88.9,88.9
CBHA,4,CBHDA,CBHDA,canonical,88.9,88.9
2 individual letters,4,"Wheel, Sonora Chapter (28 individual letters)","Wheel, Sonora Chapter (28 individual letters)",canonical,87.7,66.7
Supporters also,3,2018 PyeongChang Winter Olympics Supporters Association of Korean-American (USA),2018 PyeongChang Winter Olympics Supporters Association of Korean-American (USA),canonical,85.5,80.0
Ralph Nader,3,Amino Ralph Bunche Charter High School,Amino Ralph Bunche Charter High School,canonical,85.5,62.5
"Ontario Professional Firefighters, Local 1430",3,Professional Firefights,Professional Firefights,canonical,86.1,68.6
Ontario Professional Firefighters Local 1430,3,Professional Firefighters (CPF),Professional Firefighters (CPF),canonical,88.0,89.3
