leginfo_org,leginfo_bills,suggested_canonical,matched_name_in_crosswalk,matched_via,wratio,token_set_ratio
California Federation of Teachers,1849,Cailfornia Federation of Teachers,Cailfornia Federation of Teachers,canonical,97.0,97.0
"National Association of Social Workers, California Chapter",1442,"National Association of Social Worker, California Chapter",National Association of Social Worker s- California Chapter,alt(alternate_spelling),99.1,97.4
Disability Rights California,885,Disability Right California,Disability Right California,canonical,98.2,98.2
Friends Committee on Legislation of California,844,Fiends Committee on Legislation of California,Fiends Committee on Legislation of California,canonical,98.9,98.9
Health Access California,716,Health Access Californian,Health Access Californian,canonical,98.0,98.0
Association for Los Angeles Deputy Sheriffs,680,"Association for Los Angeles Deputy Sheriffs, Inc. (ALADS)",Association fo Los Angeles Deputy Sheriffs,alt(alternate_spelling),98.8,98.8
League of Women Voters of California,612,League of Women Voter of California,League of Women Voter of California,canonical,98.6,98.5
American Civil Liberties Union of California,553,American Civil Liberties Union,America Civil Liberties Union of California,alt(alternate_spelling),98.9,98.9
Peace Officers Research Association of California (PORAC),496,PEACE OFFICER'S RESEARCH ASSOCIATION OF CALIFORNIA,"Peace Officers Research Association of California, PORAC",alt(alternate_spelling),100.0,86.7
"American Academy of Pediatrics, California",436,AMERICA ACADEMY OF PEDIATRICS,"America Academy of Pediatrics, California",alt(chapter),98.8,98.8
Los Angeles Area Chamber of Commerce,378,Los Angeles Area Chambers of Commerce,Los Angeles Area Chambers of Commerce,canonical,98.6,98.6
Older Women's League of California,365,Oler Women's League of California,Oler Women's League of California,canonical,98.5,98.5
San Bernardino County Sheriff's Department,362,San Bernardino County Sheriff Department,San Bernardino County Sherriff's Department,alt(alternate_spelling),98.8,98.8
Los Angeles County,334,COUNTY OF LOS ANGELES,Los Angeles (County),alt(alternate_spelling),97.3,94.7
Health Officers Association of California,324,Health Officer Association of California,Health Officer Association of California,canonical,98.8,98.8
"American Legion, Department of California",232,AMERICAN LEGION - DEPARTMENT OF CALIFORNIA,American Legion--Department of California,alt(alternate_spelling),100.0,80.5
UNITE HERE,224,UNITE HERE!,UNITE HERE!,canonical,100.0,95.2
Union of American Physicians and Dentists,220,Union of American Physcians and Dentists,Union of American Physcians and Dentists,canonical,98.8,98.8
Midpeninsula Regional Open Space District,215,MID-PENINSULA REGIONAL OPEN SPACE DISTRICT,Midpeninsula Regional Open-Space District,alt(alternate_spelling),100.0,97.6
"Vietnam Veterans of America, California State Council",212,VIETNAM VETERANS OF AMERICA - CALIFORNIA STATE COUNCIL,Vietnam Veterans of America--California State Council,alt(alternate_spelling),100.0,96.2
NextGen California,208,Nexgen California,Nexgen California,canonical,97.1,91.4
American Lung Association of California,204,America Lung Association of California,America Lung Association of California,canonical,98.7,98.7
California State Council of Service Employees International Union,199,California State Council of the Service Employees International,California State Council Service Employees International Union,alt(alternate_spelling),97.6,100.0
"Employees, AFL-CIO",196,"Employee, AFL-CIO","Employee, AFL-CIO",canonical,97.1,97.1
"AMVETS, Department of California",191,AMVETS - DEPARTMENT OF CALIFORNIA,AMVETS--Department of California,alt(alternate_spelling),100.0,93.8
California Pan - Ethnic Health Network,186,California Pan - Ethnic Health Networ,California Pan - Ethnic Health Networ,canonical,98.7,98.7
California Fence Contractors' Association,180,AMERICAN FENCE CONTRACTORS' ASSOCIATION,Calfornia Fence Contractors' Association,alt(alternate_spelling),98.8,98.8
Los Angeles County Probation Officers Union,174,Los Angles County Probation Officers Union,Los Angles County Probation Officers Union,canonical,98.8,98.8
Nextgen California,170,Nexgen California,Nexgen California,canonical,97.1,97.1
Employees (AFSCME),163,"American Federation of State, County and Municipal Employees (AFSCME)",Employees (AFSME),alt(alternate_spelling),97.0,97.1
First 5 California,150,First 5 California/ California Children and Families Commission,First5 California,alt(alternate_spelling),97.1,91.4
Cal-Tax,150,Cal Tax,Cal Tax,canonical,100.0,85.7
AMVETS-Department of California,149,AMVEETS-Department of California,AMVEETS-Department of California,canonical,98.4,98.4
American Lung Association in California,148,AMERICAN LUNG ASSOCIATION,"American Lung Association, California",alt(chapter),97.4,94.7
American Association of University Women - California,146,AMERICAN ASSOCIATION OF UNIVERSITY WOMEN,American Association of University Women of California,alt(chapter),97.2,100.0
Jewish Public Affairs Committee of California,126,JEWISH PUBLIC AFFAIRS COMMITTEE,"Jewish Public Affairs Committee, California",alt(chapter),97.7,95.5
American Legion-Department of California,125,AMERICAN LEGION - DEPARTMENT OF CALIFORNIA,American Legion--Department of California,alt(alternate_spelling),98.8,98.8
American Nurses Association of California,118,American Nurse Association of California,American Nurse Association of California,canonical,98.8,98.8
American Civil Liberties Union (ACLU),118,American Civil Liberties Union,Amercian Civil Liberties Union (ACLU),alt(alternate_spelling),97.2,97.3
Vietnam Veterans of America-California State Council,116,VIETNAM VETERANS OF AMERICA - CALIFORNIA STATE COUNCIL,Vietnam Veterans of American-California State Council,alt(alternate_spelling),99.0,99.0
Lutheran Office of Public Policy - California,116,Lutheran Office of Pubic Policy - California,Lutheran Office of Pubic Policy - California,canonical,98.9,98.9
"Veterans of Foreign Wars, Department of California",109,"Veteran of Foreign Wars, Department of California","Veteran of Foreign Wars, Department of California",canonical,99.0,98.9
The Education Trust - West,105,EDUCATION TRUST-WEST,The Education Trust- West,alt(alternate_spelling),98.0,94.1
Planned Parenthood Mar Monte,100,Planed Parenthood Mar Monte,Planed Parenthood Mar Monte,canonical,98.2,98.2
Physicians for Social Responsibility - Los Angeles,99,Physicians for Social Responsibility - Los Angelese,Physicians for Social Responsibility - Los Angelese,canonical,99.0,99.0
First 5 Association of California,99,Frist 5 Association of California,Frist 5 Association of California,canonical,97.0,97.0
California Federation of Teachers (CFT),97,AMERICAN FEDERATION OF TEACHERS,California Federation of Teachers (AFT),alt(chapter),97.4,97.4
California Association of Public Authorities for IHSS,89,CALIFORNIA ASSOCIATION OF PUBLIC AUTHORITIES,California Association of Public Authorities for IHSS-,alt(alternate_spelling),100.0,99.1
Association of Los Angeles Deputy Sheriffs,88,"Association for Los Angeles Deputy Sheriffs, Inc. (ALADS)",Association fo Los Angeles Deputy Sheriffs,alt(alternate_spelling),97.6,97.6
Peralta Community College District,86,Peralta Community College School District,Peralta Community College Districts,alt(alternate_spelling),98.6,98.6
"California Association of County Veterans Service Officers, Inc",85,CALIFORNIA ASSOCIATION OF COUNTY VETERAN SERVICE OFFICERS,"California Association of County Veteran Service Officers, Inc",alt(alternate_spelling),99.2,99.2
California State Teachers' Retirement System,84,California State Teachers' Retirement System Board,California State Teaches' Retirement System,alt(alternate_spelling),98.9,98.9
Torrance Area Chamber of Commerce,78,Torrance Area Chambers of Commerce,Torrance Area Chambers of Commerce,canonical,98.5,98.5
American Nurses Association/California,77,American Nurse Association of California,American Nurse Association/California,alt(alternate_spelling),98.7,98.7
Orange County Sheriff's Department,74,Orange County Sherriff's Department,Orange County Sherriff's Department,canonical,98.6,98.6
