org_name,bills_supported
"Jewish Federation of Greater Los Angeles, the Jewish Federation of Greater Santa Barbara",12
"Edison International and Affiliates, Including Southern California Edison",39
Education Trust-West EdVoice,10
"Edison International and Affiliates, including Southern California Edison",10
County and Municipal Employees California Labor Federation,10
"Jewish Federation of Greater Los Angeles, the Jewish Federation of The Greater San Gabriel and Pomona Valleys",5
"Redevelopment Agencies of the Cities of Alhambra, Belmont, Brea, Carson, Ceres, Chico, Chula Vista, Culver City, El Cerrito, Emeryville, Hawaiian",1
"Police Chiefs of Claremont, El Monte, Irwindale, Pomona, Redding, San Gabriel, San Marino, South Pasadena, West Covina",1
"Mendocino County Librarian, Mindy Kittay, Pasadena Public Libraries, Director Jan Sanders",1
"Black Brant Group, The Cal-Ore Wetlands and Waterfowl Council",8
"Contractors, Engineering Contractors, Irvine Chamber of Commerce, Southern California General Contractors, Southern",4
Allied Managed Care and Acclamation Insurance Management Services,4
"Air Quality Coalition, Associated General",4
Marin and Sacramento Builders' Exchanges,3
"John and Marilyn Wells Family Foundation, Stories from the Frontline",3
State Treasurer Kathleen Brown. Association of California Water Agencies,3
"California State Association of Counties, California State Association of Local Agency Formation Commissions, East Bay Municipal Utility District",3
"California Chamber of Commerce, California Manufacturers and Technology Association",3
"5 Gyres Institute, The American Academy of Pediatrics, California",3
co-sponsors - California Employment Lawyers Association (CELA) and Equal Rights Advocates (ERA),2
"Youth Alive! American College of Emergency Physicians, California Chapter",2
"UNITE HERE! Local 30, Local 49, Local 483, and Local 2850",2
"Mateo, Santa Clara, Santa Cruz, Shasta, Solano, Sonoma, Stanislaus, Ventura, Yolo, and Yuba",1
"Patients Rights Advocates, Protection and Advocacy, Inc, AARP",2
Police chiefs of East Palo Alto and Santa Monica,2
"Planning and Conservation League, Sierra Club",2
Planning and Conservation League Sierra Club,2
"Nursing Home Reform (CANHR) and the Western Center on Law & Poverty (WCLP), who",2
"New Frontier Democratic Club, President and Chair of Criminal Justice Task Force, Black Women's Forum, Bobbie Anderson",2
Marin and Sacramento Builders Exchanges,2
Los Angeles County Board of Supervisors Los Angeles Community College District,2
Longshore and Warehouse Union Planned Parenthood Affiliates of California,2
"Legislative Alliance, and Ventura County Climate Hub",2
"League of Conservation Voters, American Lung",2
"League of California Cities, Sierra Club California",2
"Jewish Federation of Greater Los Angeles, the Jewish Federation of the Greater San Gabriel and Pomona Valleys",2
Jetty Extracts and the Shelter Project,2
Florin Resource Conservation District/elk Grove Water District,2
Fresno Economic Opportunity Commission/Fresno Local Conservation Corps,2
EdTrust-west EdVoice,2
Department of California AMVETS-Department of California Vietnam Veterans of America,2
Dolores Street Community Services Faith in Action Kern County Friends Committee on Legislation of California Harvey Milk LGBT Democratic Club Human Rights Watch Immigration Action Group,2
Inland Ocean Coalition & Colorado Ocean Coalition,2
Inland Abundant Housing & Housing and Homeless Collaborative of Claremont,2
Indivisible Colusa County Indivisible East Bay,2
Giffords Law Center to Prevent Gun Violence and National Network Of Hospital-Based Violence Intervention Programs (NNHVIP),2
Climate Institute Michael MacCracken,1
Plastic Pollution Coalition/ the Last Plastic Straw,3
Orange County School of the Arts / California School of the Arts Foundation,3
"Humane Society of the United States, The Humane Society Veterinary Medical Association",3
Cities of: Agoura Hills,2
"Cities of Cupertino, Los Altos Hills, Monte Sereno, Saratoga",2
Cities of Apple Valley,2
Cities of Alhambra,2
City of Ventura Counties of Alameda,2
County of Santa Clara County of Los Angeles,2
"County of Amador, City of Ione",2
County of Tuolumne Chiefs of Police of the Cities of Arroyo Grande,2
City of San Rafael/Marin County Council of Mayors & Council Members,2
"California Building Industry Association, California Business Properties Association",3
Children's Advocacy Institute / Dependency Legal Services (Co-Sponsors),2
Child Abuse Prevention Center/California Family Resource Association,2
Center for Public Interest Law/Children's Advocacy Institute,2
"Californians Against Waste, Environment California, Heal the",2
California Peace Officers' Association California Police Chiefs' Association,2
California Peace Officers' Association California Police Chiefs Association,2
California Cannabis Manufacturers Association and Kiva Confections,2
"California Association of County Treasurer-Tax Collectors, California State Association of Counties",2
California Rural Legal Assistance Foundation American Federation of State,2
California Chapter of the National Emergency Number Association California State Sheriffs' Association,2
"California Fire Chiefs Association and the Fire Districts Association of California, in support of the bill",2
California Fire Chiefs Association and the Fire Districts Association of California,2
California Fire Chiefs Association and Fire Districts: Association of California,2
"California Association of Professional Scientists, UAW Local 1115",2
"California School Employees Association, California Tax",2
Breast Cancer Fund and Commonweal,2
"Black Brant Group, The California Bowmen Hunters/State Archery Association",2
"Association of California Water Agencies, California Special District Association",2
Area Agency on Aging/North Coast Opportunities,2
"Amond Court, Inc., Anderson Valley Housing Association",2
"A Better Way, Inc., Community of Friends",2
Air Transport Association Southwest Airlines,2
"division of Kelly-Moore Paint Co, Inc., California Refuse Removal Council, Solid Waste",1
and Woodland Monterey Bay Unified Air Pollution Control District Monterey County Mayors' Association Salinas Area Chamber of Commerce,1
and Whittier League of California Cities Planning and Conservation League Sierra Club,1
"Black Brant Group, the Cal-Ore Wetlands and Waterfowl Council",3
"Audubon California, Defenders of Wildlife, The Nature",3
"Attorney General, the League of California Cities, the County Supervisors Association",3
"5 Gyres Institute, the Active San Gabriel Valley",3
"5 Gyres Institute, the 7th Generation Advisors",3
"Vinttrals INC. Medea & Associates, INC",2
"Trust for Public Land, The Wild Places",2
"Trust for Public Land, The UPSTREAM",2
"The California Commission on Aging, a co-sponsor with the California Elder Justice Coalition",2
a coalition of organizations representing affected licensees including the American Institute of Architects and the California Land Surveyors Association,1
"Zone, San Joaquin Partnership,Tehama Local Development",1
"Zone 7 Water Agency, Dublin San Ramon Services District, Roz",1
"Yurok Tribe, Pechanga Band of Mission Indians, and Bear River of the Rohnerville Rancheria",1
"Yurok Tribe, Klamath Water Users Association",1
Yuba City Towns of Paradise,1
Yuba City Cities of: Arroyo Grande,1
Youth and Family Coalition California State Association of Counties County of Santa Clara,1
Yolo County Office of Education/Davis Unified School District,1
