org_name,bills_supported
"Date: May 7, 1999",1
"Date: May 6, 1999",1
"Date: May 5, 1999",1
"Date: May 4, 1999",1
"Date: March 17, 1999",1
"Date: April 8, 1999",1
"Date: April 15, 1999",1
"Date: April 14, 1999",1
4/3/95:atrans,7
"January 22, 2015. [2] D.13-09-045",5
4/17/95:atrans,4
5/1/95:atrans,4
AGB:DLW:do 8/30/10 Senate Floor Analyses,4
Analysis Prepared by Ed Imai / TRANS. / (916) 319-2093,3
3/6/95:atrans,2
4/24/95:atrans,2
6/19/95:atrans,2
7/10/95:atrans,2
AGB:RJG:do 8/25/10 Senate Floor Analyses,2
AGB:kc:d 5/10/12 Senate Floor Analyses,2
CP:jk/sl 8/1/98 Senate Floor Analyses,2
NOTE: The opposition is reviewing the 5/18/95 amendments,2
TSM:DLW:do 8/27/10 Senate Floor Analyses,2
Verfied 8/27/24,2
"molesting of | | |pupils | | |(Before 9/15/61) Vagrancy, lewd: solicitation |(b) | |of homosexual activity | | |(After 1/1/88) Annoy/molest children |(a) | |Any attempt to commit any of the |(h) | |above-mentioned offenses | | |Any commission or attempt in another state or |(i) | |against the laws of the U.S. which if | | |committed in California would have been | | |punishable as one or more of the | | |above-mentioned offenses (including PC § 290) | | | |(k) | |offender under former article (commencing with| | |§ 6300, repealed in 1981) | | | | | |Offense |§ 44011 | |Subsectio| | |n | |Possession of designated controlled substances|(a) | |Possession/purchase of designated controlled | | |substances for sale | | |Possession of cocaine for sale | | |Transportation/etc. designated controlled | | |substances | | |Dispensing or furnishing drugs without a | | |license | | |Sale of heroin | | |Adult induces/etc. minor to violate controlled| | |substance provisions | | |Violation of 11353 by an adult near other | | |minors | | |Multiple violations of 11353 by an adult",2
none 12-29-11 none,2
transaction with minor | | |Sexual exploitation of a child | | |Employment or use of minor to perform | | |prohibited acts | | |Advertising for sale or distribution obscene | | |matter depicting a person under the age of 18 | | |years engaging in or simulating sexual conduct| | |Possession or control of matter depicting | | |minor engaging or simulating sexual conduct | | |Distribute harmful matter to minors | | |Indecent exposure (on or after 9/15/61) |(c) | |Disorderly conduct: solicit lewd act |(a) | |Disorderly conduct: loiter in or about toilet | | |(Before 12/31/87) Annoy/molest children | | |Loitering about adult schools,2
05/09/95:arul,1
05/15/95:arul,1
1/8/96:atrans,1
2/4/99 Page,1
2/9/99 Page,1
3/24/99 Page,1
4/15/99 Page,1
"5/18/00, and substantially amended on",1
"6/21/00, when extensive amendments were discussed. The committee",1
6/26/95:atrans,1
AB:AL:d 8/29/14 Senate Floor Analyses,1
AB:d:e:n 9/9/13 Senate Floor Analyses,1
AGB/DLW:mw 9/9/11 Senate Floor Analyses,1
AGB:DW:do 5/29/12 Senate Floor Analyses,1
AGB:DW:nl 5/11/11 Senate Floor Analyses,1
AGB:JA:d 9/11/13 Senate Floor Analyses,1
AGB:kc:d 5/14/12 Senate Floor Analyses,1
AL/RM:k 5/28/13 Senate Floor Analyses,1
AL:nl:d 6/3/14 Senate Floor Analyses,1
As it left the Senate on 5/12/03,1
CA Teachers Assoc. 4/29/95:algov,1
CP/NC:cm 6/24/98 Senate Floor Analyses,1
CP:cm/ctl 5/26/98 Senate Floor Analyses,1
CP:cm/ctl 5/5/98 Senate Floor Analyses,1
CP:cm/ctl 7/14/98 Senate Floor Analyses,1
CP:cm/ctl 8/28/98 Senate Floor Analyses,1
CP:ctl /cm 3/19/98 Senate Floor Analyses,1
CP:ctl/cm 5/11/98 Senate Floor Analyses,1
CP:ctl/cm 5/26/98 Senate Floor Analyses,1
CP:ctl/cm 5/6/98 Senate Floor Analyses,1
CP:ctl/cm 8/13/98 Senate Floor Analyses,1
CP:ctl/cm/jk 5/28/98 Senate Floor Analyses,1
CP:ctl/jk/sl/ctl/cm 8/27/98 Senate Floor Analyses,1
CP:nf/cm/ctl 1/28/98 Senate Floor Analyses,1
CP:nf/jk 1/28/98 Senate Floor Analyses,1
CP:sl/jk 1/28/98 Senate Floor Analyses,1
CP:sl/jk 7/22/98 Senate Floor Analyses,1
CP:sl/jk/ctl 1/28/98 Senate Floor Analyses,1
CTW/AGB:cm 9/10/07 Senate Floor Analyses,1
CTW/AGB:mel 8/17/05 Senate Floor Analyses,1
CTW/AGB:mel 8/29/06 Senate Floor Analyses,1
CTW/DLW:k 8/21/12 Senate Floor Analyses,1
CTW/DLW:k 8/27/12 Senate Floor Analyses,1
CTW/DLW:kc 5/21/12 Senate Floor Analyses,1
CTW:DLW:do 8/20/09 Senate Floor Analyses,1
CTW:d0 5/10/06 Senate Floor Analyses,1
"California Federation of Teachers California Teachers Association Appendix A Specified Offenses Covered by |§ 44010 | | |Subsectio| | |n | |Assault to commit rape |(a) | |Sexual battery | | | | |Rape | | |Unlawful sexual intercourse with minor | | |(statutory rape) | | |Rape of spouse by force/fear/threat | | |Aiding and abetting rape | | |Entice minor female for prostitution/etc. | | |Providing or transporting child under 16 for | | |lewd or lascivious act | | |Abduct minor for prostitution | | |(on or after 9/15/61) Contributing to the |(e) | |delinquency of a minor involving | | |lewd/lascivious conduct | | |Incest |(a) | |Sodomy |(a), (g) | |Lewd or lascivious acts with child under 14 |(a) | |years | | |Lewd or lascivious acts |(a) | |Oral copulation |(a), (g) | |Penetration by foreign object |(a) | |Registration as a sex offender and any |(j) | |conviction resulting in requirement to | | |register as a sex offender | | |Indecent exposure (after 9/7/55 but before |(d) | |9/15/61) | | |(before 9/15/61) Procuring another's lewd |(b) | |exposure or excitation lewd thoughts | | |Sent or brought into state for sale or |(a) | |distribution, matter depicting sexual conduct | | |by minor | | |Sending or bringing into state for sale or | | |distribution, matter depicting sexual conduct | | |by minor",1
"California Teachers Association Appendix A Specified Offenses Covered by |§ 44010 | | |Subsectio| | |n | |Assault to commit rape |(a) | |Sexual battery | | | | |Rape | | |Unlawful sexual intercourse with minor | | |(statutory rape) | | |Rape of spouse by force/fear/threat | | |Aiding and abetting rape | | |Entice minor female for prostitution/etc. | | |Providing or transporting child under 16 for | | |lewd or lascivious act | | |Abduct minor for prostitution | | |(on or after 9/15/61) Contributing to the |(e) | |delinquency of a minor involving | | |lewd/lascivious conduct | | |Incest |(a) | |Sodomy |(a), (g) | |Lewd or lascivious acts with child under 14 |(a) | |years | | |Lewd or lascivious acts |(a) | |Oral copulation |(a), (g) | |Penetration by foreign object |(a) | |Registration as a sex offender and any |(j) | |conviction resulting in requirement to | | |register as a sex offender | | |Indecent exposure (after 9/7/55 but before |(d) | |9/15/61) | | |(before 9/15/61) Procuring another's lewd |(b) | |exposure or excitation lewd thoughts | | |Sent or brought into state for sale or |(a) | |distribution, matter depicting sexual conduct | | |by minor | | |Sending or bringing into state for sale or | | |distribution, matter depicting sexual conduct | | |by minor",1
Geoff Long / APPR. / (916) 319-2081,1
JG:nl:d 9/11/13 Senate Floor Analyses,1
JG:nl:d 9/19/13 Senate Floor Analyses,1
JG:nl:k 9/11/13 Senate Floor Analyses,1
Judicial Council of CA 4/15/95:algov,1
