leginfo_org,leginfo_bills,suggested_canonical,matched_name_in_crosswalk,matched_via,wratio,token_set_ratio
California Federation of Teachers,1849,Cailfornia Federation of Teachers,Cailfornia Federation of Teachers,canonical,97.0,97.0
"National Association of Social Workers, California Chapter",1442,"National Association of Social Worker, California Chapter",National Association of Social Worker s- California Chapter,alt(alternate_spelling),99.1,97.4
Disability Rights California,885,Disability Right California,Disability Right California,canonical,98.2,98.2
Friends Committee on Legislation of California,844,Fiends Committee on Legislation of California,Fiends Committee on Legislation of California,canonical,98.9,98.9
Health Access California,716,Health Access Californian,Health Access Californian,canonical,98.0,98.0
Association for Los Angeles Deputy Sheriffs,680,"Association for Los Angeles Deputy Sheriffs, Inc. (ALADS)",Association fo Los Angeles Deputy Sheriffs,alt(alternate_spelling),98.8,98.8
League of Women Voters of California,612,League of Women Voter of California,League of Women Voter of California,canonical,98.6,98.5
American Civil Liberties Union of California,553,American Civil Liberties Union,America Civil Liberties Union of California,alt(alternate_spelling),98.9,98.9
Peace Officers Research Association of California (PORAC),496,PEACE OFFICER'S RESEARCH ASSOCIATION OF CALIFORNIA,"Peace Officers Research Association of California, PORAC",alt(alternate_spelling),100.0,86.7
"American Academy of Pediatrics, California",436,AMERICA ACADEMY OF PEDIATRICS,"America Academy of Pediatrics, California",alt(chapter),98.8,98.8
Several individuals,390,Several,Several,canonical,90.0,100.0
Los Angeles Area Chamber of Commerce,378,Los Angeles Area Chambers of Commerce,Los Angeles Area Chambers of Commerce,canonical,98.6,98.6
Older Women's League of California,365,Oler Women's League of California,Oler Women's League of California,canonical,98.5,98.5
San Bernardino County Sheriff's Department,362,San Bernardino County Sheriff Department,San Bernardino County Sherriff's Department,alt(alternate_spelling),98.8,98.8
California Common Cause,344,California Common,California Common,canonical,95.0,100.0
Los Angeles County,334,COUNTY OF LOS ANGELES,Los Angeles (County),alt(alternate_spelling),97.3,94.7
Health Officers Association of California,324,Health Officer Association of California,Health Officer Association of California,canonical,98.8,98.8
"American Legion, Department of California",232,AMERICAN LEGION - DEPARTMENT OF CALIFORNIA,American Legion--Department of California,alt(alternate_spelling),100.0,80.5
Pacific Gas and Electric Company,230,Pacific Gas and Electricity Company,Pacific Gas and Electricity Company,canonical,95.5,95.5
UNITE HERE,224,UNITE HERE!,UNITE HERE!,canonical,100.0,95.2
Union of American Physicians and Dentists,220,Union of American Physcians and Dentists,Union of American Physcians and Dentists,canonical,98.8,98.8
Midpeninsula Regional Open Space District,215,MID-PENINSULA REGIONAL OPEN SPACE DISTRICT,Midpeninsula Regional Open-Space District,alt(alternate_spelling),100.0,97.6
"Vietnam Veterans of America, California State Council",212,VIETNAM VETERANS OF AMERICA - CALIFORNIA STATE COUNCIL,Vietnam Veterans of America--California State Council,alt(alternate_spelling),100.0,96.2
NextGen California,208,Nexgen California,Nexgen California,canonical,97.1,91.4
American Lung Association of California,204,America Lung Association of California,America Lung Association of California,canonical,98.7,98.7
California State Council of Service Employees International Union,199,California State Council of the Service Employees International,California State Council Service Employees International Union,alt(alternate_spelling),97.6,100.0
"Employees, AFL-CIO",196,"Employee, AFL-CIO","Employee, AFL-CIO",canonical,97.1,97.1
Sierra Club of California,191,SIERRA CLUB,"Sierra Club, California",alt(chapter),95.8,91.7
"AMVETS, Department of California",191,AMVETS - DEPARTMENT OF CALIFORNIA,AMVETS--Department of California,alt(alternate_spelling),100.0,93.8
California Pan - Ethnic Health Network,186,California Pan - Ethnic Health Networ,California Pan - Ethnic Health Networ,canonical,98.7,98.7
California Fence Contractors' Association,180,AMERICAN FENCE CONTRACTORS' ASSOCIATION,Calfornia Fence Contractors' Association,alt(alternate_spelling),98.8,98.8
"Association for Los Angeles Deputy Sheriffs, Inc",175,"Association for Los Angeles Deputy Sheriffs, Inc. (ALADS)","Association for Los Angeles Deputy Sheriffs, Inc. (ALADS)",canonical,95.0,95.7
Los Angeles County Probation Officers Union,174,Los Angles County Probation Officers Union,Los Angles County Probation Officers Union,canonical,98.8,98.8
350 Bay Area Action,174,Bay Area Action,Bay Area Action,canonical,95.0,100.0
Nextgen California,170,Nexgen California,Nexgen California,canonical,97.1,97.1
Placer County Deputy Sheriffs' Association,166,Placer County Deputy Sheriffs,Placer County Deputy Sheriffs,canonical,95.0,81.7
Asian Americans Advancing Justice - California,165,ASIAN AMERICANS ADVANCING JUSTICE,Asian Americans Advancing Justice of California,alt(chapter),96.8,97.8
Employees (AFSCME),163,"American Federation of State, County and Municipal Employees (AFSCME)",Employees (AFSME),alt(alternate_spelling),97.0,97.1
NARAL Pro-Choice California,162,National Abortion Rights Action League,NARAL Pro-Choice California Foundation,alt(chapter),95.0,100.0
County,162,California District Agricultural Association,"2nd DAA, San Joaquin County Fair",alt(chapter),90.0,100.0
San Francisco Chamber of Commerce,158,"Commerce, San Francisco","Commerce, San Francisco",canonical,95.0,78.6
Lawyers' Committee for Civil Rights of the San Francisco Bay Area,151,Committee for Civil Rights of the San Francisco Bay,Committee for Civil Rights of the San Francisco Bay,canonical,95.0,100.0
First 5 California,150,First 5 California/ California Children and Families Commission,First5 California,alt(alternate_spelling),97.1,91.4
Cal-Tax,150,Cal Tax,Cal Tax,canonical,100.0,85.7
Association of Orange County Deputy Sheriffs,149,Assn. of Orange County Deputy Sheriffs,Association of the Orange County Deputy Sheriffs,alt(alternate_spelling),95.7,100.0
AMVETS-Department of California,149,AMVEETS-Department of California,AMVEETS-Department of California,canonical,98.4,98.4
American Lung Association in California,148,AMERICAN LUNG ASSOCIATION,"American Lung Association, California",alt(chapter),97.4,94.7
San Diego County District Attorney's Office,146,District Attorneys,County District Attorney' Office,alt(alternate_spelling),95.0,85.3
American Association of University Women - California,146,AMERICAN ASSOCIATION OF UNIVERSITY WOMEN,American Association of University Women of California,alt(chapter),97.2,100.0
Union,143,Consumers Union,Consumers Union,canonical,90.0,100.0
County Welfare Directors Association of California (CWDA),138,County Welfare Association of California,County Welfare Association of California,canonical,95.0,100.0
Children's Defense Fund-California,137,CHILDREN'S DEFENSE FUND,Children's Defense Fund of California,alt(chapter),95.8,81.7
Habitat for Humanity California,131,Habitat for Humanity,Habitat for Humanity of California,alt(chapter),95.4,100.0
Chapter,130,LA Chapter,LA Chapter,canonical,95.0,100.0
California State Council of Service Employees International Union (SEIU California),129,California State Council of the Service Employees International,California State Council of Service Employees International,alt(alternate_spelling),95.0,100.0
Council,128,Council 16,Council 16,canonical,95.0,100.0
Jewish Public Affairs Committee of California,126,JEWISH PUBLIC AFFAIRS COMMITTEE,"Jewish Public Affairs Committee, California",alt(chapter),97.7,95.5
District,125,District 1,District 1,canonical,95.0,100.0
American Legion-Department of California,125,AMERICAN LEGION - DEPARTMENT OF CALIFORNIA,American Legion--Department of California,alt(alternate_spelling),98.8,98.8
