org_name,bills_supported
California Federation of Teachers,1849
"National Association of Social Workers, California Chapter",1442
Disability Rights California,885
Friends Committee on Legislation of California,844
Health Access California,716
Association for Los Angeles Deputy Sheriffs,680
League of Women Voters of California,612
American Civil Liberties Union of California,553
Numerous individuals,531
Peace Officers Research Association of California (PORAC),496
"American Academy of Pediatrics, California",436
Several individuals,390
Los Angeles Area Chamber of Commerce,378
Judicial Council of California,375
Older Women's League of California,365
1 individual,363
San Bernardino County Sheriff's Department,362
California Common Cause,344
Los Angeles County,334
CALPIRG,329
Health Officers Association of California,324
Service Employees International Union (SEIU),257
Two individuals,248
"American Legion, Department of California",232
Pacific Gas and Electric Company,230
San Diego Regional Chamber of Commerce,225
UNITE HERE,224
1 Individual,224
Union of American Physicians and Dentists,220
Author,218
Midpeninsula Regional Open Space District,215
"Vietnam Veterans of America, California State Council",212
NextGen California,208
American Lung Association of California,204
California State Council of Service Employees International Union,199
"Employees, AFL-CIO",196
CaliforniaHealth+ Advocates,193
ACLU,192
Sierra Club of California,191
"AMVETS, Department of California",191
2 individuals,188
California Pan - Ethnic Health Network,186
Worksafe,185
Associated General Contractors of California,182
California Fence Contractors' Association,180
"Association for Los Angeles Deputy Sheriffs, Inc",175
Los Angeles County Probation Officers Union,174
350 Bay Area Action,174
Numerous Individuals,173
Nextgen California,170
Placer County Deputy Sheriffs' Association,166
Asian Americans Advancing Justice - California,165
UDW/AFSCME Local 3930,163
Employees (AFSCME),163
NARAL Pro-Choice California,162
County,162
San Francisco Chamber of Commerce,158
Association,155
Lawyers' Committee for Civil Rights of the San Francisco Bay Area,151
First 5 California,150
Cal-Tax,150
Association of Orange County Deputy Sheriffs,149
AMVETS-Department of California,149
American Lung Association in California,148
San Diego County District Attorney's Office,146
American Association of University Women - California,146
Flasher/Barricade Association,144
CIO,144
Union,143
County Welfare Directors Association of California (CWDA),138
Children's Defense Fund-California,137
United Nurses Association of California,132
Habitat for Humanity California,131
Chapter,130
California State Council of Service Employees International Union (SEIU California),129
An individual,129
Council,128
California Association,128
Jewish Public Affairs Committee of California,126
District,125
American Legion-Department of California,125
3 individuals,125
United Nurses Associations of California/Union of Health Care Professionals,124
California Medical Association (CMA),124
"Service Employees International Union, Local 1000",121
Orange County,120
California Hispanic Chambers of Commerce,119
SPONSOR,118
American Nurses Association of California,118
American Civil Liberties Union (ACLU),118
Secretary of State Debra Bowen,117
Vietnam Veterans of America-California State Council,116
Lutheran Office of Public Policy - California,116
"California Federation of Teachers, AFT, AFL-CIO",116
Asian Law Caucus,116
San Jose-Evergreen Community College District,113
California Attorney General,113
Children's Defense Fund - California,112
Attorney General Bill Lockyer,112
Individuals,111
"Veterans of Foreign Wars, Department of California",109
Three individuals,106
Several Individuals,106
The Education Trust - West,105
Secretary of,104
Attorney General Rob Bonta,104
ACLU of California,103
Alameda County District Attorney,102
South Bay YIMBY,101
Planned Parenthood Mar Monte,100
San Diego County Sheriff's Department,99
Physicians for Social Responsibility - Los Angeles,99
First 5 Association of California,99
California State Conference of the NAACP,99
2 Individuals,99
Mountain View YIMBY,97
California Federation of Teachers (CFT),97
Santa Cruz YIMBY,96
