org_name,bills_supported
Numerous individuals,531
Judicial Council of California,375
1 individual,363
CALPIRG,329
Service Employees International Union (SEIU),257
Two individuals,248
San Diego Regional Chamber of Commerce,225
1 Individual,224
Author,218
CaliforniaHealth+ Advocates,193
ACLU,192
2 individuals,188
Worksafe,185
Associated General Contractors of California,182
Numerous Individuals,173
UDW/AFSCME Local 3930,163
Association,155
Flasher/Barricade Association,144
CIO,144
United Nurses Association of California,132
An individual,129
California Association,128
3 individuals,125
California Hispanic Chambers of Commerce,119
SPONSOR,118
San Jose-Evergreen Community College District,113
Attorney General Bill Lockyer,112
Individuals,111
Three individuals,106
Attorney General Rob Bonta,104
2 Individuals,99
East Bay YIMBY,91
Various individuals,86
California Health+ Advocates,83
Secretary of State Alex Padilla,82
Industry,82
numerous individuals,80
A New Way of Life Reentry Project,79
350 Humboldt: Grass Roots Climate Action,79
Santa Rosa YIMBY,77
East Bay Yimby,77
CalPIRG,76
Indivisible CA: StateStrong,75
4 individuals,75
3 Individuals,71
writing,70
Rancho Cordova Chamber of Commerce,70
California Speech-Language-Hearing Association,70
Santa Rosa Yimby,69
several individuals,68
(Unable to re-verify at time of writing),68
individuals,67
Cities of,65
Hollywood Chamber of Commerce,64
People for Housing - Orange County,63
two individuals,59
Wildcoast,58
Indivisible Sacramento,58
CA Chamber of Commerce,57
Sierra Club CA,55
One private individual,55
Four individuals,55
Writing,54
California Society of Health System Pharmacists,54
Many individuals,53
Attorney General Kamala Harris,51
Folsom Chamber of Commerce,50
Sacramento,49
WILDCOAST,48
Two Individuals,48
Southern California Association of Nonprofit Housing,47
Individual letters,47
"California Rifle and Pistol Association, Inc",47
State Treasurer Fiona Ma,46
Letters from individuals,46
350 Conejo / San Fernando Valley,46
(unable to re-verify at time of writing),46
El Dorado County Chamber of Commerce,45
SB,44
Catalyst California,44
Californiahealth+ Advocates,44
Progressive Zionists of California,43
Indivisible California Green Team,43
Fullerton Chamber of Commerce,43
Elk Grove Chamber of Commerce,43
WEAVE,42
National Association,42
Greater Los Angeles African American Chamber of Commerce,42
writes,41
a number of individuals,40
WORKSAFE,40
Sacramento Black Chamber of Commerce,40
David Felderstein,40
and,39
PATH,39
Oceanside Chamber of Commerce,39
Five individuals,39
"Edison International and Affiliates, Including Southern California Edison",39
Brea Chamber of Commerce,39
An Individual,39
GOVERNOR'S VETO MESSAGE,38
4 Individuals,38
Not known,37
1 private individual,37
Tulare Chamber of Commerce,36
State Treasurer Phil Angelides,36
PG&E,36
Fresno Metro Black Chamber of Commerce,36
13 individuals,36
Yuba Sutter Chamber of Commerce,35
VFW-Department of California,35
sponsor,34
Planned Parenthood Northern California Action Fund,34
"Physicians for Social Responsibility, San Francisco Bay Area Chapter",34
Individual,34
California Council for the Blind,34
CMA,34
10 individuals,34
(Unable to re-verify at time of this writing),34
San Jose-evergreen Community College District,33
Roseville Area Chamber of Commerce,33
"Oakland, City of",33
Nonprofit Housing Association of Northern California,33
Letters from Individuals,33
Chino Valley Chamber of Commerce,33
Camarillo Chamber of Commerce,33
(unable to re-verify at time of this writing),33
Santa Monica Chamber of Commerce,32
California Labor Federation (CLF),32
1 Private Individual,32
Unite Here,31
"Secretary of State, Alex Padilla",31
Oakland Metropolitan Chamber of Commerce,31
Numerous individual letters,31
Milpitas Chamber of Commerce,31
El Dorado Hills Chamber of Commerce,31
Other,30
No known,30
Garden Grove Chamber of Commerce,30
Cloverdale Indivisible,30
