org_name,bills_supported
Area Agency on Aging Advisory Council,15
Parent Teachers Association,4
Council of California,4
long-term,3
districts),3
California School,3
Developmental Disabilities Area Board,2
Several individuals,390
County,162
Union,143
Chapter,130
Council,128
District,125
Several Individuals,106
Secretary of,104
Services,77
Department,74
Counties,73
Concerns,72
Center,69
Board,69
Angeles,58
Mayor,56
5 individuals,55
Physicians,53
Commission,53
Coalition,51
Administration,45
of Colored People,44
Supporters,40
Merced,39
Francisco,39
Counties of,39
1 private citizen,38
Marin,19
Protection,18
Languages,18
Foundation,18
Division,18
at Home,17
Women For,17
PTA,17
Monterey,17
Mendocino,17
League,17
California Coalition,17
Colleges,16
coalition,15
Teachers,15
Ontario,15
Officers Association,15
Development,15
Cupertino,15
Agency,15
Several letters from individuals,14
Providence,14
Project,14
Affairs,14
Yuba,13
Pomona,13
Madera,13
6 individuals,37
7 individuals,36
Stockton,35
Organizations,33
Napa,32
Orange,31
Several individual letters,30
Office,30
Neutral,29
AB,28
Network,27
Department of California,26
Corporation,26
City,26
Oakland,25
Floor,24
Disabilities,24
Alliance,24
Program,23
Region,21
Modesto,21
California Council,21
Associations,21
Valley,20
Placer,20
Moreno Valley,20
Agencies,20
