org_name,count
California Nurses Association/National Nurses Organizing Committee,197
California Hospital Association/california Association of Hospitals and Health Systems,61
Insurance Commissioner Ricardo Lara / California Department of Insurance,50
Center for Public Interest Law/children's Advocacy Institute/university of San Diego,50
AFL-CIO American Federation of State,35
AFL-CIO California Labor Federation,35
AFL-CIO Housing Investment Trust,26
California Nurses Association/ National Nurses Organizing Committee,15
Issue | | |days |days,15
Planning and Conservation League Sierra Club,14
AFL-CIO California School Employees Association,14
Sonoma County Transportation Authority/regional Climate Protection Authority,14
Florin Resource Conservation District/elk Grove Water District,10
Brawley Chamber of Commerce Brea Chamber of Commerce,8
Grocery Manufacturers Association/Food Products Association,8
Santa Clara Chamber of Commerce and Simi Valley Chamber of Commerce,7
County of County of Monterey,7
County of County of Santa Clara,7
Northern California Council/Federation of Fly Fishers,7
"Ricardo Lara, Insurance Commissioner/California Department of Insurance",7
"American Federation of State, County and Municipal Employees, AFL-CIO American Legion-Department of California",6
"American Federation of State, County and Municipal Employees, Associated Builders and Contractors of California",6
"American of Federal, State, County and Municipal Employees, AFL-CIO Peace Officers Research Association of California",6
AFL-CIO California Federation of Teachers,6
AFL-CIO Judy Michaels,6
Insurance Commissioner Ricardo Lara/California Department of Insurance,6
Safari Club International/Safari Club International Foundation,6
"NAACP of Sacramento, Santa Rosa and Vallejo",5
City of San Diego State Board of Equalization Burbank Chamber of Commerce Aris Helicopters,5
California Teachers Association/Community College Association,5
City of Windsor City of Arcata Councilmember,5
Department of General Services/Victim Compensation and Government Claim Board,5
Pacific Coast Federation of Fishermen's Associations/Institute for Fisheries Resources,5
Calif. Municipal Utilities Assn.Sierra Club of California,4
Sierra Club California Coastal Committee,4
"Sierra Club California, Planning and Conservation League",4
"California Building Industry Association, California Business Properties Association",4
"American Civil Liberties UnionAmerican Federation of State, County and Municipal Employees",4
"American Federation of State, County, Municipal Employees (AFSCME) The Greenspan Company",4
AFL-CIO California Tax Reform Association,4
AFL-CIO California Teachers Association,4
AFL-CIO Cement Masons,4
California Association of Councils of Governments/Self Help Counties Coalition,4
County of County of Los Angeles,4
"California League of Conservation Voters, Sierra Club California",3
"League of California Cities, Sierra Club California",3
"Planning and Conservation League, Santa Cruz, Sierra Club California, Silicon Valley Leadership Group",3
"San Diego Baykeeper, Baykeepers-North Sierra Club",3
San Diego Community College District San Diego County Board of Supervisors San Diego East County Chamber of Commerce San Diego Hispanic Chamber of Commerce Santee Chamber of Commerce Sheila Jackson,3
San Mateo County Parks and Recreation Foundation Sierra Club,3
"Sierra Club, Planning and Conservation League",3
"Kids in Common, a program of Planned Parenthood Mar Monte",3
"5 Gyres Institute, the Audubon California",3
"Audubon California, Defenders of Wildlife, The Nature",3
"Audubon Society, The Nature Conservancy, The Trust for",3
"San Francisco Bay Restoration Program, National Audubon Society",3
"California Chamber of Commerce, California Manufacturers and Technology Association, Western States Petroleum Association",3
18|8 Fine Men's Hair Salon of Playa Vista,3
BSA|The Software Alliance,3
California Health Federation/Sequoia Health Foundation,3
California Retailers Association/National Association of Chain Drug Stores,3
City of Carlsbad Lifeguard Academy (Academy). The City of Carlsbad,3
City of City of Tulare,3
City of Sacramento City of San Bernardino,3
