org_name,count
CALIFORNIA CHAMBER OF COMMERCE,11436
"AMERICAN FEDERATION OF STATE , COUNTY AND MUNICIPAL EMPLOYEES",10068
Sierra Club,9405
CALIFORNIA STATE ASSOCIATION OF COUNTIES,9047
California Labor Federation,9021
LEAGUE OF CALIFORNIA CITIES,7769
CALIFORNIA TEACHER'S ASSOCIATION,7699
CALIFORNIA MEDICAL ASSOCIATION,7057
CALIFORNIA DISTRICT ATTORNEY'S ASSOCIATION,6899
CALIFORNIA STATE SHERIFF'S ASSOCIATION,6425
CALIFORNIA ATTORNEY'S FOR CRIMINAL JUSTICE,6122
California School Employees Association,6035
CALIFORNIA PUBLIC DEFENDER'S ASSOCIATION,5796
ACLU CALIFORNIA,5381
PLANNING AND CONSERVATION LEAGUE,5253
California Nurses Association,5135
CALIFORNIA FEDERATION OF TEACHERS,5122
California Professional Firefighters,5107
California Police Chief's Association,5101
CONSUMER ATTORNEYS OF CALIFORNIA,4662
WESTERN CENTER ON LAW AND POVERTY,4629
PEACE OFFICER'S RESEARCH ASSOCIATION OF CALIFORNIA,4582
Department of Finance,4520
California Teamsters Public Affairs Council,4415
NATURAL RESOURCES DEFENSE COUNCIL,4135
CALIFORNIA ASSOCIATION OF REALTORS,4117
California Rural Legal Assistance Foundation,4061
California Retailers Association,4054
CONGRESS OF CALIFORNIA SENIORS,3826
California Catholic Conference,3819
ASSOCIATION OF CALIFORNIA WATER AGENCIES,3755
NATIONAL ASSOCIATION OF SOCIAL WORKERS - CALIFORNIA CHAPTER,3733
SERVICE EMPLOYEES' INTERNATIONAL UNION,3574
CALTAX,3520
California Building Industry Association,3514
CALIFORNIA PEACE OFFICERS' ASSOCIATION,3488
CALIFORNIA FARM BUREAU FEDERATION,3481
California Apartment Association,3416
CITY OF LOS ANGELES,3288
CALIFORNIA BUSINESS PROPERTIES ASSOCIATION,3232
CALIFORNIA LEAGUE OF CONSERVATION VOTERS,3223
FRIENDS COMMITTEE ON LEGISLATION,3165
CONSUMER'S UNION,3136
California School Boards Association,3105
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL",2932
California Hospital Association,2881
ASSOCIATION OF CALIFORNIA SCHOOL ADMINISTRATORS,2853
Association,2846
RIVERSIDE SHERIFF'S ASSOCIATION,2843
CONSUMER FEDERATION OF CALIFORNIA,2775
Los Angeles Unified School District,2744
Disability Rights,2729
CHILDREN NOW,2709
Health Access,2661
CALIFORNIA MANUFACTURERS AND TECHNOLOGY ASSOCIATION,2634
CALIFORNIA STATE PTA,2535
California Special Districts Association,2462
California Grocers Association,2430
RURAL COUNTY REPRESENTATIVES OF CALIFORNIA,2411
Western Center on Law Poverty,2376
CITY AND COUNTY OF SAN FRANCISCO,2348
California Immigrant Policy Center,2297
California Bankers Association,2269
Howard Jarvis Taxpayers Association,2266
Judicial Council,2238
CLEAN WATER ACTION,2234
