org_name,count
None parsed,21467
None to date,1516
None Registered,1285
None Submitted,699
Oppose,600
No Known,515
FISCAL COMMITTEE: Senate Appropriations Committee,319
OPPOSE UNLESS AMENDED,303
GOVERNOR'S VETO MESSAGE,223
FISCAL COMMITTEE: Senate Appropriations,207
Southern California,141
Santa Clara,124
Assembly Votes,89
Santa Cruz,80
Sonoma,78
NONE,77
Neutral,77
State,76
FISCAL COMMITTEE: No,70
(Unable to re-verify at time of writing),68
Not Known,68
Santa Maria,66
Thousand Oaks,66
Prior Version,63
Santa Monica,63
Nevada,55
(unable to re-verify at time of writing),46
Solano,46
Domestic Violence,45
PREVIOUS LEGISLATION,45
WRITTEN COMMUNICATIONS: On file with Committee,43
Yes No None,40
(Unable to re-verify at time of this writing),34
(unable to re-verify at time of this writing),33
Opposition (unless amended),28
Siskiyou,28
Assembly votes,24
Child Abuse,24
PageE,24
"As of June 25, 2010",23
County of Poverty,23
Gun Violence,23
PageC,23
SENATE RULES COMMITTEE: Sandy Kenyon/445-6593,23
write,23
Statutes of 2015,22
"As of June 18, 2010",20
"As of June 19, 2009",20
PageF,20
Yes Yes None,20
(prior version),19
"As of June 20, 2008",19
DUAL REFERRAL: Senate Rules Committee,19
"As of April 24, 2009",18
"As of June 24, 2011",18
Opposed,18
PageB,18
(Unable to reverify Support,17
WRITTEN COMMUNICATIONS: None,17
the opposition,17
"(As of June 20, 2008)",16
"As of April 10, 2009",16
PREVIOUS VERSION,16
SB **** END,16
"As of June 20, 2014",15
"As of June 21, 2013",15
"As of June 6, 2014",15
PRIOR ACTION,15
SENATE RULES COMMITTEE: Sandy Kenyon/651-4153,15
San Francisco Bay,15
Statutes of 2021,15
Act of 1927,14
"As of April 14, 1995",14
Bill No.: SB,14
Counties of Alameda,14
FISCAL COMMITTEE: Yes,14
Improvement Area Law,14
Law of 1951,14
Law of 1960,14
Los Gatos,14
PageD,14
San Dimas,14
Six Private Citizens,14
Statutes of 2018,14
"As of July 3, 1997",13
"As of June 21, 2007",13
"As of June 23, 2006",13
"As of June 24, 2005",13
Stanton,13
Statutes of 2019,13
Act of 1931,12
"As of April 19, 2007",12
"As of April 21, 2005",12
"As of June 18, 2004",12
"As of June 22, 2000",12
"As of June 7, 2002",12
County Correctional Facility Capital Expenditure,12
Executive Director,12
Kerman,12
PRIOR VOTES,12
Several Private Citizens,12
THE PEOPLE OF THE STATE OF CALIFORNIA DO ENACT AS FOLLOWS,12
Villa,12
Www.gmoscience.org,12
"As of July 5, 2001",11
"As of July 7, 1995",11
"As of June 22, 2012",11
"As of June 27, 2003",11
Majority Override Election,11
Ojai,11
Oppose None reported to committee,11
San Fernando,11
Statutes of 2017,11
Unable to reverify,11
"As of April 20, 2012",10
"As of September 12, 2001",10
Bill No,10
Civil Rights,10
Prior version,10
See Comment 6,10
Statutes of 2016,10
wrote,10
Act of 1913,9
"As of July 3, 2003",9
"As of July 3, 2009",9
"As of June 10, 2011",9
"As of June 6, 2008",9
Continued,9
DUAL REFERRAL: Senate Judiciary Committee,9
FISCAL COMMITTEE: none,9
KEY POLICY ISSUE,9
Ridgecrest,9
Statutes of 2014,9
TO BE ADDED,9
The opponents,9
There is no,9
a coalition of organizations,9
we must respectfully,9
(unable to re-verify due to time limitation),8
AB 34 X2,8
Act of 1909,8
Act of 1943,8
"As of April 20, 2006",8
"As of July 5, 2007",8
"As of July 6, 2009",8
"As of June 14, 1996",8
"As of June 9, 2005",8
Current law,8
Law of 1982 (25% for road),8
Lighting Act of 1972,8
My Administration,8
SB 844,8
Small Businesses,8
Statutes of 2020,8
11XXXX,7
"As of April 11, 1997",7
"As of April 24, 2003",7
"As of April 4, 2003",7
"As of April 5, 2013",7
"As of June 21, 1996",7
"As of June 21, 2001",7
"As of June 26, 1997",7
"As of June 4, 2010",7
"As of June 5, 2009",7
"As of March 31, 1995",7
Attendance,7
Bill No.: AB,7
Chapter 1,7
China,7
Counties of Contra Costa,7
County of Urban Counties Caucus,7
DUAL REFERRAL: Senate Committee on Rules,7
"Joaquin, Stanislaus, Merced, Fresno and San Luis Obispo",7
"Obispo County, San Mateo County, Northern Santa Barbara",7
PRIOR ACTIONS,7
PageG,7
Prior Version of the Bill,7
Purpose. According to the Author who,7
Sacramento Valley,7
Statutes of 2011,7
Twin Cities,7
Vice Mayor,7
the Legislature,7
www.TheCaliforniaIndex.org,7
(previous version),6
(prior version of the bill),6
AB 1 X4,6
Act of 1919,6
"As of April 10, 1998",6
"As of April 22, 2011",6
"As of April 5, 1996",6
"As of April 9, 1999",6
"As of June 10, 2004",6
"As of June 12, 2006",6
"As of June 18, 1998",6
"As of June 20, 2002",6
"As of June 7, 2001",6
"As of June 7, 2013",6
Attachment,6
Bond Act of 1986 495,6
Bond Act of 1988 776,6
COMPARISON OF COMMON ASSESSMENT STATUTES,6
California Uniform Retail Food Facilities Law Review,6
"Canyon, Benicia, Berkeley, Cathedral City, Downey, Eureka, Fairfield, Glendale, Hayward, Healdsburg, Hemet",6
DUAL REFERRAL: Senate Natural Resources & Wildlife,6
Demolition With Hazards,6
Disposition of Remains,6
EARTHQUAKE (2 for $450 million),6
HOUSING (3 for $650 million),6
I cannot,6
Improvement Act,6
"JAILS (4 for $1,525 million)",6
Landscaping and Lighting Act of 1972,6
"MASS TRANSIT (2 for $2,900 million)",6
MISCELLANEOUS (2 for $125 million),6
No letters received,6
Oppose As Amended,6
Oppostion,6
"PARKS AND OPEN SPACE (3 for $1,246 million)",6
Paso Robles,6
SB 87/SCA 5 (Kopp),6
"SCHOOLS (8 for $6,850 million)",6
STATE BONDS FOR LOCAL PUBLIC WORKS (1980-92),6
See Comment 3,6
Stabilization Board,6
State School Building Lease-Purchase Bond Law of 1982 $500,6
Statutes of 2010,6
Statutes of 2012,6
Statutes of 2013,6
