org_name,count
None received,73201
None known,8229
1 individual,1803
Several individuals,1595
City of,1261
Two individuals,986
2 individuals,838
individuals,681
District,588
3 individuals,541
An individual,511
SB,451
Three individuals,439
County of,398
sponsor,363
Various individuals,356
Coalition,354
4 individuals,337
Purpose. The author,281
Over,278
Letters from individuals,269
Four individuals,259
5 individuals,255
commerce,255
Five individuals,220
One private individual,214
1 private individual,205
corporation,196
7 individuals,180
6 individuals,178
of writing,176
Many individuals,166
8 individuals,156
writing,148
a number of individuals,143
10 individuals,139
Approximately,134
Six individuals,128
Letters from,127
13 individuals,121
agencies,120
Associations,104
Hundreds of individuals,103
15 individuals,100
9 individuals,98
14 individuals,98
2 private individuals,97
11 individuals,93
Multiple individuals,91
of this writing,87
time of writing,83
Section,83
Eight individuals,75
Seven individuals,75
co,75
18 individuals,74
20 individuals,74
The author,74
16 individuals,71
legislation,71
Two private individuals,70
. Supporters,68
unable to reverify at time of writing,62
25 individuals,55
Nine individuals,53
21 individuals,52
Several letters from individuals,52
Author's Statement. The author,51
23 individuals,50
Health plans and insurers,50
time of this writing,49
17 individuals,49
Letters from several individuals,49
Numerous letters from individuals,48
30 individuals,47
50 individuals,47
writes,44
Three private individuals,44
28 individuals,43
The,42
31 individuals,40
42 individuals,40
3 private individuals,40
at Home,40
which,39
19 individuals,37
22 individuals,37
Private individuals,37
Numerous private individuals,36
however,36
29 individuals,35
26 individuals,33
40 individuals,33
35 individuals,32
reverify at time of writing,31
business,31
Many other organizations and concerned citizens,30
The following groups opposed the prior version of the bill,30
introduced,30
"This bill, supported by the board, the Department of Finance",29
33 individuals,29
34 individuals,29
More than,29
55 individuals,28
they,28
Thousands of individuals,27
43 individuals,27
letters,26
5 private individuals,25
Some individuals,25
provisions,25
child,25
others,25
"The author, who",24
24 individuals,24
Individual letters (4),24
Ten individuals,23
Several hundred individuals,23
"Unknown, because of the many changes in the compromise that have been",22
reached,22
41 individuals,21
56 individuals,21
Letter from one individual,21
Many letters from individuals,21
flux,21
Committee analysis - unable to reverify at time of writing,20
version of the bill,20
53 individuals,20
57 individuals,20
4 private individuals,20
38 individuals,20
Numerous individual physicians,20
Oppose None reported to committee,20
The following groups opposed a prior version of the bill,19
Five private individuals,19
as specified,19
No letters received,19
various,18
Private individual,18
60 individuals,18
70 individuals,18
Letters from various individuals,18
81 individuals,18
Numerous individual letters and e-mails,18
as defined,17
200 individuals,17
37 individuals,17
39 individuals,17
2 individual,17
45 individuals,17
time limitation,17
a number of,16
staff,16
36 individuals,16
Letters from two individuals,16
letter,16
Two individual letters,16
on the Status of Women,15
yes none none,15
58 individuals,15
77 individuals,15
concerned individuals,15
on Law and Poverty,15
Letters from numerous individuals,15
6 individual letters,15
Numerous individuals and insurance agents,15
"offer, | |3 days | 10 |10",15
pic] [pic,15
aper&ss,14
requires,14
version of bill,14
61 individuals,14
67 individuals,14
32 individuals,14
46 individuals,14
6 private individuals,14
A few individuals,14
sponsors,14
4/3/95:atrans,14
including the California Chamber of Commerce,13
unable to verify at time of writing,13
52 individuals,13
71 individuals,13
11 private individuals,13
48 individuals,13
51 individuals,13
65 individuals,13
Six private individuals,13
100 individuals,13
Individual letters (12),13
Letter from an individual,13
We strongly,13
Unable to verify,13
quality,13
privacy,13
"For these reasons, I am unable to sign",12
Prior to latest amendments,12
Sponsor. The author,12
The sponsor of,12
yes 4/5 none,12
numerous individual,12
several individual,12
Eleven individuals,12
two individual,12
265 individuals,12
62 individuals,12
24 private individuals,12
63 individuals,12
72 individuals,12
One certified massage therapist,12
12 individual letters,12
Numerous individual interior designers,12
number of individuals,12
Individual letters (21),12
Thirteen individuals,12
No longer applicable,12
Positions reflect letters received by noon one week prior to the hearing,12
registered,12
Need for the bill. The author,11
Unknown with latest amendments,11
amended version,11
among other things,11
15 private citizens,11
102 individuals,11
147 individuals,11
66 individuals,11
75 individuals,11
76 individuals,11
94 individuals,11
Eight private individuals,11
Seven private individuals,11
13 individual letters,11
on Aging,11
"Don Tamaki, former Task Force Member",11
"Dr. Cheryl Grills, former Task Force Member",11
"Lisa Holder, former Task Force Member",11
Sixteen individual letters,11
Numerous individual Attorneys,11
process,11
legislative,11
www.rangerovers.net,11
For this reason I am unable to sign,10
to reverify at time of writing,10
220 individuals,10
10 private citizens,10
13 private individuals,10
15 private individuals,10
19 private individuals,10
44 individuals,10
47 individuals,10
64 individuals,10
74 individuals,10
78 individuals,10
10 private individuals,10
101 individuals,10
20 private individuals,10
21 private individuals,10
9 private individuals,10
5 individual letters,10
Four individual letters,10
several letters from private citizens,10
"And, numerous private individuals",10
There is no known,10
See attached list,10
caregivers,10
trustees,10
business groups,10
Roughly,10
for the Retarded (CASH/PCR),10
former Chairman,9
requirements,9
years,9
110 individuals,9
129 individuals,9
14 private individuals,9
68 individuals,9
7 private individuals,9
97 individuals,9
49 individual mobilehome owners,9
"And, numerous private citizens",9
Numerous individual physical therapists,9
2 letters from Individuals,9
Dozens of individuals,9
89 individuals,9
Numerous veterinarians,9
provision,9
three,9
Several letters received from individuals,9
agents,9
homelessness,9
Two individual practitioners,9
these organizations,9
Other individuals,9
100 individuals' signatures,8
5/10/93:atrans,8
California State Sheriffs Association (if piloted outside),8
Note: positions were received prior to the,8
Over 50 letters and calls from individuals,8
The legislative body must find that the public interest and convenience,8
food,8
if amended,8
require the assessment,8
substance,8
to reverify,8
verify at time of writing,8
187 individuals,8
59 individuals,8
12 private individuals,8
36 Private individuals,8
131 individuals,8
134 individuals,8
250 individuals,8
27 individuals,8
Four private individuals,8
3 letters from private citizens,8
95 individuals,8
106 small businesses,8
40 letters from individuals,8
"And, several private individuals",8
Letters from many individuals,8
Various physicians,8
Individual letters (15),8
Numerous small businesses,8
interests,8
letters and phone calls from several individuals,8
television station,8
1 Penal Code § 1203.4 provides a process by which individuals as,8
"discharged prior to the termination of the period of probation, may",8
petition the court for a dismissal of the accusations,8
I am returning the following nine bills without my signature,8
Nonce received,8
Statewide Consolidated Annual Report prepared by DGS,8
retailers,8
standards,8
cosponsors,8
A coalition of employer organizations,8
Petitions with,8
Petition with,8
Petition signed by,8
BACKGROUND: The author,7
"E. J. Caldecott, Pasadena attorney",7
"NOTE: Per the author's office, the list of includes the Senate",7
None reported to committee,7
The bill's,7
The following groups opposed the prior version,7
amend,7
by,7
sponsor of the bill,7
the same provisions as this bill.,7
upon passage in this Committee,7
249 individuals,7
83 individuals,7
107 individuals,7
16 private individuals,7
216 individuals,7
260 individuals,7
28 private individuals,7
54 individuals,7
79 individuals,7
82 individuals,7
93 individuals,7
Nine private individuals,7
Twelve individuals,7
"14,227 individual nurses",7
500 individuals,7
90+ individuals,7
46 individual mortgage banking companies,7
I individual,7
Individual physicians,7
Numerous attorneys,7
funding,7
15 individual letters,7
2-individuals,7
