org_name,count
Author,278
California Association,253
National,232
Attorney,195
Hillsides,175
National Association,140
Association of,130
Marin,86
Legal,73
The author,57
American Federation,56
Civil Justice,42
Los Angeles County District Attorneys Association,42
Association for,40
Pasadena,28
Legislation of California,27
California Federation of,25
Los Angeles County Superintendent of Schools Dr. Debra Duardo,23
Development Corporation,20
California Association of Highway,17
Boys and Girls Clubs,12
Incorporated,11
California Hospital,11
Hillsborough,10
Dairy Farmers of America-Western Area,9
California Communities,9
California Mental Health,9
Peninsula,7
Grocery Manufacturers / Food Products Association,7
Development Corp,7
"Advocates, Inc",7
California Animal,7
Cook Erectors Cordova Glass Co,6
California Community,6
The Atrium,6
California Association of Joint,6
League of California Cities-Orange County Division,5
"Paul Koretz, Councilmember",5
Lockheed Corporation,5
Habitat for Humanity Fresno County,5
Habitat for Humanity Pomona Valley,5
Daniel Freeman Memorial Hospital Transfusion,5
Counseling,5
California Association of Local,5
Doctors Orders: Play Golf,5
Los Angeles County Superintendents of Schools,4
Kohler Co,4
Free,4
The Developmental Disabilities Area Board 10,4
Bay Area Patientso Advocacy Coalition,4
California Association of Realtor,4
League of California Cities-Los Angeles County,3
"Paul Koretz Council Member, 5th District, Los Angeles City Council",3
"Paul Koretz, Los Angeles City Council, 5th District",3
"Lobby, Inc",3
Kohler Company,3
Co. Inc,3
"Colleges, Inc",3
"Charles C. Bell, Inc",3
Anti,3
The American Society for the Prevention of Cruelty to,3
The Animal,3
California Bean Shippers California Cotton Ginner and Growers Association,3
"Paul Koretz, Los Angeles City Councilmember",2
"Pam Slater-Price, San Diego County Board of Supervisors",2
"Pam Slater-Price, San Diego County Supervisor",2
National Alliance for the Mentally,2
California Lobby,2
Los Angeles County Superintendent of Schools,2
Lang Hansen O'malley and Miller Governmental Relations,2
Lockheed Corp,2
Grocery Manufacturers/Food Products,2
Grocery Manufacturers/Food Products Association (GMA/FPA),2
"Gloria Sewell-Murphy, Member/EDC Commissioner BMCR/ EHUMC, Richmond",2
Los Angeles County District Attorneyos Association,2
"California District Attorneys Association, San Bernadino County Sheriffos Department, the Attorney Generalos Office",2
Directors of California,2
California Developmental Disabilities Area Board 10,2
Development Company,2
Controller of California,2
"Control, Inc",2
Color,2
"Communications, Inc",2
"Community, Inc",2
"Charles Leonard, Inc",2
Chiefs of,2
The Chiefs of,2
Accountancy Corporation,2
Angeles Co,2
"Angeles, Inc",2
The Attorney,2
California Association of Mortgage,2
California Association of Museum,2
The Marin,1
"Sacramento, Shasta, Butte, Placer and Monterey County Sheriffos",1
League of California Cities-African American Caucus,1
"Rev. Diane Weible, Northern CA Nevada Conference, United Church of Christ",1
"Paul Koretz Council Member, 5th District",1
"Paul Koretz, Council Member",1
"Paul Koretz, Los Angeles City Council Member, District 5",1
"Pam Slater, Member of the San Diego Board of Supervisors",1
"Pam Slater, San Diego Board of Supervisors",1
"Pam Slater, San Diego County Supervisor",1
"Pam Slater, San Diego Supervisor",1
"Pam Slater-Price, 3rd District San Diego County Board of Supervisors",1
"Pam Slater-Price, Supervisor San Diego County Board of Third District",1
City of League of California Cities Inland Empire Division,1
"Los Angeles County Superintendent of Schools, Debra Duardo",1
"Los Angeles County Superintendent of Schools, Dr. Darline P. Robles",1
"Los Angeles County Superintendent of Schools, Dr. Debra Durado",1
Livingston California,1
labor,1
"Karen Chapple, Professor, UC Berkeley - City & Regional Planning",1
"Keller Lumber Sales, Inc., Redding, Calif",1
Jericko,1
Grocery Manufacturers/ Food Products Association (GMA/FPA),1
Grocery Manufacturers/Food Producers Association,1
Grocery Manufacturers/Food Product Association,1
Habitat for Humanity East,1
"Habitat for Humanity of the Coachella Valley, Inc",1
Haight Ashbury Neighbors for Density,1
Gilroy San Ysidro Nueva Vida,1
The Free,1
State Firefighterso Association,1
Emphesys/Employers Health Insurance (EHI),1
Dairy Farmers of America-Western Area Council,1
Daniel Freeman Memorial Hospital Transfusion Services,1
Defense Fund California,1
California Controller,1
Contractor Inc,1
Counsel of California,1
"Counseling, Inc",1
The Counseling,1
Construction Lead Sheets,1
California Communications,1
"Communications, LLC",1
"Communities, Inc",1
Community Co,1
Community Corporation,1
"City of Carson, Councilman Mike A. Gipson",1
the City Manager,1
"California Federation of Teachers, California Teachers",1
"The California Federation of Teachers, California Teachers",1
The California Hospital,1
The California Mental Health,1
the California Federation of,1
"Again, LLC",1
"Agencies, Inc",1
Atrium,1
Boys and Girls Club,1
The Anti,1
