org_name,count,in_crosswalk
to Prevent Gun Violence,9,no
to End Domestic Violence,5,no
to January 1,5,no
to Other Public Private Health,3,no
to this bill as,3,no
to Animals (ASPCA),2,no
to Carry,2,no
to Know,2,no
to Amend 3 Strikes,1,no
to Amend the Three Strikes Law,1,no
to Domestic,1,no
to End Hunger and Homelessness,1,no
to July 17,1,no
to Justice,1,no
to Life Threatening Diseases,1,no
to Protect Animals in Entertainment,1,no
to Protect the Family,1,no
to Stop Gun Violence,1,no
to Work,1,no
to pay for,1,no
to the Association of California Life and Health Insurance Companies,1,no
to the California Military Department,1,no
to the Multiple Habitat Conservation Plan,1,no
to the Superintendent of Public Instruction,1,no
to this bill,1,no
with Children,26,no
with Disabilities,3,no
with the Million Mom March,3,no
with Family Farmers,2,no
with Handicaps,2,no
with whom,2,no
with AB 2339,1,no
with AB 81,1,no
with Homeless People,1,no
with IRS and FTB,1,no
with U.S. Fish and Wildlife Office of Law Enforcement,1,no
with a 10-0 vote,1,no
with over 38,1,no
with the COPI Advisory Group and Planning Group,1,no
"with this bill, AB 1522",1,no
