org_name,count
Numerous Individuals,1437
Individuals,492
Mayor,227
Randy Chinn,137
Individual Letters,134
Numerous Individual Letters,117
Individual,114
Several Individual Letters,92
1 Private Citizen,89
SENATE RULES COMMITTEE: Sandy Kenyon/323-8897,87
David Felderstein,74
Doris Tate,69
Individual Letter,64
12 (individuals),59
Supervisor,52
Individual Letter (1),50
Lawrence Lingbloom,50
Barbara,50
Councilmember,46
2 Private Citizens,44
Individual Letters: 2,44
Numerous Private Citizens,36
President,36
Individual - 1,32
Kings,31
3 Private Citizens,30
Councilmember Zach Hilton,25
Individual Letters (3),25
Individuals - 1,24
Individuals - 2,24
Sacramento County Deputy,24
Five Private Citizens,21
San Diego Councilmember Donna Frye,21
1 Individual Letter,20
Lodi,20
One Individual Letter,20
Senator Dianne Feinstein,19
Congressman Sam Farr,18
Jacqueline Kinney,18
Individual Citizens,17
Office of Los Angeles County Supervisor Lindsey P. Horvath,17
Senator Simitian,17
United States Senator Dianne Feinstein,17
Mark Hite,17
2 Individual Letters,16
6 Private Citizens,16
Assembly Member Allen,16
Individual Letters: 1,16
Alameda County Supervisor Nate Miley,15
Congressman Mike Thompson,15
Council Member Zach Hilton,15
Director,15
Loften DeLancie,15
Secretary,15
Superintendent,15
"Supervisor Illa Collin, Sacramento County",15
US Senator Dianne Feinstein,15
Thomas Lauderbach,15
Frederick W. Kline Jr,14
Individuals - 4,14
Kern County Supervisor Jeff Flores,14
"Supervisor Hilda Solis, Los Angeles County Board of Supervisors",14
4 Private Citizens,13
Assembly Member Sher,13
City of Berkeley Councilmember Rashi Kesarwani,13
Councilmember David Alvarez,13
Councilmember Donna Frye,13
Darren Chesin,13
Kokatat,13
San Diego Councilmember Marti Emerald,13
Senator Lewis,13
Treasurer,13
Various Individual Letters,13
John Rozsa,13
Peter Cooey,13
8 Private Citizens,12
Individual Letters (5),12
Los Angeles County Supervisor Mike Antonovich,12
Mary Shallenberger,12
Private Citizen,12
Mike Reynolds,12
William Julian,12
11 Private Citizens,11
1individual,11
3 Individual Letters,11
"City of San Jose, Councilmember David Cohen",11
Congresswoman Maxine Waters,11
Councilmember Kevin McCarty,11
Councilmember Paul Koretz,11
Individual Veterans,11
Los Angeles County Supervisor Sheila Kuehl,11
"Maxine Waters, Member of Congress",11
Bell Gardens Mayor Pro Tem Salvador Franco,10
City of Los Angeles Councilmember Paul Koretz,10
City of Santa Monica Council Member Jesse Zwick,10
Congressman Brad Sherman,10
Congressman Gary Condit,10
Congresswoman Lynn Woolsey,10
Councilmember Dawn Murdock,10
Councilmember Jim Madaffer,10
Gayle Paul,10
"Judge James R. Brandlin, Los Angeles Superior Court",10
Los Angeles County Supervisor Lindsey P. Horvath,10
Mayor Harmony Groves,10
Mayor Norma Lopez-Reid,10
Mayor Rick Ramirez,10
Numerous Mobilehome Owners,10
San Diego Councilmember Sherri Lightner,10
San Diego County Supervisor Pam Slater-Price,10
Senator Kehoe,10
Burton,10
14 Individual Letters,9
5 Private Citizens,9
7 INDIVIDUAL LETTERS,9
Brent Allen Outside,9
Brian Hatch,9
City Council Member Anne M. Bayer - Downey,9
"City Council Member Brian Calhoun, Ph.D - Fresno",9
City Council Member Clem Lee - Stockton,9
City Council Member Das Williams - Santa Barbara,9
City Council Member Dennis Zine - Los Angeles,9
"City Council Member Greig Smith, Los Angeles",9
"City Council Member Herb J. Wesson, Jr. - Los Angeles",9
City Council Member John Noguez - Huntington Park,9
City Council Member Maggie Houlihan - Encinitas,9
City Council Member Stephanie Gomes - Vallejo,9
City Council Member Steve J. Bestolarides - Stockton,9
City Council Member Susan Eggman - Stockton,9
City Council Member Tonia Reyes Uranga - Long Beach,9
City Council Member Tony Cardenas - Los Angeles,9
City Council Member Val Lerch - Long Beach,9
City of Mountain View Council Member Lucas Ramirez,9
Clem Meredith,9
Congressman Wally Herger,9
Congresswoman Jackie Speier,9
"Eric Sakach, Faculty Member, California Law Enforcement Training Academy",9
Four Private Citizens,9
Individual Letters (6),9
John Martin,9
Jose,9
Lawrence J. Sokol,9
"Linda Williamson, General Contractor - Palm Springs",9
"Mark Dinan - Vice Mayor, East Palo Alto",9
Mayor Blanca M. Figueroa,9
Mayor G. Dana Hobart,9
Mayor Grace Vargas,9
Mayor H. Manuel Ortiz,9
Mayor Jimmy Delshad,9
Mayor Paul M. Eaton,9
Mayor Pro Tem Winifred Hanson,9
Mayor of Palo Alto,9
Miss Kitty's Rescue - Newport Beach,9
Senator Diane Feinstein,9
Senator Rosenthal,9
Senator Thompson,9
"Tom Ramirez, Animal Control Supervisor, Stockton Police Department",9
7 Private Citizens,8
Alameda County Supervisor Alice Lai-Bitker,8
"Alexander Pedersen - Vice Mayor, Capitola",8
"Casey Glaubman, Councilmember of Mount Shasta",8
Chairman,8
Chief of Police Blair Urling,8
Chief of Police Cam Sanchez,8
Chief of Police Peter Dunbar,8
"City of Oakland, Mayor Ronald V. Dellums",8
"Claremont City Councilmember, Jed Leano",8
Congressman George Miller,8
Councilmember Nancy J. Nadel of the City of Oakland,8
Councilmember Nancy Nadel,8
Councilmember Rita Walters,8
Fresno County Supervisor Henry Perea,8
Individual Letters (14),8
Individuals - 3,8
Individuals - 5,8
Inge Tiegel-Doherty,8
Linda Adams,8
Livingston,8
Los Angeles City Councilmember Paul Krekorian,8
Oakland Mayor Jerry Brown,8
Office of Monterey County Supervisor Chris Lopez,8
San Mateo County Supervisor Dave Pine,8
"Santa Clara County Supervisor Susan Ellenberg, District 4",8
Senator Leonard,8
Sheriff Don Horsley,8
Six Individual Letters,8
Howard,8
Valerie Pham,8
1 Physician,7
12 Private Citizens,7
135 Individuals,7
"Brian Barnacle - Councilmember, Petaluma",7
Carmel-by-the-Sea Councilmember Barbara Livingston,7
Carmen Chavez-Lopez,7
"City of San Jose, Councilmember Omar Torres",7
"Congressman Charles Boustany, Jr",7
Congressman Charlie Melancon,7
Congresswoman Julia Brownley,7
Congresswoman Lucille Roybal-Allard,7
Councilmember Mike Bonin,7
Councilmember Steve Castaneda,7
Fresno City Councilmember Henry T. Perea,7
Gary Miller,7
George Runner,7
"Honorable Maxine Waters, Member of Congress",7
Individual Letters (8),7
Individual Letters: 24,7
Individuals - 8,7
"Janice Hahn, Board Supervisor, Los Angeles",7
"Joe Baca, Member of Congress",7
Los Angeles City Councilmember Ed Reyes,7
Los Angeles City Councilmember Paul Koretz,7
Los Angeles Councilmember Bernard Parks,7
Los Angeles County Supervisor Mark Ridley-Thomas,7
"Lucas Ramirez - Councilmember, Mountain View",7
"Matthew Solomon, Councilmember - Emeryville",7
Orange County Supervisor Chris Norby,7
Private Citizens,7
Professor Marci Hamilton,7
Riverside County Supervisor Karen Spiegel,7
SAN FRANCISCO SUPERVISOR MALIA COHEN,7
Sacramento County Supervisor Sue Frost,7
San Diego County Supervisor Bill Horn,7
San Diego County Supervisor Joel Anderson's Office,7
San Jose City Councilmember Dave Cortese,7
San Mateo County Supervisor Rose Jacobs Gibson,7
Senator Pavley,7
Senator Tom Hayden,7
Senator Wright,7
Several Individual Physicians,7
Several Individual Veterinarians,7
Solano County Supervisor Monica Brown,7
"Supervisor Aaron Peskin, President, San Francisco Board of Supervisors",7
"Supervisor Keith Carson, Alameda County",7
"Thomas W. Wilson, Supervisor, Orange County",7
Ventura County Supervisor John K. Flynn,7
Anderson,7
Backes,7
Bradbury,7
Joe Mauney,7
Bob Barker,7
Rick Hiseley,7
Wesley Westmoreland,7
46 Constituents,6
"Antonio Villaraigosa, Mayor of Los Angeles",6
Betty Yee,6
"Bill Rosendahl, Councilmember",6
"Brad Sherman, Member of Congress",6
Brian Webster and Associates,6
Chief of Police (Acting) Howard Jordan,6
