conjoined_text,mapped_orgs
"Black Brant Group, the Cal-ore Wetlands and Waterfowl Council",Black Brant Group ; Cal-Ore Wetland and Waterfowl Council
"Child Abuse Prevention Center and its Affiliates Safe Kids California, Prevent Child Abuse California and the California Family Resource Association",Child Abuse Prevention Center ; Safe Kids California ; Prevent Child Abuse California ; California Family Resource Association
County of City of Santa Clara,County of Santa Clara ; City of Santa Clara
"Jewish Federation of Greater Los Angeles, the Jewish Federation of Greater Santa Barbara",Jewish Federation of Greater Los Angeles ; Jewish Federation of Greater Santa Barbara
"Jewish Federation of Greater Los Angeles, the Jewish Federation of the Greater San Gabriel and Pomona Valleys",Jewish Federation of Greater Los Angeles ; Jewish Federation of the Greater San Gabriel and Pomona Valleys
Education Trust-West EdVoice,Education Trust-West ; EdVoice
Planning and Conservation League Sierra Club,Planning and Conservation League ; Sierra Club
Marin and Sacramento Builders Exchanges,Marin Builders Exchange ; Sacramento Builders Exchange
Sempra Energy and its Affiliates: San Diego Gas & Electric Company and Southern California Gas Company,Sempra Energy ; San Diego Gas & Electric Company ; Southern California Gas Company
"California Innocence Coalition: Northern California Innocence Project, California Innocence Project, Loyola Project for the Innocent",California Innocence Coalition ; Northern California Innocence Project ; California Innocence Project ; Loyola Project for the Innocent
County of City of Los Angeles,County of Los Angeles ; City of Los Angeles
Allied Managed Care and Acclamation Insurance Management Services,Allied Managed Care ; Acclamation Insurance Management Services
Florin Resource Conservation District/elk Grove Water District,Florin Resource Conservation District ; Elk Grove Water District
County of City of San Mateo,County of San Mateo ; City of San Mateo
County and Municipal Employees American Legion,"American Federation of State, County and Municipal Employees (AFSCME) ; American Legion"
Catholic Healthcare West Kaiser Permanente,Catholic Healthcare West ; Kaiser Permanente
County and Municipal Employees California Labor Federation,"American Federation of State, County and Municipal Employees (AFSCME) ; California Labor Federation"
Academy of California Adoption Lawyers/Academy of California Family Formation Lawyers,Academy of California Adoption Lawyers ; Academy of California Family Formation Lawyers
County of City of Marin,County of Marin ; City of Marin
California Fire Chiefs Association and Fire Districts,California Fire Chiefs Association ; Fire Districts Association of California
"California Taxpayers Association, Howard Jarvis Taxpayers",California Taxpayers Association ; Howard Jarvis Taxpayers Association
County of Vacaville Chamber of Commerce,Vacaville Chamber of Commerce
County of City of Riverside,County of Riverside ; City of Riverside
"Defense Council, Planning and Conservation",Defense Council ; Planning and Conservation League
"5 Gyres Institute, the Active San Gabriel Valley",5 Gyres Institute ; Active San Gabriel Valley
County of City of Glenn,County of Glenn ; City of Glenn
County of City of San Joaquin,County of San Joaquin ; City of San Joaquin
"5 Gyres Institute, the 7th Generation Advisors",5 Gyres Institute ; 7th Generation Advisors
California Peace Officers' Association and California,California Peace Officers' Association
Orange County School of the Arts / California School of the Arts Foundation,Orange County School of the Arts ; California School of the Arts Foundation
UC and CSU,University of California ; California State University
Feline Foundation/Valley Animal Center,California Feline Foundation ; Valley Animal Center
Inland Ocean Coalition & Colorado Ocean Coalition,Inland Ocean Coalition ; Colorado Ocean Coalition
"5 Gyres Institute, the Audubon California",5 Gyres Institute ; Audubon California
"Trust for Public Land, The Upstream",Trust for Public Land ; The Upstream
County of National Association of Social Workers,National Association of Social Workers
"20/20 Recycling Centers/Contain-A-Way, Inc","20/20 Recycling Centers ; Contain-A-Way, Inc"
