idx,category,still_in_crosswalk,type,name
0,conjoined,True,child,"100% Campaign, a collaboration of Children's Defense Fund California, California NOW, the Children's Partnership, and PICO California"
1,dirty,True,child,"AdvoCal (clients: Wynnos International. Wynn Oil Company, and Robert Skeels & Company)"
2,dirty,True,canonical,"Affordable Development LLC: 380, 818, 820, 2002, 3612, 3745, 5616, and SD"
3,dirty,True,child,"Area 4 Agency on Aging, Nevada, Placer, Sacramento, Sierra, Sutter, Yolo and Yuba Counties"
4,dirty,True,child,"Agency on Aging Advisory Council (Nevada, Placer, Sacramento, Sierra, Sutter, Yolo, & Yuba counties)"
5,dirty,True,child,Arguments in Opposition America's Health Insurance Plans (AHIP)
6,conjoined,True,child,"District Attorneys of Alameda, Contra Costa, Kern, Los Angeles, Santa"
7,conjoined,True,child,"Alliance of California Tribes (Auburn Rancheria, Big Sandy Rancheria, Blue Lake Rancheria, Bridgeport Indian Reservation, Cortina Rancheria, Cuyapaipe Band of Mission Indians, Greenville Rancheria, Jackson Rancheria, Mesa Grande Band of Mission Indians, Pala Band of Mission Indians, Rumsey Indian Rancheria)"
8,conjoined,True,canonical,"Alliance for the Mentally Ill of Contra Costa, Kern County, Lake County, Long Beach, Sacramento, San Bernardino Area, San"
9,conjoined,True,child,"Alliance for the Mentally Ill of Contra Costa, Kern County, Lake County, Long Beach, Sacramento, San Bernardino Area, San Gabriel"
10,clean_org,True,canonical,Alliance in Support of People With Intellectual and Developmental Disabilities
11,dirty,True,child,"Alliance Supporting People with Intellectual and Developmental Disabilities, in opposition"
12,individual,True,child,"Mary Micucci, Founder & Owner, Along Came Mary!: Productions. Inc"
13,invalid,True,canonical,"Alto, Rancho Cordova, Rancho Cucamonga, Redding, Roseville, Salinas, San Francisco, Santa Barbara, Turlock, Visalia"
14,conjoined,True,canonical,"America, Novartis Pharmaceuticals, Oracle, Pfizer, Inc., Pharmaceutical Research & Manufacturers of America, Western States Petroleum Association"
15,clean_org,True,canonical,"American Assn./Univ. Women-Interbrnch Comm./Homeless Women & Children, San Jose"
16,narrative,False,child,"Association of Blood Banks. Allows DPH to, by regulation, require"
17,clean_org,True,child,"American Association of Payers Administrators and Networks (""AAPAN"")"
18,narrative,False,child,"American Civil Liberties Union of California (ACLU), in support of"
19,narrative,False,child,"In support, the American Civil Liberties Union of California"
20,narrative,False,child,"In support, the American Civil Liberties Union California Action"
21,clean_org,True,child,"American College of Emergency Physicians, Calif. State Chapter"
22,conjoined,True,child,San Mateo County Central Labor Council on behalf of California Labor Federation
23,clean_org,True,child,"Fresno, Madera, Tulare, Kings Counties, Central Labor Council"
24,clean_org,True,child,"Central Labor Council Fresno, Madera, Tulare, Kings Counties, AFL-CIO"
25,clean_org,True,child,"Fresno, Madera, Tulare, Kings Counties, Central Labor Council, Afl-cio"
26,dirty,True,child,"Fresno, Madera, Tulare, Kings Counties, Center Labor Council"
27,clean_org,True,child,"Local 2620, American Federation of State, County, and Municipal Employees, AFL-CIO"
28,clean_org,True,child,"American Federation, State, County, and Municipal Employees (AFSCME), AFL-CIO"
29,clean_org,True,child,"Assoc. of Federal, State, County and Municipal Employees, Inc., AFL-CIO"
30,narrative,False,child,"Workers of America AFSCME Local 3930/AFL-CIO ""Studies have shown"
31,clean_org,True,child,"United Domestic Workers, American Federation of State, County, and Municipal Employees, Local 3930"
32,clean_org,True,child,LA County Probation Professional Managers Assoc. AFSCME Local 1967
33,clean_org,True,child,"American Federation of State, County, and Municipal Employees (AFSCME), AFL-CIO, Bay Area"
34,clean_org,True,child,"American Federation of State, County, and Municipal Employees, CA, AFL-CIO"
35,narrative,False,child,"American Federation of State, County and Municipal Employees, sponsor of the bill"
36,dirty,True,child,Inc. American Motorcyclist Association American Motorcyclist Association
37,dirty,True,canonical,"American Psychological Association - Division One ""Clinical and Professional Practice"
38,clean_org,True,child,Calif. Leg. Affairs Council of the American Society of Safety Engineers
39,conjoined,True,child,"American Subcontractors Association, California Bay Area Chapter, L.A.-Orange Chapter, Redwood Empire Chapter, Capital City Chapter, Inland Chapter"
40,conjoined,True,child,"American Subcontractors Association, California Bay Area Chapter, L.A.-Orange Chapter, Redwood Empire Chapter, Capital"
41,invalid,True,canonical,"American, California Asian Pacific, California Hispanic, Carlsbad, Greater"
42,invalid,True,canonical,"Angeles Area, Newport Beach, North Orange County, Oceanside, Orange"
43,invalid,True,canonical,"Angeles, Merced, Napa, Pasadena, Rancho Cucamonga, and Santa Barbara"
44,invalid,True,canonical,"Angeles, Merced, Oceanside, Pasadena, Port Hueneme, Poway, Rancho Cucamonga, San"
45,invalid,True,canonical,"Angeles, Mission Viejo, Riverside, Santa Rosa, Stockton, Sunnyvale, Thousand Oaks, Vista"
46,invalid,True,canonical,"Angeles, Monrovia, Montclair, Ontario, Pasadena, San Dimas, and South Pasadena"
47,invalid,True,canonical,"Angeles, Orange County, Riverside County, Sacramento, San Diego, San"
48,invalid,True,canonical,"Angels Camp, Brentwood, Burbank, Cerritos, Clearlake, Cloverdale, Commerce, Camarillo, Daly City, Dublin, Goleta, Laguna Hills, Lake Forest, Lakeport, Lakewood, La Mirada, Lodi, Los Banos, Manteca, Merced, Mill Valley, Morena Valley, Rancho Cucamonga, Rancho Palos Verdes, Redding, Riverbank, Roseville, Placerville, San Carlos, San Clemente, San Rafael, South Gate, Sunnyvale, Tehama, Thousand Oaks, Torrance"
49,conjoined,True,child,"Anti-Defamation League, Los Angeles, Orange County, San Diego, San"
50,conjoined,True,child,"Arcadia Health Care [Palo Alto, Stockton, San Francisco, San Rafael, Modesto]"
51,conjoined,True,child,"Glaziers, Architectural Metal and Glass Workers, Locals 636, 169, 767, 1399, 718, and 1621"
52,clean_org,True,canonical,"Area 12 Agency on Aging (Alpine, Amador, Calaveras, Mariposa, Tuolumne)"
53,clean_org,True,child,"Area Agency on Aging-Alpine, Amador, Mariposa, Calaveras, Tuolumne"
54,invalid,True,canonical,"Area, Los Angeles Area, Los Angeles Latino, Murrieta Wildomar, Rancho Cordova Area, Rocklin Area, Roseville Area, Santa Barbara"
55,invalid,True,canonical,"Area, North Orange County, Norwalk, Orange County Black, Paradise"
56,invalid,True,canonical,"Area, San Gabriel Valley, San Mateo County, Santa Clara County, San Joaquin County, San Luis Obispo County, Shasta County, Sonoma County, Whittier and Yolo County"
57,conjoined,True,canonical,Assoc. For California Tort Reform Consumer Attorneys Of California
58,conjoined,True,canonical,Assoc. General Contractors of Calif.East Bay Municipal Utility
59,conjoined,True,canonical,"Assoc. of CA Water AgenciesAlameda County Taxpayers Assoc., Inc. CA Assoc. of Sanitation Agencies"
60,narrative,False,child,"Associated General Contractors of California - the California Chapters (AGC) write, ""AGC"
61,individual,True,child,"Joshua Wood, President, Associated Students, Incorporated, CSU"
62,clean_org,True,child,"Association for Commuter Transportation, Southern Cal. Chapter"
63,conjoined,True,canonical,"Association for Retarded Citizens of Amador, Calaveras, Long Beach, Riverside, San Francisco Counties"
64,dirty,False,child,Association of California School Administrators : GOVERNOR'S VETO MESSAGE
65,dirty,False,child,Association of California School Administrators: GOVERNOR'S VETO MESSAGE
66,clean_org,True,child,Assn. of Calif. State Attorneys and Administrative Law Judges (ACSA)
67,clean_org,True,child,Assn of Calif. State Attorneys & Administrative Law Judges (ACSA)
68,dirty,True,child,Association of California Urban School Districts - prior version
69,clean_org,True,child,"Association of Consulting Foresters of America, Inc., Calif. Chapter"
70,clean_org,True,child,Association of the United States Army (Central Calif. Chapter 6105)
71,narrative,False,child,"Autonomous Vehicle Industry Association, writing in opposition to"
72,invalid,True,canonical,"Barbara, Placentia, Brentwood, San Rafael, Huntington Beach, and Redding"
73,invalid,True,canonical,"Barbara, San Bernardino, San Luis Obispo, Santa Clara, Stanislaus, Solano, Sonoma, Trinity, Tulare, Tuolumne, Ventura"
74,invalid,True,canonical,"Barbara, Selma, South San Francisco, Thousand Oaks, Torrance, Upland and Vista"
75,clean_org,True,canonical,"Bari Management, Inc., Glendale, CA (owner Tony Roma's, Burger King, Roadhouse Grill)"
76,conjoined,True,canonical,"Beach, Laguna Beach, Long Beach, Los Angeles, Manhattan Beach, Beach, Palos Verdes Estates, Rancho Palos Verdes, Redondo"
77,conjoined,True,canonical,"Beach, Mid Valley, Montebello, Montrose, Pacific Palisades, Poway, Rancho Cucamonga, San Diego North, San Pedro"
78,conjoined,True,canonical,"Beach, Monrovia, Montebello, Monterey Park, Redondo Beach, San Fernando, San Gabriel, San Marino, Santa Monica, Sierra Madre, Signal Hill, South"
79,conjoined,True,canonical,"Beach, Orange, Placentia, Santa Ana, Seal Beach, Tustin, Westminister"
80,conjoined,True,canonical,"Beach, Palo Alto, Redwood City, Sacramento, San Marcos, and Turlock"
81,conjoined,True,canonical,"Beach, Paramount, Pico Rivera, Santa Fe Springs, Signal Hill"
82,conjoined,True,canonical,"Beach, San Bernardino, San Diego, South El Monte, Torrance, and Vista"
83,conjoined,True,canonical,"Bernardino Counties, Mar Monte, Pasadena, San Diego and Riverside Counties, Santa Barbara, Ventura and San Luis"
84,conjoined,True,canonical,"Bernardino, San Fernando, San Gabriel, San Marcos, Redlands, Richmond, Santa Rosa, Signal (Mayor), Solana Beach, Stanton, Westminster, Visalia, Vista, King City, Moreno Valley"
85,narrative,False,child,Biofuelwatch GOVERNOR'S VETO MESSAGE: This bill would require
86,individual,True,child,"Earl ""Skip"" Cooper II, President/Chief Executive Officer, Black"
87,clean_org,True,canonical,"Block, Plant, Eisner, Fiorito, Belak-berger, An Accountancy Corporation CPA"
88,conjoined,True,child,Department of General Service on behalf of the Board of Control
