narrative_text,mapped_org,count
ARC of California to ensure planning and service provision for individuals with developmental disabilities follows California law,ARC OF CALIFORNIA,1
African American and Other Drug Council to encourage and develop reliable alcohol,African American and Other Drug Council,1
Air Transport Association of America to reinstate the partial exemption on fuel sold to air common carriers,Air Transport Association of America,1
"Alliance for Reparations, Reconciliation, and Truth (ARRT), a coalition of groups dedicated to promoting reparations and the findings of the Reparations Task Force","ALLIANCE FOR REPARATIONS, RECONCILIATION, AND TRUTH (ARRT)",1
Alliance of American Insurers (AAI) seeks two types of amendments in order,ALLIANCE OF AMERICAN INSURERS (AAI),1
Alliance of Professional Tattooists to establish a uniform body of law to promote safer body art practices and assist these small businesses by streamlining the patchwork of local regulations,Alliance of Professional Tattooists,1
Allied Fishing Groups (including 37 sport and commercial fishing organizations),Allied Fishing Groups,1
"American Bar Association (support in part, relating to disability status)",American Bar Association,1
American College of Obstetricians and Gynecologists District IX (ACOG) is the sponsor of this bill and,American College of Obstetricians and Gynecologists District IX (ACOG),2
"American Fair Credit Council (AFCC), a trade association of debt settlement companies",AMERICAN FAIR CREDIT COUNCIL (AFCC),1
"American Federation of State, County and Municipal Employees (AFSCME) is opposed to this bill and","American Federation of State, County and Municipal Employees (AFSCME)",2
"American Federation of State, County and Municipal Employees (AFSCME), seeks to extend these same due diligence protections to the trial courts","American Federation of State, County and Municipal Employees (AFSCME)",1
"American Federation of State, County and Municipal Employees (AFSCME), seeks to extend these same due diligence protections to the trial courts in a pilot program","American Federation of State, County and Municipal Employees (AFSCME)",1
American Institute of Chemical Engineers (expansion of industry exemption),American Institute of Chemical Engineers,1
American Redress Coalition of California Bay Area (ARCC Bay Area) one of the leading statewide organizations advocating reparations for the descendants of enslaved African Americans,American Redress Coalition of California Bay Area (ARCC Bay Area),1
American Resort Development Association and its related resort owner coalition,AMERICAN RESORT DEVELOPMENT ASSOCIATION,1
American Society for the Prevention of Cruelty to Animals and supported by several other animal advocacy organizations,AMERICAN SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,1
"Amgen Corporation, the largest manufacturer of Interferon, the treatment of choice for Hepatitis C, states in support that",Amgen Corporation,1
"Appraisal Institute, an organization of licensed real estate appraisers",APPRAISAL INSTITUTE,4
Association of Areas on Aging to simplify and speed up state distribution of local assistance monies,CALIFORNIA ASSOCIATION OF AREA AGENCIES ON AGING,1
Association of Retail Travel Agents (including 27 member travel agencies),ASSOCIATION OF RETAIL TRAVEL AGENTS,1
"Attorney General (support in principal, still examining language in certain, mostly technical, provisions)",Attorney General,2
Automobile Enthusiasts of America (petition with 224 signatures of individuals),Automobile Enthusiasts of America,1
"Based upon the prior version of the bill, the California Motor Car Dealers Association",California Motor Car Dealers Association,1
Bay Area Open Space Council (represents 50 local government and nonprofit organizations),BAY AREA OPEN SPACE COUNCIL,1
Beauty and Barber Supply Institute (product manufacturers and distributors),Beauty and Barber Supply Institute,1
"Blockchain Advocacy Coalition, along with a number of industry stakeholders",Blockchain Advocacy Coalition,1
"Bowie, Arneson, Kadi, Wiles & Giannone (counsel to various school districts throughout the state)","Bowie, Arneson, Kadi, Wiles & Giannone",1
"C.A.U.S.E., California Union of Safety Employees (state agency peace officers)",California Union of Safety Employees,1
COIN within the Department of Insurance to make insurance companies eligible for the CDFI tax credit,COIN within the Department of Insurance,1
"CPHE - Citizens Preserving Honor in Education (a petition with 1,300 signatures)",CPHE - Citizens Preserving Honor in Education,1
California Airport Council to reduce the audit obligation for customer facility charges imposed by the airports on rental car customers,California Airport Council,1
California Alliance for Consumer Protection [to the bill as introduced],California Alliance for Consumer Protection,2
California Apartment Association (if statutory rather than constitutional),California Apartment Association,2
California Apple Commission to enhance CDFA's ability to protect the quality and integrity of the California apple industry,California Apple Commission,1
California Assembly of Student Councils (representing over 400 high schools statewide),California Assembly,2
"California Association for Area Agencies on Aging, the sponsor of the bill",CALIFORNIA ASSOCIATION OF AREA AGENCIES ON AGING,2
California Association for Licensed Professional Clinical Counselors to address barriers to licensure and practice,CALIFORNIA ASSOCIATION FOR LICENSED PROFESSIONAL CLINICAL COUNSELORS,1
California Association for Nurse Practitioners to update current law to reflect current furnishing practices of NPs under standardized procedures,CALIFORNIA ASSOCIATION FOR NURSE PRACTITIONERS,1
California Association of Alcohol and Drug Program Executives in a support position,CALIFORNIA ASSOCIATION OF ALCOHOL AND DRUG PROGRAM EXECUTIVES,1
California Association of Collectors who highlight the need for court efficiencies that the new jurisdictional limits will provide,CALIFORNIA ASSOCIATION OF COLLECTORS,1
California Association of Health Plans (Note: Amendments are forthcoming to take care of),California Association of Health Plans,2
California Association of Health Plans - the author's office indicate that this was,California Association of Health Plans,1
California Association of Licensed Repossessors in an effort to improve the operation of the Collection Agency Law,CALIFORNIA ASSOCIATION OF LICENSED REPOSSESSORS,1
California Attorneys for Criminal Justice (amendments may address these concerns),CALIFORNIA ATTORNEY'S FOR CRIMINAL JUSTICE,2
"California Attractions & Parks Association - (the main industry association for wave pool operators, water parks, and amusement parks)",California Attractions & Parks Association,1
California Bankers Association (Note this opposition was based on credit scoring provisions since deleted.),CALIFORNIA BANKERS ASSOCIATION,2
California Cancer Research Council (multi-year expenditure authority provisions only),California Cancer Research Council,1
California Chamber of Commerce (behalf of itself and 106 business/employer organizations),California Chamber of Commerce,1
California Coalition for Worker Power and supported by a large coalition of labor organizations and economic and social justice groups,California Coalition for Worker Power,1
"California Coalition for Youth, co-sponsor with four other youth organizations",CALIFORNIA COALITION FOR YOUTH,1
California Coalition of Law Enforcement Agencies to provide funding for the maintenance of the California Peace Officer Memorial in Sacramento,California Coalition of Law Enforcement Agencies,1
California Coalition of Nurse Practitioners to conform California law to a recent change in federal regulations,CALIFORNIA COALITION OF NURSE PRACTITIONERS,1
California Coalition of Travel Agents to improve the operation of California's Seller of Travel Law by easing disclosure requirements,California Coalition of Travel Agents,1
"California Coastal Coalition (a coalition including all of southern California's coastal counties, a number of cities, and various stakeholders)",CALIFORNIA COASTAL COALITION,1
California Coastal Commission (interim support pending Commission action),California Coastal Commission,1
California Coastkeeper Alliance (CCK) and a number of environmental organizations,CALIFORNIA COASTKEEPER ALLIANCE,1
California Collaboration for Youth (CCY) has taken an oppose unless amended position and,California Collaboration for Youth (CCY),1
California Commission on the Status of Women (supported last session's legislation),CALIFORNIA COMMISSION ON THE STATUS OF WOMEN,1
California Commission on the Status of Women to address a coverage inequity with regard to maternity care,CALIFORNIA COMMISSION ON THE STATUS OF WOMEN,1
California Council of Gerontology and Geriatrics to provide tuition reduction or waiver programs for medical students,California Council of Gerontology and Geriatrics,1
California Council of Land Trusts (represents over 65 land trusts state-wide),CALIFORNIA COUNCIL OF LAND TRUSTS,1
California Distillers Association and supported by another craft distillers association,California Distillers Association,1
California District Attorneys' Association (probation revocation provisions only),CALIFORNIA DISTRICT ATTORNEY'S ASSOCIATION,2
California Employment Development Department (favors removing sunset and conform to federal law),California Employment Development Department,1
California Federation of Labor Unions and supported by a number of labor organizations,California Federation of Labor Unions,1
California Federation of Teachers to provide equity between certificated and classified staff members,California Federation of Teachers,1
California Fraternal Order of Police and supported by various public safety officer associations,CALIFORNIA FRATERNAL ORDER OF POLICE,1
California Hepatitis Alliance to increase the likelihood of patients at risk of hepatitis infection being vaccinated against and educated about the disease,California Hepatitis Alliance,1
"California Independent Petroleum Association, in opposition to the bill",CALIFORNIA INDEPENDENT PETROLEUM ASSOCIATION,4
California Invasive Weed Awareness Coalition (whose members include the following),California Invasive Weed Awareness Coalition whose members,1
California Latino Child Development Association and State Department of Education (SDE) to address disparities in the availability of child care,California Latino Child Development Association,1
California Lottery Commission to make it more convenient to play Lottery games,California Lottery Commission,1
California Lyme Disease Association to ensure the Committee has the leadership necessary to continue to address the public health epidemic of Lyme disease,California Lyme Disease Association,1
California Manufacturers Association in order to codify existing FTB procedures regarding cash deposits,CALIFORNIA MANUFACTURERS ASSOCIATION,1
California Manufacturers Association to clarify the statute of limitations for filing a claim for credit or refund,CALIFORNIA MANUFACTURERS ASSOCIATION,1
California Manufacturers and Technology Association and supported by other business associations,CALIFORNIA MANUFACTURERS AND TECHNOLOGY ASSOCIATION,1
California Mental Health Directors Association and several organizations of private mental health providers,CALIFORNIA MENTAL HEALTH DIRECTORS ASSOCIATION,1
California Naturopathic Doctors Association and supported by numerous natural and integrative medicine groups,CALIFORNIA NATUROPATHIC DOCTORS ASSOCIATION,1
California New Car Dealers Association and supported by their fellow dealers,CALIFORNIA NEW CAR DEALERS ASSOCIATION,1
California Pan-Ethnic Health Network indicates providing targeted mental health,CALIFORNIA PAN-ETHNIC HEALTH NETWORK,1
California Paralyzed Veterans Association in order to provide local government with a funding source to implement the requirements of the federal ADA,CALIFORNIA PARALYZED VETERANS ASSOCIATION,1
"California Professional Firefighters, state council of the International",California Professional Firefighters,1
California Public Infrastructure Coalition (comprising developers and development financiers),California Public Infrastructure Coalition,1
California Rural Legal Assistance Foundation (CRLAF) is the sponsor of this measure and,California Rural Legal Assistance Foundation -CRLAF,1
California Society for Respiratory Care to clarify different levels of respiratory care provided to patients,CALIFORNIA SOCIETY FOR RESPIRATORY CARE,1
California State Board of Barbering and Cosmetology (Board) voted to take a,California State Board of Barbering and Cosmetology,1
California State Board of Optometry to allow licensed optometrists to bring vision services and testing into the home for homebound individuals,California State Board of Optometry,1
California State Commanders Council (consist of 20 veterans organizations),California State Commanders Council,1
California State Commanders Veterans Council (consist of seven veterans organizations),CALIFORNIA STATE COMMANDERS VETERANS COUNCIL,1
"California Tahoe Alliance, a partnership of local governments, special districts, and non-profit organizations in the Tahoe Basin",California Tahoe Alliance,1
California Trucking Association to address situations wherein shippers overload containers to be moved by train or ship,CALIFORNIA TRUCKING ASSOCIATION,1
California Union of Safety Employees (support of penalty increases only),California Union of Safety Employees,1
"California Urban Forest Council, among a group of other environmental organizations",California Urban Forest Council,1
California WIC Association to increase awareness of the benefits of breastfeeding in hopes,CALIFORNIA WIC ASSOCIATION,1
"California-Nevada Conference of Operating Engineers, sponsor of the bill",CALIFORNIA-NEVADA CONFERENCE OF OPERATING ENGINEERS,8
"California-Nevada Conference of Operating Engineers, sponsor of this measure",CALIFORNIA-NEVADA CONFERENCE OF OPERATING ENGINEERS,2
"Cannabis Distribution Association (CDA), in its oppose unless amended letter",Cannabis Distribution Association,1
"Children's Advocacy Institute at the University of San Diego School of Law, in support of the bill",Children's Advocacy Institute at the University of San Diego School of Law,2
"Children's Law Center of California (CLC), mirroring the views of many other supporters",Children's Law Center of California (CLC),2
Citizens for the Right to Know (Coalition comprised of 39 organizations),Citizens for the Right to Know,1
City Council and Commission on the Status of Women of the City of Glendale,City of Glendale,1
"City of Compton (Resolution rescinded by act of City Council on April 13, 2004)",City of Compton,1
City of Los Angeles (Mayor approved resolution by City Council to support ),"City of Los Angeles, Mayor",10
City of Stockton (provisions relating to the Buckley Cove launching facility only),CITY OF STOCKTON,1
City of West Sacramento in an effort to enable the city to raise additional general fund revenues,City of West Sacramento,1
"CivicWell, formerly known as the Local Government Commission, which facilitates ARCCA",CIVICWELL,1
Civil Justice Association of California and by associations of businesses,Civil Justice Association of California,1
"Coalition for Patient Centered Care (CPCC), a diverse, national group of healthcare industry stakeholders who oppose private equity's acquisition of and influence over independent physicians",Coalition for Patient Centered Care (CPCC),2
