org_name,count
Opposition,78
International,35
"Black Brant Group, the Cal-ore Wetlands and Waterfowl Council",5
"Child Abuse Prevention Center and its Affiliates Safe Kids California, Prevent Child Abuse California and the California Family Resource Association",18
County of City of Santa Clara,7
Issue | | |days |days,1
"Jewish Federation of Greater Los Angeles, the Jewish Federation of Greater Santa Barbara",18
"Jewish Federation of Greater Los Angeles, the Jewish Federation of the Greater San Gabriel and Pomona Valleys",4
Education Trust-West EdVoice,17
Planning and Conservation League Sierra Club,2
Marin and Sacramento Builders Exchanges,2
Sempra Energy and its Affiliates: San Diego Gas & Electric Company and Southern California Gas Company,7
"California Innocence Coalition: Northern California Innocence Project, California Innocence Project, Loyola Project for the Innocent",18
County of City of Los Angeles,2
Allied Managed Care and Acclamation Insurance Management Services,10
Florin Resource Conservation District/elk Grove Water District,5
County of City of San Mateo,2
County and Municipal Employees American Legion,5
Catholic Healthcare West Kaiser Permanente,16
County and Municipal Employees California Labor Federation,13
Academy of California Adoption Lawyers/Academy of California Family Formation Lawyers,11
County of City of Marin,14
California Fire Chiefs Association and Fire Districts,7
"California Taxpayers Association, Howard Jarvis Taxpayers",8
County of Vacaville Chamber of Commerce,13
County of City of Riverside,5
"Defense Council, Planning and Conservation",4
"5 Gyres Institute, the Active San Gabriel Valley",7
Hills and Rancho Santa Margarita,9
County of City of Glenn,12
County of City of San Joaquin,12
"Habra, Lodi, Long Beach, Marin, Menlo Park, Montclair, Mountain View, Napa City, Nevada County, Newport Beach, Orange City, Orange County, North Highlands, Pasadena, Redlands, Sacramento, San Bernardino, San Diego, San",6
"5 Gyres Institute, the 7th Generation Advisors",6
California Peace Officers' Association and California,11
Orange County School of the Arts / California School of the Arts Foundation,9
UC and CSU,10
Feline Foundation/Valley Animal Center,10
Inland Ocean Coalition & Colorado Ocean Coalition,8
"5 Gyres Institute, the Audubon California",1
"Trust for Public Land, The Upstream",1
County of National Association of Social Workers,2
"20/20 Recycling Centers/Contain-A-Way, Inc",8
"American Federation of State, County and Municipal Employees, Associated Builders and Contractors of California",3
California Association of Health Plans (CAHP) and Association of California Life and Health Insurance Companies (ACLHIC),13
Cities of: Agoura Hills,9
Jetty Extracts and the Shelter Project,7
California Feline Foundation & Valley Animal Center - Fresno,9
"California Chamber of Commerce, California Manufacturers and Technology Association",2
"Sierra Club, Planning and Conservation League",3
"Black Brant Group, the California Bowmen Hunters/state Archery Association",1
"California Medical Association Aetna, Inc",9
County of City of Alameda,9
County of City of San Bernardino,9
County of City of San Diego,9
County of City of Santa Rosa,2
County of County,1
Inc. Hotel Employees,7
Sheriffs of Los Angeles and San Mateo,5
"Systems, Inc., Planning and Conservation",3
AFL-CIO California Tax Reform Association,5
Assistance Program/Family Violence Project,6
Brawley Chamber of Commerce Brea Chamber of Commerce,8
California Financial Services Association California Retailers Association,4
"California Taxpayers Association, Howard Jarvis Taxpayers Association",4
"San Diego, Southern California, and Central California Chapters of Associated Builders and Contractors",7
American Career College/West Coast University,8
"Santa Clara Valley Water District, Association of California Water Agencies",3
"Trust for Public Land, The Wild Places",2
County of Humboldt . California State Association of Counties,2
Children's Advocacy Institute / Dependency Legal Services,2
California Association of Area Agencies on Aging Alzheimer's Association Alzheimer's Greater Los Angeles Alzheimer's Orange County Alzheimer's San Diego California Collaborative for Long-term Services and,4
California Attorney Generalos Office Association for California Tort Reform,8
County of Legal/Court Interpretation Program,8
"County, Santa",5
"Fernando Valley, San Gabriel Valley and East San Gabriel",5
Women for:...: Coalition for Family Equity,2
County of Cities of Adelanto,2
County of County of San Bernardino,8
County of County of San Mateo,8
County of County of Yolo,8
"California State Association of Counties, East",4
Air Transport Association Southwest Airlines,7
"California State Association of Counties, League of California Cities",4
Child Abuse Prevention Center/California Family Resource Association,5
Commonweal/Californians for Juvenile Justice Reform,8
County of Vista Chamber of Commerce,7
Pacific Coast Federation of Fishermen's Associations/Institute for Fisheries Resources,5
Safari Club International Foundation and Safari Club International,9
San Francisco BayKeeper and DeltaKeeper,4
Santa Clara Chamber of Commerce and Simi Valley Chamber of Commerce,7
Unions California Labor Federation,7
"United Way Fresno Madera Counties, United Way of Stanislaus County",7
Southland Partnership Corporation/P.O.W.E.R. Collaborative Network,6
Turlock Scavenger Turlock Recycling Turlock Transfer,1
"Communication Workers of America Local 9412, and Local 9423",7
County and Municipal Employees AMVETS,2
"Boards of supervisors of Del Norte, Humboldt, Mendocino, Sonoma, Napa, Shasta, Yuba, and El Dorado counties",1
"5 Gyres Institute, The American Academy of Pediatrics, California",3
AFL-CIO Judy Michaels,6
Adventist Health and Loma Linda University Medical Center,3
"American Federation of State, County and Municipal Employees, AFL-CIO American Legion-Department of California",3
"American of Federal, State, County and Municipal Employees, AFL-CIO Peace Officers Research Association of California",3
"Associated Builders and Contractors, San Diego, Southern California and Central Valley Chapters",2
"Attorney General, the League of California Cities, the County Supervisors Association",5
"Audubon California, Defenders of Wildlife, The Nature",4
"Bay, Torrance, Tehama County, Tulare County, Ventura",5
CMHDA and CSAC,1
"California Building Industry Association, California Business Properties Association",4
"California Rural Legal Assistance Foundation, Western Center on Law and Poverty",6
"California State Association of Counties, California State Association of Local Agency Formation Commissions, East Bay Municipal Utility District",3
"Center for Oceanic Awareness, Research, and Education, the Center for Public Environmental Oversight",4
"Cities of: Camarillo, Chino Hills, Rancho Cucamonga",6
Cook Erectors Cordova Glass Co,7
"Counties of: Riverside, Sacramento, San Bernardino",6
"County, South",5
"Firefighters Associations of Alhambra, Alpine, American",6
"Humane Society of the United States, The Humane Society Veterinary Medical Association",3
Jefferson Smurfit Corporation/Container Co. of America,6
LAX Coastal Chamber of Commerce Los Angeles Parking Association,6
"Planning and Conservation League, South Coast Air",4
Plastic Pollution Coalition/ the Last Plastic Straw,3
Public Interest Law Project/California Affordable Housing Law Project,3
Safari Club International/Safari Club International Foundation,6
"Towns of: Apple Valley, Town of Danville, Hillsborough, Mammoth Lakes, Paradise, Tiburon, Windsor, Yountville",6
Western States Council Del Mar Firefighters Loc. 4163,6
"American Legion-Department of California, AMVETS-Department of California, California State Commanders Veterans Council",5
"Charge Ahead California Campaign (Coalition for Clean Air, Communities for a Better Environment, Environment California, The Greenlining Institute, Natural Resources Defense Council)",6
Jewish Federation of The Sacramento Region and The Sacramento Jewish Community Relations Council,6
American Heart Association/American Stroke Association (AHA/ASA),6
"Planning and Conservation League, Sierra Club California",4
Consumer Attorneys of California and the California Employment Lawyer's Association,1
"Medical Professionals with: Valley Children's Hospital, Visalia Family Practice",6
California Coastkeeper Alliance: Defenders of Wildlife,4
"New Frontier Democratic Club, President and Chair of Criminal Justice Task Force, Black Women's Forum, Bobbie: Anderson",4
American Civil Liberties Union of California Coalition for Humane Immigrant Rights of Los Angeles Mexican American Legal Defense and Education Fund National Council of La Raza African Advocacy Network Asian Americans Advancing Justice Asian Law Alliance California Attorneys for Criminal Justice California Immigrant Policy Center California Partnership California Public Defenders Association California Rural Legal Assistance Foundation Californians for Safety and Justice Californians United for a Responsible Budget Central American Resource Center - Los Angeles Chinese for Affirmative Action Community United Against Violence Congregations Building Community Del Sol Group,3
California Coastal Protection Network Coastwalk,3
California Medical Association Organizations Expressing Concern,6
California School Boards Association EdVoice,3
California Association of Sanitation Agencies : Amador County,2
County/City Association of Governments,3
AFL-CIO California State Council of Laborers,3
"California Labor Federation, AFL-CIO, Sacramento",2
City of Lasd,2
City of Recology,1
"League, Sierra Club California, Worksafe",2
"Reform Association, American Federation of State, County, and Municipal",2
"Counties of Merced, San Luis Obispo and Stanislaus",2
"Counties of Sonoma, Placer and San Luis Obispo",2
Yuba and Sutter Counties,2
"Boards of Supervisors for Del Norte, Humbolt, Mendocino, Napa, Shasta, Solano, Sonoma, and Yuba Counties",3
"California Community College Trustees, California Community",3
"ACLU, CACJ and California Judges Association",3
"American Federation of State, County, and Municipal Employees, AFL-CIO California Conference of Machinists",2
