org_name,count
California,5444
,1127
Union,873
Council,797
amended,715
County,713
Companies,588
No known,546
COUNTIES,511
Services,427
California State,423
CIO,422
Department,410
Sacramento,397
Workers,395
Center,369
Association of California,366
Angeles,364
Industry,357
Concerns,334
Los,311
American,309
SAN,292
Physicians,263
California Association,254
Francisco,241
National,239
version,236
Secretary of,230
Foundation,222
Cities of,216
City,210
Attorney,209
California Association of,207
California Public,204
Orange,204
Opponents,203
National Association,183
Merced,178
Board,176
Women for,175
Alliance,173
Professionals,171
PATH,167
Consumer,162
Chapter,161
Organizations,161
California Attorneys for,160
Administrators,154
San Francisco,153
America,152
Network,152
BILL,148
SMH:bjw,139
Administration,137
Peace Officers Research Association of,137
League,137
Association of,133
AB,132
Contractors,132
Women,129
Advocates,127
opposition,126
for Criminal Justice,125
Sheriffs,122
COMMITTEE,122
Stockton,120
Project,119
Bureau,114
Cities,113
Program,113
Neutral,111
Monterey,107
Other,106
Santa,105
Not known,105
Emergency Medical Services Administrators Association of,104
of Colored People,103
Western,101
Unknown,101
League of California,100
Consumer Attorneys of,99
American Federation of,93
Attorneys of California,92
Chiefs Association,91
Federation,90
League of,90
Long Beach,88
Organization,88
Stand Up for,87
Marin,86
of Commerce,85
of,84
Crime,83
Valley,83
California School,82
Society,82
Programs,81
Firefighters,80
University,79
Agency,79
Region,78
School District,78
Protection,76
LAW,76
arc,76
County of San,75
Legal,75
"Strategic Committee of Public Employees, Laborers International Union of",75
Prior Version,75
County Sheriff,74
Directors,74
Advocacy,73
Buena Park,73
Authority,72
Placer,72
Tulare,72
Community,72
Fund,72
Health,72
Dance,71
Connect,71
California Council,70
Chief,70
Contra Costa,70
Ontario,70
Chapters,70
American Federation,69
Mendocino,69
Modesto,69
Teachers,69
County Sheriffs Department,69
Assoc,68
Congress of,68
Counties of,68
Division,68
General,68
Conference,67
Government,67
Concern,67
Prc,67
California State Council,66
SMH:bkh,66
Action Now,65
California Coalition,65
Seniors,65
Butte,64
Napa,64
Commission,64
Fullerton,63
Languages,63
Disabilities,62
AT,61
California Chamber of,61
Doris,61
Moreno Valley,61
Numerous,61
Development,61
LLC,60
Taxpayers for,60
one,58
Officials,57
Yolo,57
Consumer Federation of,55
Legislative Council,55
Lompoc,55
Sheriff-Coroner,55
Colleges,54
Southern,54
for the Aging,54
Affairs,53
Yuba,52
Safety,51
of Los Angeles,51
California Federation,50
City of San,50
Engine,50
Insurance,50
Palmdale,50
Realtors,50
Court,50
Group,50
PageD,50
BW,49
Club,49
Glenn,49
California Teachers,48
Centers,48
Federation of California,48
Floor,48
National Association of,48
Service,48
Committee analysis,48
Chief Probation,47
Lake,47
Tri-valley City of Dublin,47
Youth,47
care,47
Public,47
Concord,46
E2,46
Law Center,46
Pasadena,46
Pomona,46
Officers,45
and,45
also,45
"California, Inc",44
Palo Alto,44
Administrators' Association,44
write,44
Association for,43
Beach,43
Council of California,43
Laguna Beach,43
Mariposa,43
Officers of California,43
College,43
COUNTY DISTRICT ENROLLMENT AS OF,42
California Medical,42
California Professional,42
Laguna Hills,42
Legal Services for,42
RS,42
School,42
PhD,42
Chino,41
Department of California,41
Legal Services,41
Schools,41
laws,41
Water District,41
"Council, Inc",40
Department of,40
Fontana,40
Force,40
Cupertino,39
Probation Officers of California,39
Flo,39
Corp,38
Judicial,38
Medicine,38
Tuolumne,38
are,38
Office,38
Affairs Council,37
Apartment,37
of Supervisors,37
La,37
System,37
Affiliate,36
Assessor,36
Families,36
Hospital,36
Jr,36
Natura,36
Pleasanton,36
Counsel,35
MM,35
Montebello,35
POSITIONS,35
Advisory Council,34
California Alliance for,34
Colored People,34
Governments,34
Legal Services for Prisoners with,34
Los Angeles Affiliate of the National Association of,34
Member,34
City and County of San,33
City of Santa,33
Jewish Federation,33
Lawyers,33
Los Angeles County Board of,33
Northern,33
Obispo,33
Placentia,33
"Service Officers, Inc",33
Trust,33
Turlock,33
West Covina,33
Action,32
Conservators,32
Federation AFL-CIO,32
Murrieta,32
Problems,32
County of Poverty,32
Arrival,31
California Society,31
"County, Inc",31
Mono,31
Office of,31
SMH:dm,31
West Sacramento,31
Support,31
Advisory Committee,30
Board of,30
Family,30
Legislation of California,30
People,30
Planned,30
Police,30
Whittier,30
WOMAN,30
California Business,29
Civil Justice Association of,29
Corona,29
Francisco Bay Area,29
Indians,29
Institutions,29
Control,29
Pharmacists,29
PageF,29
Brea,28
County of Santa,28
Management District,28
Momentum,28
Obispo Counties,28
Taxpayers,28
Western States,28
of Counties,28
Young Children,28
N.A,28
Abuse,27
Branch,27
California Association of Homes and Services for,27
California League of,27
Coalition of,27
Judicial Council of,27
Modoc,27
Town of,27
Truckee,27
West,27
of Realtors,27
LLP,27
PageB,27
Barbara County,26
California Association for the Education of,26
California Conference,26
Clue,26
Collaborative,26
Elk Grove,26
Engineers and Scientists of,26
Finance,26
Insurers,26
Personal,26
Rialto,26
School of Law,26
Taft,26
Trinity,26
of California Cities,26
Assessments,25
California Federation of,25
Civil,25
Coalition for,25
Committee on,25
Manhattan Beach,25
Pacific,25
Prevention,25
Regional,25
California Law,25
Groups,25
Wm,25
OPPOSED,25
52nd District,24
Accountants,24
American Association of,24
Assistance Foundation,24
Belmont,24
Brentwood,24
California Coalition for,24
California Reproductive Health Association,24
Center on Race,24
City of Inc,24
Library,24
Mission College,24
Outreach,24
Pathways,24
Pivotal,24
Women's,24
Californians for,23
Center for,23
Medical Center,23
Municipal Water District,23
National Center,23
Older Women's,23
Older Womens League of,23
Pediatrics,23
Pharmaceutical Research and Manufacturers of,23
Scientists,23
Management,23
note,23
Association of Orange County,22
California Association of Services for,22
California Conference of,22
Campaign,22
City Council,22
Clara,22
Malibu,22
Milpitas,22
Pittsburg,22
Poverty,22
Water Agencies,22
for Improving Public Safety,22
for the Advancement of Colored People,22
ANIMAL,22
Proponents,22
ACT,21
Associated,21
CPF,21
City of City,21
Communities,21
"Counties, Inc",21
El,21
Gray,21
Household,21
ING,21
National Federation of,21
Park,21
Transportation,21
Aids,21
vote,21
Alamo,20
California Society of,20
Caucus,20
Community Colleges,20
Development Corporation,20
Environments,20
Gun,20
Inyo,20
Mexican,20
Rosa,20
San Diego Chapter,20
State Coalition of,20
State Public Affairs Committee of the Junior Leagues of,20
Technicians,20
The Center,20
Westminster,20
Fish on,20
wrote,20
Air,19
Automobile Club of,19
Balance,19
Budget,19
Burlingame,19
CPA,19
Chief Probation Officer,19
Government Organization and Economy,19
Juvenile Court Judges of,19
Long,19
Professional,19
Veterans,19
Woodland,19
of Women,19
Sage,19
Million,19
Brisbane,18
California Building,18
California Conference Board of,18
Contra,18
Cypress,18
Equalization,18
Eureka,18
Examiners,18
Instruction,18
Investigators,18
Junior Leagues of,18
La Verne,18
Maternal,18
Northridge,18
Office of the San,18
Officers Union,18
Officerso Association,18
Our,18
Policy,18
State Council,18
Task Force,18
Providers,18
Building,18
Boost,17
CAA,17
Communications,17
Conservancy,17
County Bar Association,17
Defense Council,17
Estate,17
Hon,17
Huron,17
Laguna Niguel,17
Lawndale,17
Mercy,17
North,17
Petaluma,17
Practice,17
of Los Angeles County,17
two,17
Concerned,17
Interest,17
Members,17
Patrolmen,17
Quest,17
Advisor,16
Affairs Committee,16
California Council on Alcohol,16
California National Organization for,16
City of Beach,16
Consortium,16
Counties Caucus,16
Executive,16
Fortuna,16
Forum,16
Golden State,16
Honey,16
La Habra,16
Law Section,16
Legislative Committee,16
Long Beach Police,16
Non on file,16
Organizing Committee,16
Planning,16
Prometheus,16
Therapists,16
Unkown,16
Utilities,16
"of State, County and Municipal Employees (AFSCME), AFL-CIO",16
"of State, County and Municipal Employees, AFL-CIO",16
Accountable,16
Walnut,16
Environmental,16
Period,16
Employment,16
Hope,16
in a,16
Alpine,15
Association of CA,15
Association of Northern California,15
CA,15
California Department,15
California Immigrant,15
Control District,15
East,15
Empowerment,15
La Puente,15
Matu,15
Oaks,15
Practitioners,15
Rainforest,15
Section of the State Bar,15
Suppliers,15
Therapy,15
Women Against Gun,15
k,15
of San Diego,15
Attorneys,15
Hed,15
Uve,15
"Chapter, 6105",15
s,15
Environmental Health,15
Local,15
a,15
l,15
Balanced,14
California Advocates for,14
California Association for,14
California Chapter of,14
"California Chapter, American College of",14
California Coalition of,14
California Organization of,14
California Women,14
"California, Los Angeles",14
Christ,14
Coast,14
County Chapter,14
Enforcement,14
Environmental Justice,14
Francisco Bay Area Chapter,14
Hills,14
Hillsborough,14
Human Rights/Fair Housing Commission of the City and County of,14
Juvenile,14
Labor Federation,14
Latino Council,14
Libraries,14
Ltd,14
Marijuana Laws,14
Meeting,14
Metropolitan,14
Metropolitan Water District of,14
Motion Picture,14
National Council of,14
Office of the Attorney,14
Outdoor,14
Pacifica,14
Page D,14
Port of,14
Relations,14
Santa Clara County Board of,14
Section of the State Bar of California,14
Service Officers,14
Services Association,14
Southern California Association of,14
State bar of,14
Technology,14
Treasures,14
Urban,14
j,14
of California Seniors,14
of Greater Los Angeles,14
of North America,14
of bill,14
www,14
Clara County,14
Southern CA,14
Affirmative Action,13
Agriculture,13
Alliance of,13
Architects,13
Board Member,13
CEA,13
California Academy of,13
California Catholic Conference of,13
California Chapter of the American College of,13
California Foundation,13
California Legislative,13
California State Council of,13
Chamber,13
Chinese for,13
City Manager,13
Coalition for Humane,13
Commercial,13
Defender,13
Fire Chief,13
Golden,13
Handgun,13
Handicapped,13
Initiative,13
Junior,13
Los Altos,13
Martinez,13
Mateo,13
N. America,13
Obispo County,13
Office of Education,13
Older,13
Oncologists,13
PACE,13
Page E,13
Piping,13
Sanitation Agencies,13
Services Agency,13
Trustee,13
Union of,13
Veterans of War,13
X,13
of Law,13
Training,13
USA,13
Esq,13
Fowler,13
Reach,13
it,13
Environmental Organizations,13
Agri,12
Association of Los,12
Bay,12
Boys and Girls Clubs,12
California Association of County,12
California Authority,12
California Financial,12
California Hospital,12
Campaign for,12
Consulting,12
Corps,12
Director of Public Safety,12
Dublin,12
Greater,12
Hillcrest,12
Human,12
Jewish,12
La Mesa,12
Legislature,12
Lobby,12
Municipal,12
Neighborhood,12
O,12
Owners,12
Public Health,12
Services District,12
The California Association of,12
The Chamber,12
Waste,12
Williams,12
for Women,12
of Police and Sheriffs,12
of the bill,12
City and County of,12
Parole,12
Incorporated,12
Mpp,12
we are,12
as well,12
of 1911,12
Improvement Act,12
