org_name,count
Several individuals,675
1 individual,605
Author,342
Numerous Individuals,299
Randy Chinn,131
Over,127
David Felderstein,74
Letters from,71
Individual,50
Lawrence Lingbloom,48
Councilmember Zach Hilton,35
Individual Citizens,31
Institute,29
Two private individuals,29
Barbara,27
"Councilmember Zach Hilton, City of Gilroy",25
Sacramento County Deputy,24
COUNTY OF SAN DIEGO THIRD DISTRICT SUPERVISOR TERRA LAWSON-REMER,23
1 Private Citizen,22
San Diego Councilmember Donna Frye,22
"Councilmember Kevin McCarty, City of Sacramento",22
Senator Dianne Feinstein,19
Councilmember David Alvarez,19
Numerous Individual Letters,19
A coalition of supporters,18
Jacqueline Kinney,18
Congressman Sam Farr,18
7 INDIVIDUAL LETTERS,18
Honorable Quentin Kopp,18
Constituent,17
Senator Simitian,17
Councilmember Sean Elo-rivera,17
Mark Hite,16
Office of Los Angeles County Supervisor Lindsey P. Horvath,16
Assembly Member Allen,16
Individual Letters,16
Mayor,15
Kings,15
Secretary,15
Congressman Mike Thompson,15
Thomas Lauderbach,15
Loften DeLancie,15
Judge Quentin Kopp,15
Councilmember Kevin McCarty,15
"Supervisor Illa Collin, Sacramento County",15
"HONORABLE DIANNE FEINSTEIN, UNITED STATES SENATOR",15
Los Angeles County Supervisor Gloria Molina,15
2 Private Citizens,14
Three Private Citizens,14
United States Senator Dianne Feinstein,14
Kern County Supervisor Jeff Flores,14
"Supervisor Hilda Solis, Los Angeles County Board of Supervisors",14
Councilmember Dan Kalb,14
LOS ANGELES COUNTY SUPERVISOR MICHAEL ANTONOVICH,14
"Councilmember Marti Emerald, City of San Diego",14
Several Individual Letters,13
John Rozsa,13
"Johan Klehs, Member, State Board of Equalization",13
City of Berkeley Councilmember Rashi Kesarwani,13
Mike Reynolds,13
Darren Chesin,13
San Diego Councilmember Marti Emerald,13
Assembly Member Sher,13
Councilmember Dawn Murdock,13
Senator Lewis,13
SAN FRANCISCO SUPERVISOR MALIA COHEN,13
"Councilmember Donna Frye, City of San Diego",13
More than,12
Letter from one individual,12
Councilmember Rita Walters,12
ALAMEDA COUNTY SUPERVISOR WILMA CHAN,12
Numerous Private Citizens,11
"Maxine Waters, Member of Congress",11
Congresswoman Maxine Waters,11
Los Angeles County Supervisor Sheila Kuehl,11
Congresswoman Jackie Speier,11
Mary Shallenberger,11
Mayor Norma Lopez-Reid,11
Congressman Wally Herger,11
Supervisor,10
Los Angeles County Supervisor Mike Antonovich,10
Burton,10
Gayle Paul,10
Congressman Brad Sherman,10
City of Santa Monica Council Member Jesse Zwick,10
Congressman Gary Condit,10
Councilmember Mike Bonin,10
"Judge James R. Brandlin, Los Angeles Superior Court",10
San Diego Councilmember Sherri Lightner,10
Senator Kehoe,10
Supervisor Joan Hartmann,10
ALAMEDA COUNTY SUPERVISOR KEITH CARSON- DISTRICT 5,10
SAN MATEO COUNTY SUPERVISOR WARREN SLOCUM,10
"San Jose Councilmember Ash Kalra, District 2",10
"Councilmember David Alvarez, City of San Diego",10
"Councilmember Dawn Murdock, City of Palos Verdes Estates",10
"Councilmember Jim Madaffer, City of San Diego",10
"Councilmember Toni Atkins, City of San Diego",10
Individual - 1,9
Two Private Citizens,9
Councilmember,9
Numerous individual physicians,9
Los Angeles County Supervisor Lindsey P. Horvath,9
Senator Diane Feinstein,9
Numerous individual interior designers,9
Brent Allen Outside,9
Livingston,9
City of Mountain View Council Member Lucas Ramirez,9
Lawrence J. Sokol,9
Los Angeles City Councilmember Paul Koretz,9
Board of Equalization Member Betty Yee,9
"Bill Rosendahl, Councilmember",9
Brian Hatch,9
Chief of Police Peter Dunbar,9
City Council Member Anne M. Bayer - Downey,9
City Council Member Clem Lee - Stockton,9
City Council Member Das Williams - Santa Barbara,9
City Council Member Dennis Zine - Los Angeles,9
"City Council Member Greig Smith, Los Angeles",9
"City Council Member Herb J. Wesson, Jr. - Los Angeles",9
