org_name,count
"As of April 14, 1995",48
10/96,42
"As of July 7, 1995",40
"As of June 14, 1996",35
"As of April 9, 2010",33
06/15/94,32
"May 5, 1993",27
445-4246,26
"As of June 21, 1996",26
4/5 vote,25
04/14/93,23
"As of March 31, 1995",23
06/29/94,21
"As of April 5, 1996",20
06/09/93,18
06/23/93,18
"April 6, 1994",18
07/06/94,17
"As of June 23, 1995",17
"As of June 28, 1996",17
06/30/93,16
445-1918,16
"As of July 1, 1996",16
324-4655,15
"April 7, 1993",15
"As of June 25, 1998",15
07/05/95,14
07/07/93,14
"April 21, 1993",14
"As of March 15, 1996",14
"As of April 12, 1996",13
07/14/93,12
"1,900",12
4/19/95,12
As of June 19,12
05/31/95,11
04/13/94,10
6/12/96,10
"Date: May 19, 2005",10
"June 16, 1993",10
"As of April 19, 1996",10
"As of August 9, 1996",10
"As of June 29, 1996",10
As of April 19,10
03/30/94,9
2007,9
As of April 16,9
04/12/95,8
04/21/93,8
05/11/94,8
05/12/93,8
06/14/95,8
5/1/96,8
5/23/25,8
6/1/15,8
6/26/96,8
"April 20, 1994",8
"Date: June 23, 2005",8
"June 8, 1994",8
"May 4, 1994",8
"As of June 30, 1996",8
"HEARING: MAY 10, 1995",8
06/16/93,7
06/22/94,7
1,7
"1,000",7
"June 22, 1994",7
04/14/93:auc,7
As of June 25,7
"As of May 3, 1996",7
"As of May 31, 1996",7
04/27/94,6
08/08/94,6
5,6
5/2/11,6
5/26/11,6
6/25/96,6
6/28/95,6
7/12/95,6
8/27/24,6
"April 6, 1993",6
"As of June 2, 1995",6
"As of June 27, 1996",6
4/14/94:AHED,6
As of April 21,6
03/01/95,5
03/09/94,5
03/24/93,5
03/27/95,5
04/26/95,5
1998,5
3/22/95,5
3/29/95,5
4/19/96,5
4/5/95,5
445-1616,5
5-11-12 6-30-25 6-30-35,5
5/29/96,5
7,5
7/9/97,5
"April 14, 1994",5
"April 20, 1993",5
"As of June 24, 1996",5
"July 8, 1993",5
03/28/94:auc,5
As of April 9,5
04/09/97,4
05/04/94,4
05/10/95,4
05/26/93,4
06/24/93:auc,4
08/18/93,4
11/02/09,4
1993,4
2003,4
3/12/97,4
3/31/99,4
4/8/96,4
445-1083,4
445-3451,4
5/13/11,4
5/21/21,4
5/24/25,4
5/31/05,4
6-30-25 6-30-25 6-30-45,4
6/21/95,4
6/21/96,4
6/24/99,4
685,4
8/17/95,4
8/29/25,4
9/8/21,4
"April 15, 1993",4
As of June 18,4
As of March 31,4
Contact: Jan L. Owen 445-6306,4
"June 24, 1993",4
"March 16, 1993",4
"March 17, 1993",4
"March 8, 1993",4
"May 13, 1993",4
"May 19, 1993",4
"May 5, 1994",4
"MAY 22, 1995",4
SB 948 04/05/99,4
04/14/94:auc,4
06/16/94:auc,4
07/02/93:auc,4
4/1/94:AHED,4
6/16/94:AHED,4
As of April 10,4
As of June 20,4
03/10/93,3
03/15/95,3
04/06/94,3
04/15/94:auc,3
04/28/93,3
05/19/93,3
1/3 (for 2/3 vote),3
"10,254",3
"10,703",3
"11,188",3
"12,028",3
"12,307",3
17 4 7 2 3 1,3
1994,3
2/26/96,3
2022,3
23 13 5 5,3
27 9 11 4 1 2,3
3/12/96,3
3/13/96,3
3/25/97,3
3/25/98,3
3/26/97,3
3/30/95,3
"4,397",3
"4,669",3
4/11/00,3
4/14/99,3
4/15/98,3
4/29/97,3
4/8/93:HIGHER ED,3
4/8/97,3
4/9/96,3
41 - 36,3
42 - 34,3
445-7278,3
"5,044",3
"5,278",3
"5,437",3
"5,987",3
5/10/95,3
5/15/98,3
5/28/02,3
"6,078",3
"6,143",3
"6,540",3
"6,942",3
6/11/97,3
6/17/14,3
6/24/96,3
6/25/97,3
6/28/94,3
"7,896",3
7/1/99,3
7/5/95,3
7/6/11,3
"8,119",3
"8,226",3
"8,334",3
"8,479",3
8/11/22,3
8/20/97,3
8/29/94,3
"9,217",3
"9,846",3
"April 14, 1993",3
"April 28, 2015",3
"April 29, 1993",3
As of June 24,3
"As of May 5, 2000",3
"January 22, 2015. [2] D.13-09-045",3
"January 5, 1994",3
"July 1, 1994",3
"June 17, 1993",3
"June 21, 1994",3
"June 23, 1993",3
"June 7, 1994",3
"March 11, 1993",3
"May 2, 1994",3
"HEARING: JUNE 19, 1995",3
"Hearing: June 12, 1996",3
SB 1593 -- /22/00,3
SB 1621 -- /27/00,3
SB 1627 -- /27/00,3
SB 2131 -- /30/00,3
01/05/94,2
02/09/94,2
02/24/93,2
03/23/94,2
04/07/94:auc,2
04/13/93:auc,2
04/19/94:auc,2
04/20/94,2
04/24/96,2
04/29/97,2
04/30/03,2
05/05/93,2
06/06/03,2
07/12/95,2
1-1-04 12-29-16 12-29-26,2
1/22/24,2
10/27/15,2
10/27/93,2
10:22 PM,2
1191.5,2
12-29-76,2
12/30/93:AHED,2
18,2
19-Apr-1996,2
1989,2
1991,2
1992,2
1995,2
1996,2
1997,2
2/11/96,2
2001,2
2005,2
3/12/24,2
3/15/94,2
3/26/93:AHED,2
