org_name,count
Unable to reverify Support,25
Unable to reverify,24
per Assembly Local,4
Verfied,12
per Assembly Natural,3
per Assembly Environmental,5
for SB 1665,4
Verifed,8
Unable to verify at time of writing - Per Sen,2
unable to reverify at time,7
Unable to re-verify Support and,1
per Assembly Labor and,6
"See ""Support and opposition"" in the above comments.",4
See next page,2
Accountancy provisions,2
Per Assembly Revenue and Taxation Committee,3
Per Senate Environmental Quality Committee,3
per Senate Public Safety,3
per Assembly,4
Per the Assembly Local,4
As it left the Senate on,4
NOTE: FOLLOWING FROM THE,2
per AB 1178 Senate Floor Analyses,3
Per Assm. Water Parks and,3
per Senate Insurance,3
per Senate Revenue,3
THIS IS THE LIST OF OPPOSITION FOR SB 1460,3
THIS IS THE LIST OF SUPPORT FOR AB 1460,3
"unable to reverify at time of writing Cities of Clovis, El Cajon, Merced, and Pinole",3
Unable to reverify opposition due to,3
Unable to verify at time of writing--reflects Senate Local,3
Opposed to previous version,3
From Assembly Analysis,1
based on testimony on SB 482,1
Unknown at time of writing,1
not verified subsequent to latest proposed,2
Per Assem. Governmental Organization Committee,2
Per Senate Elections and,2
Per Senate Public,2
Per the Assembly,2
Unavailable at time of writing,2
"(a) (1) Notwithstanding any other provision of this code, a board may deny a license regulated by this code on the grounds",3
(b) authorizing monetary penalties for monitoring and reporting violations,1
"(c) Except as provided in subdivision (b), this section controls",3
(b) the bill,2
"4/27/05, Senate Health",2
SB 17X list,2
SB 1X list,2
Unavailable at time of,2
