sponsor_string,bill_rows,proposed_route,mapped_org_if_known,org_already_in_crosswalk
CAR,8,PARTIAL,,
California Coastkeeper Alliance : Defenders of Wildlife,4,CONJOINED,,CALIFORNIA COASTKEEPER ALLIANCE
DHS and supported by the Air Resources Board,4,NARRATIVE,,"DHS (Department of Health Services) — NOT the Air Resources Board, which is the supporter"
DHS in response to a report by the California State Auditor,4,NARRATIVE,,"DHS (Department of Health Services) — NOT the State Auditor, which wrote the report"
"a coalition of supporters, including Outdoor Outreach",3,NARRATIVE,,OUTDOOR OUTREACH
"Document submitted to the Legislature by the IBank and CPCFA, January",3,NARRATIVE,,
Franchise Tax Board to facilitate return processing and reduce taxpayer confusion and frustration regarding change of filing status,3,NARRATIVE,,FRANCHISE TAX BOARD
"Santa Clara Valley Water District , Association of California Water Agencies",3,CONJOINED,,ASSOCIATION OF CALIFORNIA WATER AGENCIES
"sponsor, the Governor's Office",3,NARRATIVE,,THE GOVERNOR'S OFFICE
Attorney General Sheriffs of the Counties of Alpine,2,CONJOINED,,ATTORNEY GENERAL
California Professional Firefighters Long Beach Fire Fighters,2,CONJOINED,,CALIFORNIA PROFESSIONAL FIREFIGHTERS
California Travel Parks Association and in their letter to the Assembly Housing and Community Development Committee they,2,CONJOINED,,CALIFORNIA TRAVEL PARKS ASSOCIATION
County of San Benito to rectify a local taxation problem,2,NARRATIVE,,COUNTY OF SAN BENITO
Drug Policy Alliance to increase the availability of needle exchange projects statewide and to reduce the incidence of infectious diseases such as HIV and viral hepatitis,2,NARRATIVE,,DRUG POLICY ALLIANCE
Health Alliance for Violence Intervention and supported by specified health care provider groups,2,NARRATIVE,,HEALTH ALLIANCE FOR VIOLENCE INTERVENTION
"last several years, DOC",2,NARRATIVE,,
San Mateo County Child Care Partnership Council and permits the county to suspend certain state laws regarding subsidized child care eligibility and fees,2,CONJOINED,,SAN MATEO COUNTY CHILD CARE PARTNERSHIP COUNCIL
SB 376 was sponsored by the Association of California Healthcare Districts,2,NARRATIVE,,THE ASSOCIATION OF CALIFORNIA HEALTHCARE DISTRICTS
standards organization (of which B Lab),2,NARRATIVE,,
"Willie L. Brown, Jr., Esq",2,INDIVIDUALS,,
"access provider, Sierra Pine",1,NARRATIVE,,SIERRA PINE
activities of the California Peace Officer Memorial Foundation in support of the families of slain peace officers,1,NARRATIVE,,CALIFORNIA PEACE OFFICER MEMORIAL FOUNDATION
AFL-CIO SEIU California,1,CONJOINED,,SEIU CALIFORNIA
and Government Claims Board,1,NARRATIVE,,GOVERNMENT CLAIMS BOARD
"assessments, the City of San Jose",1,NARRATIVE,,THE CITY OF SAN JOSE
Attorney General and The Modesto Police Department,1,CONJOINED,,MODESTO POLICE DEPARTMENT
"Budget: California Student Aid Commission report by the LAO, released February",1,CONJOINED,,CALIFORNIA STUDENT AID COMMISSION
CA Association of Recreation and Park Districts CA Independent Public Employees Legislative Council City of Moreno Valley Counties of Del Norte,1,CONJOINED,,CA INDEPENDENT PUBLIC EMPLOYEES LEGISLATIVE COUNCIL
"California Association of County Treasurers and Tax Collectors , California Association of Realtors",1,CONJOINED,,CALIFORNIA ASSOCIATION OF COUNTY TREASURERS AND TAX COLLECTORS
"California Association of County Veterans Service Officers, Inc. Commanders Veterans Council",1,CONJOINED,,"CALIFORNIA ASSOCIATION OF COUNTY VETERANS SERVICE OFFICERS, INC"
California Health Federation and Sequoia Community Health,1,CONJOINED,,CALIFORNIA HEALTH FEDERATION
California Medical Association American Federation of State,1,CONJOINED,,CALIFORNIA MEDICAL ASSOCIATION
California Optometric Association Society for the Blind,1,CONJOINED,,CALIFORNIA OPTOMETRIC ASSOCIATION
"California Restaurant Association California Medical Association California Labor Federation, AFL-CIO American Heart Association-California and Greater Los Angeles Affiliate",1,CONJOINED,,AMERICAN HEART ASSOCIATION-CALIFORNIA AND GREATER LOS ANGELES AFFILIATE
California Rural Legal Assistance Foundation PolicyLink,1,CONJOINED,,CALIFORNIA RURAL LEGAL ASSISTANCE FOUNDATION
"California School Employees Association Service Employees International Union American Federation of State, County and Municipal Employees PERS California Federation of Teachers",1,CONJOINED,,"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEE"
California Senior Legislature & Older Women's League,1,CONJOINED,,CALIFORNIA SENIOR LEGISLATURE
"California Special Districts Association , Alameda County Mosquito Abatement District, Association of California Health Care Districts, Association of California Water Agencies, Beach Cities Health District, California Municipal Utilities Association, Castro Valley Sanitary District, Central Contra Costa Sanitary District, East Orange County Water District, Eastern Municipal Water District, Fresno Metropolitan Flood Control District, Fresno Mosquito and Vector Control District, Gold Mountain Community Services District, Goleta West Sanitary District, Indian Valley Community Services District, Kern County Cemetery District No. 1, Midpeninsula Regional Open Space District, River Pines Public Utility District, San Joaquin County Mosquito and Vector Control District, Santa Margarita Water District, Santa Ynez Community Services District, Stockton East Water District Board of Directors, Tahoe City Public Utility District, Three Valleys Municipal Water District, Tulare Mosquito Abatement District, United Water Conservation District",1,CONJOINED,,SAN JOAQUIN COUNTY MOSQUITO AND VECTOR CONTROL DISTRICT
"California Welfare Directors Association AARP California Alliance of Catholic Health Care American Association of University Women American Federation of State, County and Municipal Employees California Academy of Physician Assistants California Association of Public Hospitals and Health Systems California Catholic Conference California Healthcare Association California Medical Association California Primary Care Association California School Employees Association California State Association of Counties Children Now Children's Advocacy Institute Children's Defense Fund Consumers Union Counties, of Los Angeles, Sacramento, and Santa Clara Daughters of Charity Ministry Services Corporation Health Access California Jericho Local Health Plans of California Mexican American Legal Defense and Education Fund National Organization for Women The Children's Partnership 100% Campaign",1,CONJOINED,,"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES CALIFORNIA"
"Capt. Raymond Bower, International Association of Firefighters, Local I-25",1,INDIVIDUALS,,"INTERNATIONAL ASSOCIATION OF FIREFIGHTERS, LOCAL I-25"
City and County of San Francisco and permits the county to suspend certain state laws regarding subsidized child care eligibility and fees,1,CONJOINED,,CITY AND COUNTY OF SAN FRANCISCO
"City of Elk Grove , City of Livermore, City of Palm Springs",1,CONJOINED,,CITY OF PALM SPRINGS
City of Hawthorne and the Hawthorne Police Department,1,CONJOINED,,HAWTHORNE POLICE DEPARTMENT
Clean Water Action and California League of,1,CONJOINED,,CLEAN WATER ACTION
consumer safety reporter Public Citizen,1,NARRATIVE,,PUBLIC CITIZEN
continued California Builders Exchanges,1,NARRATIVE,,CALIFORNIA BUILDERS EXCHANGE
