org_name,count,status,routed_to
None received,42007,already_routed,org_names_partial.csv
California Chamber of Commerce,11468,in_crosswalk,
NONE RECEIVED,9893,already_routed,org_names_partial.csv
California State Association of Counties,9134,in_crosswalk,
League of California Cities,7784,in_crosswalk,
California Teachers Association,7518,in_crosswalk,
California Medical Association,7118,in_crosswalk,
California District Attorneys Association,6960,in_crosswalk,
California Attorneys for Criminal Justice,6642,in_crosswalk,
California School Employees Association,6100,in_crosswalk,
Unknown,5828,already_routed,org_names_partial.csv
Sierra Club California,5814,in_crosswalk,
California Public Defenders Association,5670,in_crosswalk,
American Civil Liberties Union,5530,in_crosswalk,
California State Sheriffs' Association,5369,in_crosswalk,
California Nurses Association,5241,in_crosswalk,
"American Federation of State, County and Municipal Employees",5217,in_crosswalk,
Planning and Conservation League,5198,in_crosswalk,
California Federation of Teachers,5128,in_crosswalk,
California Professional Firefighters,5113,in_crosswalk,
None,5007,already_routed,org_names_invalid.csv
Consumer Attorneys of California,4853,in_crosswalk,
Department of Finance,4678,in_crosswalk,
"California Labor Federation, AFL-CIO",4669,in_crosswalk,
Western Center on Law and Poverty,4509,in_crosswalk,
California Teamsters Public Affairs Council,4491,in_crosswalk,
California Labor Federation,4237,in_crosswalk,
None known,4217,already_routed,org_names_partial.csv
California Police Chiefs Association,4189,in_crosswalk,
California Retailers Association,4064,in_crosswalk,
Natural Resources Defense Council,3990,in_crosswalk,
California Association of Realtors,3987,in_crosswalk,
Congress of California Seniors,3959,in_crosswalk,
Peace Officers Research Association of California,3845,in_crosswalk,
Association of California Water Agencies,3792,in_crosswalk,
California Rural Legal Assistance Foundation,3719,in_crosswalk,
California Catholic Conference,3490,in_crosswalk,
California Farm Bureau Federation,3484,in_crosswalk,
California Building Industry Association,3473,in_crosswalk,
California Apartment Association,3422,in_crosswalk,
California Business Properties Association,3307,in_crosswalk,
"National Association of Social Workers, California Chapter",3238,in_crosswalk,
California School Boards Association,3117,in_crosswalk,
