org_name,count,in_crosswalk,match_type,canonical_name
None received,48592,no,,
NONE RECEIVED,19786,no,,
California Chamber of Commerce,11317,yes,exact,UNITED STATES CHAMBER OF COMMERCE
California State Association of Counties,8880,yes,exact,California State Association of Counties
League of California Cities,7643,yes,exact,LEAGUE OF CALIFORNIA CITIES
California District Attorneys Association,7531,yes,exact,CALIFORNIA DISTRICT ATTORNEY'S ASSOCIATION
California Teachers Association,7507,yes,exact,California Teachers Association
California Medical Association,7428,yes,exact,California Medical Association
California Attorneys for Criminal Justice,6245,yes,normalized,CALIFORNIA ATTORNEY'S FOR CRIMINAL JUSTICE
California School Employees Association,6089,yes,exact,CALIFORNIA SCHOOL EMPLOYEES ASSOCIATION
California Professional Firefighters,5857,yes,exact,International Association of Fire Fighters
Sierra Club California,5794,yes,normalized,SIERRA CLUB
California Public Defenders Association,5761,yes,exact,CA PUBLIC DEFENDERS ASSOCIATION
"American Federation of State, County and Municipal Employees",5517,yes,normalized,"American Federation of State, County and Municipal Employees (AFSCME)"
California State Sheriffs' Association,5468,yes,exact,California State Sheriffs' Association
California Federation of Teachers,5381,yes,exact,American Federation of Teachers
California Nurses Association,5258,yes,exact,California Nurses Association
Consumer Attorneys of California,5253,yes,exact,CONSUMER ATTORNEYS OF CALIFORNIA
American Civil Liberties Union,5247,yes,exact,American Civil Liberties Union
Western Center on Law and Poverty,5201,yes,exact,Western Center on Law & Poverty
Planning and Conservation League,5026,yes,exact,Planning and Conservation League
None,4933,no,,
"California Labor Federation, AFL-CIO",4883,yes,normalized,American Federation of Labor and Congress of Industrial Organizations
Unknown,4766,no,,
California Labor Federation,4733,yes,exact,American Federation of Labor and Congress of Industrial Organizations
California Teamsters Public Affairs Council,4553,yes,exact,California Teamsters Public Affairs Council
California Rural Legal Assistance Foundation,4296,yes,exact,CALIFORNIA RURAL LEGAL ASSISTANCE FOUNDATION
California Association of Realtors,4249,yes,exact,California Association of Realtors
Natural Resources Defense Council,4211,yes,exact,Natural Resources Defense Council
California Police Chiefs Association,4203,yes,exact,California Police Chiefs Association
California Retailers Association,4200,yes,exact,California Retailers Association
None known,4160,no,,
Congress of California Seniors,4075,yes,exact,Congress of California Seniors
Department of Finance,3979,yes,exact,CALIFORNIA DEPARTMENT OF FINANCE
Peace Officers Research Association of California,3935,yes,exact,Peace Officers Research Association of California
None Known,3762,no,,
California Building Industry Association,3542,yes,exact,CALIFORNIA BUILDING INDUSTRY ASSOCIATION
California Farm Bureau Federation,3535,yes,exact,CALIFORNIA FARM BUREAU FEDERATION
California Apartment Association,3526,yes,exact,Apartment Association
California Catholic Conference,3489,yes,exact,CALIFORNIA CATHOLIC CONFERENCE
City of Los Angeles,3480,yes,exact,STATE OF CALIFORNIA
Association of California Water Agencies,3478,yes,exact,Association of California Water Agencies
"National Association of Social Workers, California Chapter",3267,yes,exact,CALIFORNIA CHAPTER OF THE NATIONAL ASSOCIATION OF SOCIAL
California Hospital Association,3186,yes,exact,CALIFORNIA HOSPITAL ASSOCIATION
California Business Properties Association,3160,yes,exact,California Business Properties Association
Consumer Federation of California,3137,yes,exact,Consumer Federation of California
California School Boards Association,3118,yes,exact,California Schools Boards Association
Service Employees International Union,3113,yes,exact,Service Employees International Union
Consumers Union,2993,yes,exact,Consumers Union
Los Angeles Unified School District,2964,yes,exact,Los Angeles Unified School District
Disability Rights California,2941,yes,exact,Disability Rights California
