"orgclean","orgclean"
"A BETTER WAY",1
"A BETTER WAY FORWARD TO HOUSE CALIFORNIA",7
"A COMMUNITY OF FRIENDS",6
"AARP",19
"AARP CALIFORNIA",7
"AARP, CALIFORNIA",1
"ABODE COMMUNITIES",5
"ABODE COMMUNITIESAFFIRMED",1
"ABODE SERVICES",6
"ABUNDANT HOUSING LA",35
"ABUNDANT HOUSING LOS ANGELES",4
"ACCE",1
"ACCE ACTION",4
"ACLU",1
"ACLU CALIFORNIA ACTION",1
"ACT-LA",1
"ADOBE COMMUNITIES",1
"ADOBE COMMUNITY",1
"AFFIRMED HOUSING",4
"AFFIRMED HOUSING GROUP",3
"AFFORDABLE HOUSING NETWORK OF SANTA CLARA COUNTY",11
"AFSCME",5
"AFSCME, AFL-CIO",2
"AGING SERVICES OF CALIFORNIA",8
"AIDS HEALTH CARE FOUNDATION",2
"AIDS HEALTHCARE FOUNDATION",35
"ALAMEDA COUNTY BOARD OF SUPERVISORS",12
"ALAMEDA COUNTY DEMOCRATIC PARTY",9
"ALL HOME",25
"ALLIANCE FOR CHILDREN'S RIGHTS",9
"ALLIANCE FOR COMMUNITY TRANSIT",1
"ALLIANCE FOR COMMUNITY TRANSIT - LOS ANGELES",3
"ALLIANCE FOR COMMUNITY TRANSIT - LOS ANGELES (ACT-LA)",1
"ALLIANCE OF CALIFORNIANS FOR COMMUNITY EMPOWERMENT",6
"ALLIANCE OF CALIFORNIANS FOR COMMUNITY EMPOWERMENT (ACCE ACTION)",1
"ALLIANCE OF CALIFORNIANS FOR COMMUNITY EMPOWERMENT (ACCE)",1
"ALLIANCE OF CALIFORNIANS FOR COMMUNITY EMPOWERMENT (ACCE) ACTION",1
"ALLIANCE OF CALIFORNIANS FOR COMMUNITY EMPOWERMENT ACTION",5
"ALLIANCE OF CALIFORNIANS FOR COMMUNITY EMPOWERMENT EAH HOUSING",1
"AMERICAN ACADEMY OF PEDIATRICS",2
"AMERICAN ACADEMY OF PEDIATRICS, CA",1
"AMERICAN ACADEMY OF PEDIATRICS, CALIFORNIA",4
"AMERICAN ASSOCIATION OF RETIRED PERSONS",2
"AMERICAN CIVIL LIBERTIES OF CALIFORNIA",1
"AMERICAN CIVIL LIBERTIES UNION",1
"AMERICAN CIVIL LIBERTIES UNION CALIFORNIA ACTION",1
"AMERICAN CIVIL LIBERTIES UNION OF CALIFORNIA",7
"AMERICAN CIVIL LIBERTIES UNION OF CALIFORNIA (ACLU-CA)",1
"AMERICAN COUNCIL OF ENGINEERING COMPANIES",2
"AMERICAN COUNCIL OF ENGINEERING COMPANIES - CALIFORNIA",1
"AMERICAN COUNCIL OF ENGINEERING COMPANIES - CALIFORNIA CHAPTER",1
"AMERICAN COUNCIL OF ENGINEERING COMPANIES, CALIFORNIA",1
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES",6
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES (AFSCME), AFL-CIO",1
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO",2
"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES...",1
"AMERICAN FEDERATION OF STATE, COUNTY, AND MUNICIPAL EMPLOYEES",2
"AMERICAN FEDERATION OF STATE, COUNTY, AND MUNICIPAL EMPLOYEES, AFL-CIO",1
"AMERICAN LEGION-DEPARTMENT OF CALIFORNIA",2
"AMERICAN LEGION - DEPARTMENT OF CALIFORNIA",5
"AMERICAN LEGION DEPARTMENT OF CALIFORNIA",1
"AMERICAN LEGION, DEPARTMENT OF CALIFORNIA",2
"AMERICAN PLANNING ASSOCIATION",6
"AMERICAN PLANNING ASSOCIATION-CALIFORNIA CHAPTER",1
"AMERICAN PLANNING ASSOCIATION - CALIFORNIA CHAPTER",7
"AMERICAN PLANNING ASSOCIATION (APA)",1
"AMERICAN PLANNING ASSOCIATION CALIFORNIA CHAPTER",5
"AMERICAN PLANNING ASSOCIATION, CALIFORNIA CHAPTER",56
"AMVETS - DEPARTMENT OF CALIFORNIA",7
"AND SUPPORTS",1
"ANGELES MESA HOMEOWNERS COMMUNITY GROUP",5
