the_version,non_the_version,the_count,non_the_count
The California Teachers Association,California Teachers Association,3,7344
The California District Attorneys Association,California District Attorneys Association,18,6445
The California School Employees Association,California School Employees Association,6,5954
the California School Employees Association,California School Employees Association,1,5954
The California,California,24,5396
the California,California,2,5396
The California Public Defenders Association,California Public Defenders Association,20,5249
The California Nurses Association,California Nurses Association,4,5072
the California Nurses Association,California Nurses Association,1,5072
The California Professional Firefighters,California Professional Firefighters,2,4986
The California State Sheriffs' Association,California State Sheriffs' Association,5,4962
the California State Sheriffs' Association,California State Sheriffs' Association,1,4962
The California Teamsters Public Affairs Council,California Teamsters Public Affairs Council,22,4314
the California Teamsters Public Affairs Council,California Teamsters Public Affairs Council,1,4314
The Department of Finance,Department of Finance,2,4284
The California Labor Federation,California Labor Federation,13,4100
the California Labor Federation,California Labor Federation,1,4100
The California Retailers Association,California Retailers Association,5,4003
The California Police Chiefs Association,California Police Chiefs Association,4,3856
The California Building Industry Association,California Building Industry Association,3,3410
the California Building Industry Association,California Building Industry Association,1,3410
The California Catholic Conference,California Catholic Conference,12,3389
the California Catholic Conference,California Catholic Conference,1,3389
The California Apartment Association,California Apartment Association,11,3368
the California Apartment Association,California Apartment Association,2,3368
The Sierra Club,Sierra Club,25,3052
The California School Boards Association,California School Boards Association,4,3060
the California School Boards Association,California School Boards Association,1,3060
The California Hospital Association,California Hospital Association,4,2844
the California Hospital Association,California Hospital Association,1,2844
The Association,Association,2,2750
The Los Angeles Unified School District,Los Angeles Unified School District,5,2717
The Service Employees International Union,Service Employees International Union,9,2686
the Service Employees International Union,Service Employees International Union,1,2686
the California Special Districts Association,California Special Districts Association,4,2439
The California Grocers Association,California Grocers Association,2,2388
the California Grocers Association,California Grocers Association,1,2388
The California Peace Officers' Association,California Peace Officers' Association,16,2305
the California Peace Officers' Association,California Peace Officers' Association,1,2305
The California Immigrant Policy Center,California Immigrant Policy Center,4,2267
The Howard Jarvis Taxpayers Association,Howard Jarvis Taxpayers Association,3,2227
The California Bankers Association,California Bankers Association,10,2206
the California Bankers Association,California Bankers Association,1,2206
The California Municipal Utilities Association,California Municipal Utilities Association,1,1940
the California Municipal Utilities Association,California Municipal Utilities Association,1,1940
The California Manufacturers & Technology Association,California Manufacturers & Technology Association,2,1897
The Riverside Sheriffs' Association,Riverside Sheriffs' Association,2,1884
the Riverside Sheriffs' Association,Riverside Sheriffs' Association,1,1884
The Los Angeles County District Attorney's Office,Los Angeles County District Attorney's Office,2,1879
The California Restaurant Association,California Restaurant Association,5,1842
the California Restaurant Association,California Restaurant Association,3,1842
The California Taxpayers Association,California Taxpayers Association,3,1820
the California Taxpayers Association,California Taxpayers Association,1,1820
The California Tax Reform Association,California Tax Reform Association,9,1744
The Western States Petroleum Association,Western States Petroleum Association,11,1709
The County of Los Angeles,County of Los Angeles,1,1680
The California Manufacturers Association,California Manufacturers Association,3,1654
The California Faculty Association,California Faculty Association,1,1602
The Bay Area Council,Bay Area Council,27,1564
The Public Counsel,Public Counsel,4,1465
The Association of California Insurance Companies,Association of California Insurance Companies,31,1435
the Public Counsel,Public Counsel,1,1465
The California Trucking Association,California Trucking Association,6,1448
The County of San Diego,County of San Diego,12,1421
The California Psychiatric Association,California Psychiatric Association,6,1425
The California Primary Care Association,California Primary Care Association,3,1425
the California Primary Care Association,California Primary Care Association,2,1425
The Los Angeles Police Protective League,Los Angeles Police Protective League,11,1399
The California State University,California State University,78,1325
the Los Angeles Police Protective League,Los Angeles Police Protective League,3,1399
The Nature Conservancy,Nature Conservancy,1095,228
The California Dental Association,California Dental Association,7,1295
the Attorney General,Attorney General,13,1282
The Attorney General,Attorney General,9,1282
The Wine Institute,Wine Institute,51,1181
The Los Angeles County Professional Peace Officers Association,Los Angeles County Professional Peace Officers Association,10,1208
the Los Angeles County Professional Peace Officers Association,Los Angeles County Professional Peace Officers Association,1,1208
The California Employment Lawyers Association,California Employment Lawyers Association,1,1204
The Urban Counties Caucus,Urban Counties Caucus,10,1189
The California Judges Association,California Judges Association,4,1194
the Urban Counties Caucus,Urban Counties Caucus,1,1189
the Wine Institute,Wine Institute,1,1181
The Department of Insurance,Department of Insurance,8,1165
The Southwest California Legislative Council,Southwest California Legislative Council,3,1165
The Drug Policy Alliance,Drug Policy Alliance,4,1157
The Los Angeles County Sheriff's Department,Los Angeles County Sheriff's Department,2,1119
The Doris Tate Crime Victims Bureau,Doris Tate Crime Victims Bureau,7,1101
The National Association of Social Workers,National Association of Social Workers,32,1055
The California Fire Chiefs Association,California Fire Chiefs Association,1,1080
The Office of the Attorney General,Office of the Attorney General,8,1068
The Judicial Council,Judicial Council,20,1028
The California Psychological Association,California Psychological Association,2,1043
The California Peace Officers Association,California Peace Officers Association,2,1039
The Association of California Life and Health Insurance Companies,Association of California Life and Health Insurance Companies,15,1022
the Judicial Council,Judicial Council,3,1028
The California Applicants' Attorneys Association,California Applicants' Attorneys Association,6,1018
the Association of California Life and Health Insurance Companies,Association of California Life and Health Insurance Companies,2,1022
The California Forestry Association,California Forestry Association,1,1022
The California Optometric Association,California Optometric Association,6,974
The Associated General Contractors,Associated General Contractors,11,965
The Gray Panthers,Gray Panthers,9,966
the Oakland Privacy,Oakland Privacy,1,967
the Associated General Contractors,Associated General Contractors,2,965
The American Insurance Association,American Insurance Association,8,951
The City of Lakewood,City of Lakewood,7,951
the California Police Chiefs' Association,California Police Chiefs' Association,1,952
The City Of Lakewood,City of Lakewood,1,951
The National Health Law Program,National Health Law Program,1,944
